Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20210615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20210515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20210415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20210315
0;hibiscusfoods.ca;0;0;49606265;2;0;0;0;0;20210215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20210115
0;hibiscusfoods.ca;0;0;36963722;1;0;0;0;0;20201215
0;hibiscusfoods.ca;0;0;47349791;5;0;0;0;0;20201115
0;hibiscusfoods.ca;0;0;22834982;7;0;0;0;0;20201015
0;hibiscusfoods.ca;0;0;46849366;4;0;0;0;0;20200915
0;hibiscusfoods.ca;0;0;62155406;3;0;0;0;0;20200815
0;hibiscusfoods.ca;0;0;36380371;4;0;0;0;0;20200715
0;hibiscusfoods.ca;0;0;18825580;3;0;0;0;0;20200615
0;hibiscusfoods.ca;0;0;21599899;4;0;0;0;0;20200515
0;hibiscusfoods.ca;0;0;30674449;2;0;0;0;0;20200415
0;hibiscusfoods.ca;0;0;60464741;7;0;0;0;0;20200315
0;hibiscusfoods.ca;0;0;27865959;3;0;0;0;0;20200215
0;hibiscusfoods.ca;0;0;52318986;1;0;0;0;0;20200115
0;hibiscusfoods.ca;0;0;32112994;1;0;0;0;0;20191215
0;hibiscusfoods.ca;0;0;34374493;3;0;0;0;0;20191115
0;hibiscusfoods.ca;0;0;58058896;5;0;0;0;0;20191015
0;hibiscusfoods.ca;0;0;30709267;8;0;0;0;0;20190915
0;hibiscusfoods.ca;0;0;49502710;8;0;0;0;0;20190815
0;hibiscusfoods.ca;0;0;28113798;8;0;0;0;0;20190715
0;hibiscusfoods.ca;0;0;19633983;7;0;0;0;0;20190615
0;hibiscusfoods.ca;0;0;28525301;8;0;0;0;0;20190515
0;hibiscusfoods.ca;0;0;23197653;10;0;0;0;0;20190415
0;hibiscusfoods.ca;0;0;16589235;12;0;0;0;0;20190315
0;hibiscusfoods.ca;0;0;27292203;9;0;0;0;0;20190215
0;hibiscusfoods.ca;0;0;21159647;7;0;0;0;0;20190115
2;hibiscusfoods.ca;0;0;11719596;9;0;0;0;0;20181215
0;hibiscusfoods.ca;0;0;22598240;10;0;0;0;0;20181115
0;hibiscusfoods.ca;0;0;24609739;8;0;0;0;0;20181015
0;hibiscusfoods.ca;0;0;40203392;7;0;0;0;0;20180915
0;hibiscusfoods.ca;0;0;23805775;9;0;0;0;0;20180815
0;hibiscusfoods.ca;0;0;23774934;12;0;0;0;0;20180715
0;hibiscusfoods.ca;0;0;41980297;7;0;0;0;0;20180615
0;hibiscusfoods.ca;0;0;46452457;8;0;0;0;0;20180515
1;hibiscusfoods.ca;0;0;15038787;9;0;0;0;0;20180415
0;hibiscusfoods.ca;0;0;18107959;7;0;0;0;0;20180315
0;hibiscusfoods.ca;0;0;27693259;1;0;0;0;0;20180215
0;hibiscusfoods.ca;0;0;33054569;11;0;0;0;0;20180115
0;hibiscusfoods.ca;0;0;26929763;10;0;0;0;0;20171215
0;hibiscusfoods.ca;0;0;30426750;9;0;0;0;0;20171115
1;hibiscusfoods.ca;0;0;12084050;6;0;0;0;0;20171015
11;hibiscusfoods.ca;0;0;6718177;7;1;0;0;0;20170915
1;hibiscusfoods.ca;0;0;12005790;7;0;0;0;0;20170815
1;hibiscusfoods.ca;0;0;11622393;7;0;0;0;0;20170715
0;hibiscusfoods.ca;0;0;12521259;5;0;0;0;0;20170615
0;hibiscusfoods.ca;0;0;39784821;4;0;0;0;0;20170515
0;hibiscusfoods.ca;0;0;39546316;4;0;0;0;0;20170415
0;hibiscusfoods.ca;0;0;38782110;4;0;0;0;0;20170315
0;hibiscusfoods.ca;0;0;17551593;4;0;0;0;0;20170215
0;hibiscusfoods.ca;0;0;45898823;4;0;0;0;0;20170115
6;hibiscusfoods.ca;0;0;8642117;2;1;0;0;0;20161215
6;hibiscusfoods.ca;0;0;6274894;1;1;0;0;0;20161115
0;hibiscusfoods.ca;0;0;37481032;1;0;0;0;0;20161015
0;hibiscusfoods.ca;0;0;16943076;1;0;0;0;0;20160915
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160815
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160715
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160315
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20160115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20151215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20151115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20151015
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150915
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150815
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150715
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150315
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20150115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20141215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20141115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20141015
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140915
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140815
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140715
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140315
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20140115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20131215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20131115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20131015
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130915
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130815
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130715
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130315
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20130115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20121215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20121115
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20121015
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120915
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120815
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120715
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120615
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120515
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120415
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120315
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120215
0;hibiscusfoods.ca;0;0;0;0;0;0;0;0;20120115
