Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
177;holdmanhoney.com;0;0;2938389;196;353;0;0;0;20210615
157;holdmanhoney.com;0;0;3124039;213;333;0;0;0;20210515
284;holdmanhoney.com;0;0;2223890;169;423;0;0;0;20210415
246;holdmanhoney.com;0;0;2385267;161;550;0;0;0;20210315
138;holdmanhoney.com;0;0;3302072;160;398;0;0;0;20210215
141;holdmanhoney.com;0;0;3261142;135;298;0;0;0;20210115
138;holdmanhoney.com;0;0;3274231;136;154;0;0;0;20201215
46;holdmanhoney.com;0;0;5823106;104;225;0;0;0;20201115
46;holdmanhoney.com;0;0;5795889;99;80;0;0;0;20201015
47;holdmanhoney.com;0;0;5713474;111;2;0;0;0;20200915
51;holdmanhoney.com;0;0;5489135;128;7;0;0;0;20200815
55;holdmanhoney.com;0;0;5240411;126;14;0;0;0;20200715
53;holdmanhoney.com;0;0;5274604;141;14;0;0;0;20200615
46;holdmanhoney.com;0;0;5509771;115;1;0;0;0;20200515
46;holdmanhoney.com;0;0;5440219;122;1;0;0;0;20200415
51;holdmanhoney.com;0;0;5227968;114;6;0;0;0;20200315
59;holdmanhoney.com;0;0;4737682;116;20;0;0;0;20200215
46;holdmanhoney.com;0;0;5365687;113;4;0;0;0;20200115
46;holdmanhoney.com;0;0;5347231;116;0;0;0;0;20191215
30;holdmanhoney.com;0;0;6231084;110;2;0;0;0;20191115
47;holdmanhoney.com;0;0;4858006;113;2;0;0;0;20191015
29;holdmanhoney.com;0;0;6144993;96;1;0;0;0;20190915
46;holdmanhoney.com;0;0;4929087;101;3;0;0;0;20190815
48;holdmanhoney.com;0;0;4906240;94;2;0;0;0;20190715
49;holdmanhoney.com;0;0;4792234;81;2;0;0;0;20190615
5;holdmanhoney.com;0;0;8763177;81;0;0;0;0;20190515
5;holdmanhoney.com;0;0;9131979;81;0;0;0;0;20190415
4;holdmanhoney.com;0;0;9771696;63;0;0;0;0;20190315
4;holdmanhoney.com;0;0;9494919;64;0;0;0;0;20190215
