Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4766;rmpalmer.com;0;0;324504;1562;2790;0;0;0;20210615
4178;rmpalmer.com;0;0;357577;1414;2734;0;0;0;20210515
4426;rmpalmer.com;0;0;335846;1271;2559;0;0;0;20210415
3653;rmpalmer.com;0;0;382302;1269;1213;0;0;0;20210315
3781;rmpalmer.com;0;0;374255;1286;1249;0;0;0;20210215
3974;rmpalmer.com;0;0;357603;1316;1466;0;0;0;20210115
3896;rmpalmer.com;0;0;358571;1359;2239;0;0;0;20201215
3745;rmpalmer.com;0;0;364864;1401;2168;0;0;0;20201115
3789;rmpalmer.com;0;0;358518;1415;176;0;0;0;20201015
3655;rmpalmer.com;0;0;363534;1508;460;0;0;0;20200915
3559;rmpalmer.com;0;0;368801;1810;1129;0;0;0;20200815
3256;rmpalmer.com;0;0;384383;1799;978;0;0;0;20200715
3077;rmpalmer.com;0;0;401219;2037;906;0;0;0;20200615
3098;rmpalmer.com;0;0;395439;2064;889;0;0;0;20200515
2721;rmpalmer.com;0;0;432310;1470;664;0;0;0;20200415
2734;rmpalmer.com;0;0;430137;1444;445;0;0;0;20200315
2616;rmpalmer.com;0;0;438751;1378;392;0;0;0;20200215
2113;rmpalmer.com;0;0;508874;1330;693;0;0;0;20200115
2051;rmpalmer.com;0;0;516896;1322;699;0;0;0;20191215
1929;rmpalmer.com;0;0;518338;1282;605;0;0;0;20191115
1914;rmpalmer.com;0;0;509583;1274;641;0;0;0;20191015
1933;rmpalmer.com;0;0;497459;1304;641;0;0;0;20190915
2182;rmpalmer.com;0;0;453588;1378;725;0;0;0;20190815
2225;rmpalmer.com;0;0;454227;1460;761;0;0;0;20190715
2310;rmpalmer.com;0;0;440395;1451;785;0;0;0;20190615
2052;rmpalmer.com;0;0;425374;1199;907;0;0;0;20190515
2093;rmpalmer.com;0;0;418075;1004;951;0;0;0;20190415
1512;rmpalmer.com;0;0;532778;949;524;0;0;0;20190315
2009;rmpalmer.com;0;0;432406;821;931;0;0;0;20190215
1830;rmpalmer.com;0;0;464375;778;808;0;0;0;20190115
1833;rmpalmer.com;0;0;464946;743;792;0;0;0;20181215
1810;rmpalmer.com;0;0;470464;760;804;0;0;0;20181115
2035;rmpalmer.com;0;0;435736;885;870;0;0;0;20181015
2426;rmpalmer.com;0;0;382003;994;1077;0;0;0;20180915
2230;rmpalmer.com;0;0;413318;1196;945;0;0;0;20180815
