Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
202;hotcan.com;0;0;2731707;27;0;0;0;0;20210615
201;hotcan.com;0;0;2730030;29;0;0;0;0;20210515
199;hotcan.com;0;0;2721554;29;0;0;0;0;20210415
183;hotcan.com;0;0;2810029;30;0;0;0;0;20210315
187;hotcan.com;0;0;2793860;28;0;0;0;0;20210215
177;hotcan.com;0;0;2880437;30;0;0;0;0;20210115
197;hotcan.com;0;0;2692785;29;0;0;0;0;20201215
138;hotcan.com;0;0;3265141;26;0;0;0;0;20201115
163;hotcan.com;0;0;2974685;26;0;0;0;0;20201015
159;hotcan.com;0;0;2977264;22;0;0;0;0;20200915
195;hotcan.com;0;0;2627777;25;0;0;0;0;20200815
192;hotcan.com;0;0;2616940;25;0;0;0;0;20200715
192;hotcan.com;0;0;2603382;22;0;0;0;0;20200615
157;hotcan.com;0;0;2881334;22;0;0;0;0;20200515
168;hotcan.com;0;0;2730547;26;3;0;0;0;20200415
155;hotcan.com;0;0;2875948;22;0;0;0;0;20200315
168;hotcan.com;0;0;2708204;27;0;0;0;0;20200215
158;hotcan.com;0;0;2771768;20;0;0;0;0;20200115
166;hotcan.com;0;0;2682209;19;0;0;0;0;20191215
161;hotcan.com;0;0;2574777;22;3;0;0;0;20191115
154;hotcan.com;0;0;2583928;25;3;0;0;0;20191015
172;hotcan.com;0;0;2399706;27;3;0;0;0;20190915
175;hotcan.com;0;0;2386522;26;3;0;0;0;20190815
175;hotcan.com;0;0;2429991;27;3;0;0;0;20190715
163;hotcan.com;0;0;2495424;27;3;0;0;0;20190615
141;hotcan.com;0;0;2305289;18;30;0;0;0;20190515
141;hotcan.com;0;0;2296186;15;30;0;0;0;20190415
139;hotcan.com;0;0;2324705;16;30;0;0;0;20190315
142;hotcan.com;0;0;2315881;16;30;0;0;0;20190215
144;hotcan.com;0;0;2323681;17;31;0;0;0;20190115
141;hotcan.com;0;0;2349772;22;30;0;0;0;20181215
137;hotcan.com;0;0;2407040;16;28;0;0;0;20181115
136;hotcan.com;0;0;2444233;18;28;0;0;0;20181015
134;hotcan.com;0;0;2491628;17;28;0;0;0;20180915
141;hotcan.com;0;0;2436776;16;30;0;0;0;20180815
147;hotcan.com;0;0;2450064;16;30;0;0;0;20180715
167;hotcan.com;0;0;2269368;16;35;0;0;0;20180615
166;hotcan.com;0;0;2279013;16;35;0;0;0;20180515
145;hotcan.com;0;0;2469337;17;29;0;0;0;20180415
130;hotcan.com;0;0;2639690;18;27;0;0;0;20180315
149;hotcan.com;0;0;2385261;25;24;0;0;0;20180215
244;hotcan.com;0;0;1753577;30;16;0;0;0;20180115
233;hotcan.com;0;0;1686725;36;16;0;0;0;20171215
236;hotcan.com;0;0;1662068;37;17;0;0;0;20171115
250;hotcan.com;0;0;1599538;44;16;0;0;0;20171015
246;hotcan.com;0;0;1628090;45;17;0;0;0;20170915
253;hotcan.com;0;0;1620086;55;17;0;0;0;20170815
247;hotcan.com;0;0;1595322;41;17;0;0;0;20170715
247;hotcan.com;0;0;1667310;43;17;0;0;0;20170615
241;hotcan.com;0;0;1791166;36;17;0;0;0;20170515
244;hotcan.com;0;0;1848368;34;17;0;0;0;20170415
247;hotcan.com;0;0;1707543;40;16;0;0;0;20170315
252;hotcan.com;0;0;1723998;49;16;0;0;0;20170215
261;hotcan.com;0;0;1721935;58;17;0;0;0;20170115
256;hotcan.com;0;0;1734870;66;17;0;0;0;20161215
253;hotcan.com;0;0;1302779;55;17;0;0;0;20161115
246;hotcan.com;0;0;1268236;42;17;0;0;0;20161015
245;hotcan.com;0;0;1270819;56;17;0;0;0;20160915
257;hotcan.com;0;0;1252567;62;19;0;0;0;20160815
257;hotcan.com;0;0;1249012;58;19;0;0;0;20160715
270;hotcan.com;0;0;1224373;57;19;0;0;0;20160615
261;hotcan.com;0;0;1244427;62;17;0;0;0;20160515
278;hotcan.com;0;0;1168986;63;130;0;0;0;20160415
278;hotcan.com;0;0;1154422;64;130;0;0;0;20160315
278;hotcan.com;0;0;1149314;66;130;0;0;0;20160215
276;hotcan.com;0;0;1152203;71;130;0;0;0;20160115
140;hotcan.com;0;0;1684192;61;43;0;0;0;20151215
119;hotcan.com;0;0;1913804;54;43;0;0;0;20151115
120;hotcan.com;0;0;1846117;56;6;0;0;0;20151015
110;hotcan.com;0;0;1801511;5;6;0;0;0;20150915
240;hotcan.com;0;0;1196337;4;23;0;0;0;20150815
102;hotcan.com;0;0;1884149;5;6;0;0;0;20150715
104;hotcan.com;0;0;1848297;5;34;0;0;0;20150615
88;hotcan.com;0;0;1910634;6;29;0;0;0;20150515
397;hotcan.com;0;0;812858;5;77;0;0;0;20150415
436;hotcan.com;0;0;750601;5;96;0;0;0;20150315
442;hotcan.com;0;0;750585;4;96;0;0;0;20150215
445;hotcan.com;0;0;746545;5;99;0;0;0;20150115
473;hotcan.com;0;0;716376;5;79;0;0;0;20141215
225;hotcan.com;0;0;1192505;8;35;0;0;0;20141115
246;hotcan.com;0;0;1163289;7;34;0;0;0;20141015
246;hotcan.com;0;0;1176256;6;34;0;0;0;20140915
244;hotcan.com;0;0;1184159;7;39;0;0;0;20140815
30;hotcan.com;0;0;2401193;4;29;0;0;0;20140715
120;hotcan.com;0;0;1302318;4;123;0;0;0;20140615
41;hotcan.com;0;0;2171778;4;55;0;0;0;20140515
48;hotcan.com;0;0;2026464;4;58;0;0;0;20140415
32;hotcan.com;0;0;2406393;4;18;0;0;0;20140315
24;hotcan.com;0;0;2557730;3;5;0;0;0;20140215
26;hotcan.com;0;0;2545579;3;5;0;0;0;20140115
24;hotcan.com;0;0;2614725;3;5;0;0;0;20131215
26;hotcan.com;0;0;2404817;3;5;0;0;0;20131115
14;hotcan.com;0;0;2664890;4;4;0;0;0;20131015
14;hotcan.com;0;0;2621391;4;4;0;0;0;20130915
10;hotcan.com;0;0;3092522;4;3;0;0;0;20130815
9;hotcan.com;0;0;3248975;3;3;0;0;0;20130715
7;hotcan.com;0;0;3431345;1;3;0;0;0;20130615
5;hotcan.com;0;0;4023521;4;2;0;0;0;20130515
9;hotcan.com;0;0;3484374;4;5;0;0;0;20130415
9;hotcan.com;0;0;3466884;4;7;0;0;0;20130315
7;hotcan.com;0;0;4097619;2;5;0;0;0;20130215
7;hotcan.com;0;0;3907331;2;4;0;0;0;20130115
23;hotcan.com;0;0;2565113;2;16;0;0;0;20121215
7;hotcan.com;0;0;3844713;3;4;0;0;0;20121115
23;hotcan.com;0;0;2489369;3;16;0;0;0;20121015
19;hotcan.com;0;0;2933362;5;9;0;0;0;20120915
18;hotcan.com;0;0;2951981;4;9;0;0;0;20120815
21;hotcan.com;0;0;2887664;4;11;0;0;0;20120715
21;hotcan.com;0;0;2959352;4;9;0;0;0;20120615
17;hotcan.com;0;0;3579777;3;9;0;0;0;20120515
20;hotcan.com;0;0;3462431;4;11;0;0;0;20120415
16;hotcan.com;0;0;3702975;1;3;0;0;0;20120315
16;hotcan.com;0;0;3458013;1;3;0;0;0;20120215
16;hotcan.com;0;0;3464408;1;3;0;0;0;20120115
