Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1237468;instantpot.com;13;2;3016;115875;487976;2;13;0;20210615
1114896;instantpot.com;0;0;3328;117810;445806;0;0;0;20210515
1378986;instantpot.com;0;0;2740;128542;559283;0;0;0;20210415
1736364;instantpot.com;474;2;2180;134197;2042735;2;474;544;20210315
1893073;instantpot.com;267;3;2028;147546;2503919;3;267;723;20210215
1922607;instantpot.com;0;0;1963;148736;3625841;0;0;0;20210115
1896447;instantpot.com;0;0;1978;145630;1056456;0;0;0;20201215
1744732;instantpot.com;0;0;2134;141560;4677393;0;0;0;20201115
2286614;instantpot.com;4;2;1624;143398;1915051;2;4;0;20201015
2272434;instantpot.com;0;0;1602;134185;1313761;0;0;0;20200915
2284491;instantpot.com;0;0;1593;123169;927745;0;0;0;20200815
2001004;instantpot.com;0;0;1709;128892;786747;0;0;0;20200715
2031105;instantpot.com;0;0;1678;129851;800743;0;0;0;20200615
1545325;instantpot.com;0;0;2162;125387;553638;0;0;0;20200515
1429981;instantpot.com;0;0;2337;100631;538135;0;0;0;20200415
1544264;instantpot.com;0;0;2127;101740;659763;0;0;0;20200315
1591741;instantpot.com;0;0;2080;96963;662277;0;0;0;20200215
1592104;instantpot.com;0;0;2037;102764;663903;0;0;0;20200115
1507647;instantpot.com;0;0;2159;92613;619565;0;0;0;20191215
1036012;instantpot.com;0;0;2981;79285;461418;0;0;0;20191115
1019692;instantpot.com;0;0;2916;74063;512124;0;0;0;20191015
990163;instantpot.com;0;0;2960;78086;478951;0;0;0;20190915
1043070;instantpot.com;0;0;2828;81184;510378;0;0;0;20190815
1057986;instantpot.com;0;0;2794;84601;516059;0;0;0;20190715
1072012;instantpot.com;0;0;2765;80035;526387;0;0;0;20190615
420673;instantpot.com;0;0;5892;58310;373519;0;0;0;20190515
426594;instantpot.com;108;1;5797;54215;380915;1;108;72;20190415
475999;instantpot.com;260;7;5233;54925;422558;7;260;345;20190315
586421;instantpot.com;14;3;4320;54503;522383;3;14;2;20190215
399225;instantpot.com;0;0;6080;52884;355693;0;0;0;20190115
391632;instantpot.com;0;0;6202;50015;348203;0;0;0;20181215
385412;instantpot.com;0;0;6209;42132;341314;0;0;0;20181115
395406;instantpot.com;0;0;6051;38608;351321;0;0;0;20181015
394373;instantpot.com;0;0;5644;30263;350772;0;0;0;20180915
451675;instantpot.com;0;0;5230;27479;400004;0;0;0;20180815
389211;instantpot.com;0;0;5995;27923;344593;0;0;0;20180715
395584;instantpot.com;0;0;5948;28137;354529;0;0;0;20180615
386874;instantpot.com;0;0;6043;28759;343941;0;0;0;20180515
413343;instantpot.com;0;0;5668;33937;360432;0;0;0;20180415
452744;instantpot.com;0;0;5260;35889;397705;0;0;0;20180315
438764;instantpot.com;0;0;5767;45453;382584;0;0;0;20180215
387755;instantpot.com;0;0;6096;36756;340583;0;0;0;20180115
55766;instantpot.com;0;0;27870;26523;25575;0;0;0;20171215
41707;instantpot.com;0;0;36299;13370;16526;0;0;0;20171115
38730;instantpot.com;0;0;38862;12000;13785;0;0;0;20171015
85082;instantpot.com;0;0;19883;20494;28641;0;0;0;20170915
105186;instantpot.com;0;0;16631;36572;36660;0;0;0;20170815
88617;instantpot.com;0;0;16058;36305;30550;0;0;0;20170715
55147;instantpot.com;0;0;29567;35329;21742;0;0;0;20170615
54196;instantpot.com;0;0;31746;28584;20375;0;0;0;20170515
48546;instantpot.com;0;0;37441;26990;17819;0;0;0;20170415
31994;instantpot.com;0;0;47353;31241;12746;0;0;0;20170315
34812;instantpot.com;0;0;44198;33661;13027;0;0;0;20170215
28464;instantpot.com;0;0;52230;29271;10618;0;0;0;20170115
39063;instantpot.com;0;0;39357;26355;14252;0;0;0;20161215
14204;instantpot.com;0;0;72937;20016;4910;0;0;0;20161115
14452;instantpot.com;0;0;72198;16467;4825;0;0;0;20161015
14049;instantpot.com;0;0;73398;5525;4575;0;0;0;20160915
12119;instantpot.com;0;0;82895;5760;3941;0;0;0;20160815
11405;instantpot.com;0;0;86663;5717;3750;0;0;0;20160715
12183;instantpot.com;0;0;82161;5519;3957;0;0;0;20160615
12284;instantpot.com;0;0;81303;5372;3961;0;0;0;20160515
12084;instantpot.com;0;0;80651;4927;3800;0;0;0;20160415
11782;instantpot.com;0;0;79964;4962;2055;0;0;0;20160315
12603;instantpot.com;0;0;75504;4993;2310;0;0;0;20160215
6159;instantpot.com;0;0;132803;5064;1916;0;0;0;20160115
6486;instantpot.com;0;0;127791;4887;2221;0;0;0;20151215
6729;instantpot.com;0;0;125132;4027;2045;0;0;0;20151115
5403;instantpot.com;0;0;141875;3581;1909;0;0;0;20151015
5741;instantpot.com;0;0;129124;101;1985;0;0;0;20150915
5384;instantpot.com;0;0;136970;87;1812;0;0;0;20150815
4546;instantpot.com;0;0;154316;75;1411;0;0;0;20150715
3747;instantpot.com;0;0;176906;70;944;0;0;0;20150615
1253;instantpot.com;0;0;376475;60;472;0;0;0;20150515
1852;instantpot.com;0;0;279676;80;634;0;0;0;20150415
1978;instantpot.com;0;0;261218;92;893;0;0;0;20150315
1577;instantpot.com;0;0;310421;70;586;0;0;0;20150215
1940;instantpot.com;0;0;264959;69;852;0;0;0;20150115
1605;instantpot.com;0;0;303397;58;803;0;0;0;20141215
2995;instantpot.com;0;0;208174;18;1399;0;0;0;20141115
1734;instantpot.com;0;0;312035;14;459;0;0;0;20141015
1422;instantpot.com;0;0;363638;11;379;0;0;0;20140915
1416;instantpot.com;0;0;367331;11;357;0;0;0;20140815
718;instantpot.com;0;0;469003;9;186;0;0;0;20140715
831;instantpot.com;0;0;424007;8;209;0;0;0;20140615
748;instantpot.com;0;0;449083;10;185;0;0;0;20140515
834;instantpot.com;0;0;419740;10;209;0;0;0;20140415
834;instantpot.com;0;0;421838;10;209;0;0;0;20140315
164;instantpot.com;0;0;1079500;2;53;0;0;0;20140215
164;instantpot.com;0;0;1095281;2;53;0;0;0;20140115
164;instantpot.com;0;0;1077800;2;53;0;0;0;20131215
93;instantpot.com;0;0;1344406;2;30;0;0;0;20131115
90;instantpot.com;0;0;1116853;46;29;0;0;0;20131015
91;instantpot.com;0;0;1115343;65;29;0;0;0;20130915
62;instantpot.com;0;0;1410245;123;14;0;0;0;20130815
109;instantpot.com;0;0;1044500;116;33;0;0;0;20130715
139;instantpot.com;0;0;893153;151;44;0;0;0;20130615
