Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2641;ipswichalebrewery.com;0;0;509244;209;2653;0;0;0;20210615
2329;ipswichalebrewery.com;0;0;557916;207;2363;0;0;0;20210515
2388;ipswichalebrewery.com;0;0;537048;183;9;0;0;0;20210415
2263;ipswichalebrewery.com;0;0;549433;219;14;0;0;0;20210315
2208;ipswichalebrewery.com;0;0;563695;183;12;0;0;0;20210215
2487;ipswichalebrewery.com;0;0;512041;210;841;0;0;0;20210115
2518;ipswichalebrewery.com;0;0;500968;147;1;0;0;0;20201215
2637;ipswichalebrewery.com;0;0;477062;205;130;0;0;0;20201115
3037;ipswichalebrewery.com;0;0;424811;387;9;0;0;0;20201015
3089;ipswichalebrewery.com;0;0;413819;598;100;0;0;0;20200915
3011;ipswichalebrewery.com;0;0;419242;616;142;0;0;0;20200815
3313;ipswichalebrewery.com;0;0;379250;598;111;0;0;0;20200715
3364;ipswichalebrewery.com;0;0;374741;618;42;0;0;0;20200615
3227;ipswichalebrewery.com;0;0;383177;543;6708;0;0;0;20200515
3155;ipswichalebrewery.com;0;0;387247;453;7004;0;0;0;20200415
3172;ipswichalebrewery.com;0;0;384940;502;5109;0;0;0;20200315
3202;ipswichalebrewery.com;0;0;377805;532;6384;0;0;0;20200215
3185;ipswichalebrewery.com;0;0;374920;435;3225;0;0;0;20200115
3214;ipswichalebrewery.com;0;0;370918;414;3311;0;0;0;20191215
2935;ipswichalebrewery.com;0;0;382658;510;3480;0;0;0;20191115
2906;ipswichalebrewery.com;0;0;376209;586;3488;0;0;0;20191015
3247;ipswichalebrewery.com;0;0;340211;964;3526;0;0;0;20190915
3203;ipswichalebrewery.com;0;0;341920;1008;3601;0;0;0;20190815
3243;ipswichalebrewery.com;0;0;343878;980;3490;0;0;0;20190715
3155;ipswichalebrewery.com;0;0;349842;891;3868;0;0;0;20190615
3380;ipswichalebrewery.com;0;0;296029;697;20461;0;0;0;20190515
3658;ipswichalebrewery.com;0;0;278583;651;20789;0;0;0;20190415
3295;ipswichalebrewery.com;0;0;304555;610;20291;0;0;0;20190315
3589;ipswichalebrewery.com;0;0;283025;568;20741;0;0;0;20190215
3703;ipswichalebrewery.com;0;0;277542;570;20682;0;0;0;20190115
3215;ipswichalebrewery.com;0;0;308966;602;20311;0;0;0;20181215
3165;ipswichalebrewery.com;0;0;312807;583;20257;0;0;0;20181115
3667;ipswichalebrewery.com;0;0;282178;591;20434;0;0;0;20181015
3339;ipswichalebrewery.com;0;0;300900;534;20279;0;0;0;20180915
3747;ipswichalebrewery.com;0;0;280843;591;22025;0;0;0;20180815
3543;ipswichalebrewery.com;0;0;294749;537;21907;0;0;0;20180715
3214;ipswichalebrewery.com;0;0;316255;493;20328;0;0;0;20180615
3502;ipswichalebrewery.com;0;0;294992;519;20426;0;0;0;20180515
3160;ipswichalebrewery.com;0;0;316181;560;20268;0;0;0;20180415
3162;ipswichalebrewery.com;0;0;317557;593;20276;0;0;0;20180315
3181;ipswichalebrewery.com;0;0;323291;739;20250;0;0;0;20180215
2356;ipswichalebrewery.com;0;0;389382;716;200;0;0;0;20180115
2174;ipswichalebrewery.com;0;0;374034;706;182;0;0;0;20171215
2183;ipswichalebrewery.com;0;0;372780;700;201;0;0;0;20171115
2183;ipswichalebrewery.com;0;0;373390;720;164;0;0;0;20171015
2272;ipswichalebrewery.com;0;0;364552;736;218;0;0;0;20170915
2160;ipswichalebrewery.com;0;0;383596;766;193;0;0;0;20170815
2119;ipswichalebrewery.com;0;0;363208;858;164;0;0;0;20170715
2140;ipswichalebrewery.com;0;0;394474;903;190;0;0;0;20170615
3051;ipswichalebrewery.com;0;0;333802;800;4216;0;0;0;20170515
2951;ipswichalebrewery.com;0;0;376799;735;4202;0;0;0;20170415
2317;ipswichalebrewery.com;0;0;381644;708;138;0;0;0;20170315
2338;ipswichalebrewery.com;0;0;382061;640;147;0;0;0;20170215
2407;ipswichalebrewery.com;0;0;375202;515;154;0;0;0;20170115
2368;ipswichalebrewery.com;0;0;374823;399;146;0;0;0;20161215
1537;ipswichalebrewery.com;0;0;401756;293;26;0;0;0;20161115
1565;ipswichalebrewery.com;0;0;392826;272;30;0;0;0;20161015
1626;ipswichalebrewery.com;0;0;381217;208;19;0;0;0;20160915
1614;ipswichalebrewery.com;0;0;386192;159;16;0;0;0;20160815
1574;ipswichalebrewery.com;0;0;391660;140;15;0;0;0;20160715
1382;ipswichalebrewery.com;0;0;430130;110;14;0;0;0;20160615
1261;ipswichalebrewery.com;0;0;458000;93;16;0;0;0;20160515
740;ipswichalebrewery.com;0;0;642557;73;813;0;0;0;20160415
723;ipswichalebrewery.com;0;0;642092;73;810;0;0;0;20160315
731;ipswichalebrewery.com;0;0;634674;69;832;0;0;0;20160215
879;ipswichalebrewery.com;0;0;559240;186;811;0;0;0;20160115
1410;ipswichalebrewery.com;0;0;404342;587;1457;0;0;0;20151215
1071;ipswichalebrewery.com;0;0;496674;630;887;0;0;0;20151115
986;ipswichalebrewery.com;0;0;505000;705;355;0;0;0;20151015
