Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
3197;islandnaturals.com;0;0;440946;432;367;0;0;0;20210615
3889;islandnaturals.com;0;0;378231;512;3063;0;0;0;20210515
3443;islandnaturals.com;0;0;407312;460;1011;0;0;0;20210415
3645;islandnaturals.com;0;0;382916;449;1489;0;0;0;20210315
3559;islandnaturals.com;0;0;392303;472;883;0;0;0;20210215
3632;islandnaturals.com;0;0;383582;534;2064;0;0;0;20210115
3505;islandnaturals.com;0;0;389295;397;1147;0;0;0;20201215
3644;islandnaturals.com;0;0;372492;528;3507;0;0;0;20201115
3871;islandnaturals.com;0;0;352662;491;5290;0;0;0;20201015
3034;islandnaturals.com;0;0;419475;567;884;0;0;0;20200915
2928;islandnaturals.com;0;0;428113;520;101;0;0;0;20200815
2862;islandnaturals.com;0;0;424298;527;197;0;0;0;20200715
2887;islandnaturals.com;0;0;420951;476;155;0;0;0;20200615
2853;islandnaturals.com;0;0;420584;518;317;0;0;0;20200515
3095;islandnaturals.com;0;0;392888;497;1259;0;0;0;20200415
3020;islandnaturals.com;0;0;399590;442;901;0;0;0;20200315
3493;islandnaturals.com;0;0;354115;667;3554;0;0;0;20200215
2858;islandnaturals.com;0;0;406574;755;653;0;0;0;20200115
2950;islandnaturals.com;0;0;395386;692;959;0;0;0;20191215
2759;islandnaturals.com;0;0;400062;779;758;0;0;0;20191115
3082;islandnaturals.com;0;0;360192;809;1480;0;0;0;20191015
2808;islandnaturals.com;0;0;378845;822;849;0;0;0;20190915
2898;islandnaturals.com;0;0;368316;749;997;0;0;0;20190815
2770;islandnaturals.com;0;0;386668;1288;726;0;0;0;20190715
2954;islandnaturals.com;0;0;367437;956;798;0;0;0;20190615
2632;islandnaturals.com;0;0;355585;736;1700;0;0;0;20190515
2791;islandnaturals.com;0;0;339579;741;1911;0;0;0;20190415
2605;islandnaturals.com;0;0;361247;604;1587;0;0;0;20190315
2474;islandnaturals.com;0;0;371831;382;1562;0;0;0;20190215
2519;islandnaturals.com;0;0;368876;504;1397;0;0;0;20190115
2723;islandnaturals.com;0;0;349060;761;1748;0;0;0;20181215
2785;islandnaturals.com;0;0;343655;682;1994;0;0;0;20181115
2608;islandnaturals.com;0;0;363470;777;1482;0;0;0;20181015
2601;islandnaturals.com;0;0;362910;890;1492;0;0;0;20180915
2506;islandnaturals.com;0;0;379709;1052;1392;0;0;0;20180815
2504;islandnaturals.com;0;0;383035;1192;1528;0;0;0;20180715
2593;islandnaturals.com;0;0;371317;845;1790;0;0;0;20180615
2430;islandnaturals.com;0;0;388360;740;1418;0;0;0;20180515
2464;islandnaturals.com;0;0;381180;650;1373;0;0;0;20180415
2543;islandnaturals.com;0;0;374287;635;1476;0;0;0;20180315
2773;islandnaturals.com;0;0;358054;994;1889;0;0;0;20180215
2905;islandnaturals.com;0;0;336133;900;6394;0;0;0;20180115
2790;islandnaturals.com;0;0;311638;906;6068;0;0;0;20171215
2736;islandnaturals.com;0;0;316792;844;5924;0;0;0;20171115
2714;islandnaturals.com;0;0;318996;736;5748;0;0;0;20171015
2951;islandnaturals.com;0;0;301554;805;6301;0;0;0;20170915
2772;islandnaturals.com;0;0;319949;741;5564;0;0;0;20170815
2783;islandnaturals.com;0;0;295928;665;5780;0;0;0;20170715
2785;islandnaturals.com;0;0;325552;690;5820;0;0;0;20170615
3127;islandnaturals.com;0;0;327884;595;4540;0;0;0;20170515
3127;islandnaturals.com;0;0;362230;616;4537;0;0;0;20170415
2769;islandnaturals.com;0;0;335192;648;5724;0;0;0;20170315
2895;islandnaturals.com;0;0;326639;720;6063;0;0;0;20170215
2964;islandnaturals.com;0;0;321580;717;6204;0;0;0;20170115
2655;islandnaturals.com;0;0;344338;624;5870;0;0;0;20161215
918;islandnaturals.com;0;0;578946;465;5684;0;0;0;20161115
948;islandnaturals.com;0;0;556163;456;5838;0;0;0;20161015
938;islandnaturals.com;0;0;558691;423;5810;0;0;0;20160915
956;islandnaturals.com;0;0;556181;445;5852;0;0;0;20160815
931;islandnaturals.com;0;0;564316;440;5808;0;0;0;20160715
931;islandnaturals.com;0;0;566686;445;5792;0;0;0;20160615
984;islandnaturals.com;0;0;543782;452;5852;0;0;0;20160515
1172;islandnaturals.com;0;0;469854;506;288;0;0;0;20160415
878;islandnaturals.com;0;0;563391;508;82;0;0;0;20160315
894;islandnaturals.com;0;0;553982;517;114;0;0;0;20160215
900;islandnaturals.com;0;0;550014;524;137;0;0;0;20160115
895;islandnaturals.com;0;0;556812;566;122;0;0;0;20151215
533;islandnaturals.com;0;0;799468;544;69;0;0;0;20151115
555;islandnaturals.com;0;0;749024;598;186;0;0;0;20151015
491;islandnaturals.com;0;0;767902;52;116;0;0;0;20150915
488;islandnaturals.com;0;0;778175;59;94;0;0;0;20150815
612;islandnaturals.com;0;0;667163;76;162;0;0;0;20150715
566;islandnaturals.com;0;0;695223;74;21;0;0;0;20150615
441;islandnaturals.com;0;0;772521;74;36;0;0;0;20150515
441;islandnaturals.com;0;0;760739;75;53;0;0;0;20150415
350;islandnaturals.com;0;0;861235;47;196;0;0;0;20150315
323;islandnaturals.com;0;0;912265;47;186;0;0;0;20150215
306;islandnaturals.com;0;0;943735;47;186;0;0;0;20150115
298;islandnaturals.com;0;0;958895;54;54;0;0;0;20141215
504;islandnaturals.com;0;0;735637;62;59;0;0;0;20141115
228;islandnaturals.com;0;0;1216691;47;8;0;0;0;20141015
252;islandnaturals.com;0;0;1159885;43;11;0;0;0;20140915
227;islandnaturals.com;0;0;1233249;39;9;0;0;0;20140815
181;islandnaturals.com;0;0;1053551;39;0;0;0;0;20140715
166;islandnaturals.com;0;0;1102959;41;0;0;0;0;20140615
177;islandnaturals.com;0;0;1065041;44;1;0;0;0;20140515
177;islandnaturals.com;0;0;1071494;43;3;0;0;0;20140415
181;islandnaturals.com;0;0;1062039;40;5;0;0;0;20140315
29;islandnaturals.com;0;0;2409220;36;14;0;0;0;20140215
20;islandnaturals.com;0;0;2812221;25;3;0;0;0;20140115
18;islandnaturals.com;0;0;2916150;22;0;0;0;0;20131215
19;islandnaturals.com;0;0;2708003;18;1;0;0;0;20131115
0;islandnaturals.com;0;0;9411366;14;2;0;0;0;20131015
1;islandnaturals.com;0;0;5131507;14;4;0;0;0;20130915
18;islandnaturals.com;0;0;2497119;27;31;0;0;0;20130815
4;islandnaturals.com;0;0;4266099;32;6;0;0;0;20130715
0;islandnaturals.com;0;0;8059686;26;1;0;0;0;20130615
0;islandnaturals.com;0;0;10703782;40;6;0;0;0;20130515
1;islandnaturals.com;0;0;6423496;34;3;0;0;0;20130415
5;islandnaturals.com;0;0;4263743;28;10;0;0;0;20130315
28;islandnaturals.com;0;0;2346426;37;10;0;0;0;20130215
27;islandnaturals.com;0;0;2389817;36;13;0;0;0;20130115
25;islandnaturals.com;0;0;2500570;29;9;0;0;0;20121215
100;islandnaturals.com;0;0;1281942;35;124;0;0;0;20121115
29;islandnaturals.com;0;0;2272852;22;19;0;0;0;20121015
61;islandnaturals.com;0;0;1735833;23;98;0;0;0;20120915
25;islandnaturals.com;0;0;2626990;32;34;0;0;0;20120815
27;islandnaturals.com;0;0;2616601;22;17;0;0;0;20120715
15;islandnaturals.com;0;0;3344377;22;20;0;0;0;20120615
111;islandnaturals.com;0;0;1494053;29;48;0;0;0;20120515
89;islandnaturals.com;0;0;1762172;28;29;0;0;0;20120415
4;islandnaturals.com;0;0;5514350;10;1;0;0;0;20120315
4;islandnaturals.com;0;0;5382027;10;1;0;0;0;20120215
12;islandnaturals.com;0;0;3778267;11;17;0;0;0;20120115
