Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;jj-foods.nl;0;0;59768089;4;0;0;0;0;20210615
0;jj-foods.nl;0;0;55782866;6;0;0;0;0;20210515
1;jj-foods.nl;0;0;17219887;7;0;0;0;0;20210415
0;jj-foods.nl;0;0;49805812;6;0;0;0;0;20210315
1;jj-foods.nl;0;0;18454460;7;0;0;0;0;20210215
1;jj-foods.nl;0;0;16369708;7;0;0;0;0;20210115
1;jj-foods.nl;0;0;17106197;7;0;0;0;0;20201215
1;jj-foods.nl;0;0;17685264;6;0;0;0;0;20201115
1;jj-foods.nl;0;0;19041994;6;0;0;0;0;20201015
3;jj-foods.nl;0;0;14285119;8;3;0;0;0;20200915
7;jj-foods.nl;0;0;10956082;8;0;0;0;0;20200815
7;jj-foods.nl;0;0;10936184;9;0;0;0;0;20200715
9;jj-foods.nl;0;0;9937698;7;0;0;0;0;20200615
3;jj-foods.nl;0;0;13232219;5;8;0;0;0;20200515
19;jj-foods.nl;0;0;7933682;8;33;0;0;0;20200415
1;jj-foods.nl;0;0;17482427;4;1;0;0;0;20200315
5;jj-foods.nl;0;0;11409195;6;7;0;0;0;20200215
6;jj-foods.nl;0;0;10919620;7;7;0;0;0;20200115
7;jj-foods.nl;0;0;10653244;7;9;0;0;0;20191215
2;jj-foods.nl;0;0;15302314;5;0;0;0;0;20191115
25;jj-foods.nl;0;0;6534965;6;0;0;0;0;20191015
6;jj-foods.nl;0;0;10976184;6;0;0;0;0;20190915
2;jj-foods.nl;0;0;13917113;5;0;0;0;0;20190815
4;jj-foods.nl;0;0;12627360;5;0;0;0;0;20190715
4;jj-foods.nl;0;0;11467382;5;0;0;0;0;20190615
2;jj-foods.nl;0;0;11061470;8;0;0;0;0;20190515
11;jj-foods.nl;0;0;7196662;8;1;0;0;0;20190415
2;jj-foods.nl;0;0;11207563;4;0;0;0;0;20190315
0;jj-foods.nl;0;0;32112527;3;0;0;0;0;20190215
0;jj-foods.nl;0;0;45836377;3;0;0;0;0;20190115
0;jj-foods.nl;0;0;20551064;4;0;0;0;0;20181215
0;jj-foods.nl;0;0;34599751;1;0;0;0;0;20181115
0;jj-foods.nl;0;0;37929775;4;0;0;0;0;20181015
0;jj-foods.nl;0;0;46203914;3;0;0;0;0;20180915
0;jj-foods.nl;0;0;47656339;2;0;0;0;0;20180815
0;jj-foods.nl;0;0;47031625;1;0;0;0;0;20180715
0;jj-foods.nl;0;0;38917682;1;0;0;0;0;20180615
0;jj-foods.nl;0;0;48672633;1;0;0;0;0;20180515
0;jj-foods.nl;0;0;38166702;1;0;0;0;0;20180415
0;jj-foods.nl;0;0;15832543;1;0;0;0;0;20180315
0;jj-foods.nl;0;0;48776370;1;0;0;0;0;20180215
0;jj-foods.nl;0;0;0;0;0;0;0;0;20180115
0;jj-foods.nl;0;0;0;0;0;0;0;0;20171215
0;jj-foods.nl;0;0;23223881;1;0;0;0;0;20171115
0;jj-foods.nl;0;0;22310023;1;0;0;0;0;20171015
0;jj-foods.nl;0;0;46046094;1;0;0;0;0;20170915
0;jj-foods.nl;0;0;0;0;0;0;0;0;20170815
0;jj-foods.nl;0;0;0;0;0;0;0;0;20170715
0;jj-foods.nl;0;0;0;0;0;0;0;0;20170615
0;jj-foods.nl;0;0;0;0;0;0;0;0;20170515
