Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
26438;josesmexicanfood.com;0;0;87124;2059;39224;0;0;0;20210615
29531;josesmexicanfood.com;0;1;79705;2032;48620;1;0;0;20210515
48105;josesmexicanfood.com;0;1;52037;1713;104818;1;0;0;20210415
60839;josesmexicanfood.com;0;0;41206;1627;164394;0;0;0;20210315
94188;josesmexicanfood.com;0;0;27511;1862;292001;0;0;0;20210215
57150;josesmexicanfood.com;0;0;41536;1838;145413;0;0;0;20210115
86652;josesmexicanfood.com;0;0;29053;1224;337430;0;0;0;20201215
68180;josesmexicanfood.com;0;0;35355;1029;257158;0;0;0;20201115
35124;josesmexicanfood.com;0;0;60776;927;91669;0;0;0;20201015
9056;josesmexicanfood.com;0;0;178299;739;29556;0;0;0;20200915
8316;josesmexicanfood.com;0;0;190338;783;15178;0;0;0;20200815
8974;josesmexicanfood.com;0;0;174247;943;16498;0;0;0;20200715
6085;josesmexicanfood.com;0;0;236800;507;10046;0;0;0;20200615
5781;josesmexicanfood.com;0;0;244895;584;11374;0;0;0;20200515
12576;josesmexicanfood.com;0;0;132879;525;34006;0;0;0;20200415
8069;josesmexicanfood.com;0;0;187791;621;15501;0;0;0;20200315
11951;josesmexicanfood.com;0;0;136997;1019;26051;0;0;0;20200215
18639;josesmexicanfood.com;0;0;94724;1578;43879;0;0;0;20200115
41261;josesmexicanfood.com;0;0;50064;1819;158465;0;0;0;20191215
21193;josesmexicanfood.com;0;0;83503;1454;73880;0;0;0;20191115
12606;josesmexicanfood.com;0;0;122353;1316;27639;0;0;0;20191015
8293;josesmexicanfood.com;0;0;166511;1384;13521;0;0;0;20190915
8063;josesmexicanfood.com;0;0;169374;1317;11356;0;0;0;20190815
6451;josesmexicanfood.com;0;0;203741;1217;10661;0;0;0;20190715
8267;josesmexicanfood.com;0;0;167969;1153;14842;0;0;0;20190615
5867;josesmexicanfood.com;0;0;195625;1054;11952;0;0;0;20190515
10611;josesmexicanfood.com;0;0;124071;1158;31090;0;0;0;20190415
5368;josesmexicanfood.com;0;0;211231;953;10401;0;0;0;20190315
11414;josesmexicanfood.com;0;0;116749;937;24553;0;0;0;20190215
7585;josesmexicanfood.com;0;0;160732;920;16129;0;0;0;20190115
5612;josesmexicanfood.com;0;0;203105;857;11802;0;0;0;20181215
6852;josesmexicanfood.com;0;0;174107;1007;15322;0;0;0;20181115
7603;josesmexicanfood.com;0;0;161236;1024;15612;0;0;0;20181015
4708;josesmexicanfood.com;0;0;231455;938;9780;0;0;0;20180915
16802;josesmexicanfood.com;0;0;86810;1018;39607;0;0;0;20180815
4596;josesmexicanfood.com;0;0;241580;811;9608;0;0;0;20180715
4432;josesmexicanfood.com;0;0;247238;913;9104;0;0;0;20180615
4121;josesmexicanfood.com;0;0;260451;968;8193;0;0;0;20180515
29616;josesmexicanfood.com;0;0;53789;994;73737;0;0;0;20180415
12722;josesmexicanfood.com;0;0;106821;933;36762;0;0;0;20180315
11109;josesmexicanfood.com;0;0;122930;967;25026;0;0;0;20180215
4746;josesmexicanfood.com;0;0;233571;798;7087;0;0;0;20180115
1706;josesmexicanfood.com;0;0;444703;690;2158;0;0;0;20171215
2555;josesmexicanfood.com;0;0;332883;579;5590;0;0;0;20171115
1178;josesmexicanfood.com;0;0;575005;375;1550;0;0;0;20171015
890;josesmexicanfood.com;0;0;704363;350;779;0;0;0;20170915
962;josesmexicanfood.com;0;0;676865;307;916;0;0;0;20170815
916;josesmexicanfood.com;0;0;668049;297;727;0;0;0;20170715
967;josesmexicanfood.com;41;2;688454;335;796;2;41;0;20170615
774;josesmexicanfood.com;0;0;864753;352;640;0;0;0;20170515
575;josesmexicanfood.com;4674;18;1112758;334;481;18;4674;15588;20170415
689;josesmexicanfood.com;0;0;896859;302;516;0;0;0;20170315
654;josesmexicanfood.com;0;0;943912;331;542;0;0;0;20170215
836;josesmexicanfood.com;0;0;805071;495;725;0;0;0;20170115
1103;josesmexicanfood.com;0;0;655900;433;693;0;0;0;20161215
557;josesmexicanfood.com;0;0;808205;340;473;0;0;0;20161115
383;josesmexicanfood.com;0;0;986632;298;250;0;0;0;20161015
543;josesmexicanfood.com;0;0;797571;293;476;0;0;0;20160915
350;josesmexicanfood.com;0;1;1050484;299;249;1;0;0;20160815
353;josesmexicanfood.com;0;1;1041032;366;251;1;0;0;20160715
419;josesmexicanfood.com;0;2;946756;400;345;2;0;0;20160615
687;josesmexicanfood.com;0;2;692789;405;645;2;0;0;20160515
500;josesmexicanfood.com;5;16;825039;379;287;16;5;29;20160415
481;josesmexicanfood.com;5;19;833286;372;308;19;5;33;20160315
475;josesmexicanfood.com;10;31;836364;361;304;31;10;58;20160215
542;josesmexicanfood.com;10;47;768272;376;444;47;10;58;20160115
431;josesmexicanfood.com;0;42;894586;405;395;42;0;7;20151215
411;josesmexicanfood.com;1;60;944727;394;317;60;1;19;20151115
314;josesmexicanfood.com;4;72;1073835;383;314;72;4;20;20151015
338;josesmexicanfood.com;1;29;970627;29;134;29;1;13;20150915
317;josesmexicanfood.com;1;30;1017524;27;137;30;1;17;20150815
286;josesmexicanfood.com;17;33;1079443;36;67;33;17;60;20150715
273;josesmexicanfood.com;0;0;1096354;28;175;0;0;0;20150615
305;josesmexicanfood.com;0;0;969746;23;176;0;0;0;20150515
336;josesmexicanfood.com;0;13;901522;26;202;13;0;11;20150415
295;josesmexicanfood.com;0;4;955081;21;147;4;0;2;20150315
278;josesmexicanfood.com;0;7;998044;23;152;7;0;1;20150215
275;josesmexicanfood.com;0;6;1007880;26;145;6;0;6;20150115
229;josesmexicanfood.com;0;9;1120755;30;15;9;0;2;20141215
226;josesmexicanfood.com;0;12;1189194;31;13;12;0;4;20141115
198;josesmexicanfood.com;1;4;1321537;23;86;4;1;3;20141015
211;josesmexicanfood.com;0;4;1284751;20;90;4;0;0;20140915
228;josesmexicanfood.com;0;3;1230794;21;91;3;0;0;20140815
153;josesmexicanfood.com;0;8;1148634;16;5;8;0;1;20140715
104;josesmexicanfood.com;0;13;1396538;18;5;13;0;2;20140615
472;josesmexicanfood.com;0;10;602626;20;329;10;0;2;20140515
120;josesmexicanfood.com;1;5;1314813;23;18;5;1;0;20140415
169;josesmexicanfood.com;2;26;1102679;17;6;26;2;11;20140315
95;josesmexicanfood.com;0;5;1426183;24;5;5;0;0;20140215
49;josesmexicanfood.com;4;16;1968454;19;4;16;4;1;20140115
113;josesmexicanfood.com;21;27;1310166;19;4;27;21;13;20131215
306;josesmexicanfood.com;0;0;699243;19;1012;0;0;0;20131115
1407;josesmexicanfood.com;0;0;197965;66;2985;0;0;0;20131015
1436;josesmexicanfood.com;0;0;196165;69;3047;0;0;0;20130915
645;josesmexicanfood.com;0;0;344747;76;1627;0;0;0;20130815
1375;josesmexicanfood.com;0;0;204149;82;2959;0;0;0;20130715
411;josesmexicanfood.com;0;0;453727;38;1317;0;0;0;20130615
620;josesmexicanfood.com;0;0;354764;73;1680;0;0;0;20130515
372;josesmexicanfood.com;0;0;532168;37;1278;0;0;0;20130415
346;josesmexicanfood.com;0;0;568687;43;1362;0;0;0;20130315
387;josesmexicanfood.com;0;0;556638;51;1235;0;0;0;20130215
627;josesmexicanfood.com;0;0;411530;82;908;0;0;0;20130115
1072;josesmexicanfood.com;0;0;287704;86;1757;0;0;0;20121215
1838;josesmexicanfood.com;0;0;196470;78;3170;0;0;0;20121115
643;josesmexicanfood.com;0;0;407343;65;914;0;0;0;20121015
463;josesmexicanfood.com;0;0;539631;41;579;0;0;0;20120915
648;josesmexicanfood.com;0;0;431333;50;965;0;0;0;20120815
