Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2785178;myfitnesspal.com;0;0;1473;1401307;2016277;0;0;0;20210615
2653107;myfitnesspal.com;0;0;1556;1326005;1836468;0;0;0;20210515
2246706;myfitnesspal.com;0;0;1778;1152681;1367473;0;0;0;20210415
1363595;myfitnesspal.com;0;0;2684;1010702;853618;0;0;0;20210315
2165161;myfitnesspal.com;0;0;1785;1264105;1497839;0;0;0;20210215
2242204;myfitnesspal.com;0;0;1707;1296867;1204880;0;0;0;20210115
2329204;myfitnesspal.com;0;0;1630;1323761;1231372;0;0;0;20201215
3663196;myfitnesspal.com;0;0;1043;1653307;2159639;0;0;0;20201115
3463065;myfitnesspal.com;0;0;1106;1637755;2198023;0;0;0;20201015
2868923;myfitnesspal.com;0;0;1294;1547710;1710653;0;0;0;20200915
2822256;myfitnesspal.com;0;0;1309;1555420;1475034;0;0;0;20200815
2781737;myfitnesspal.com;0;0;1260;1561079;1446048;0;0;0;20200715
2698566;myfitnesspal.com;0;0;1295;1539169;1375912;0;0;0;20200615
2579266;myfitnesspal.com;0;0;1339;1484496;1696545;0;0;0;20200515
2207598;myfitnesspal.com;0;0;1567;1369554;1346670;0;0;0;20200415
2157161;myfitnesspal.com;0;0;1564;1341289;1437335;0;0;0;20200315
2351942;myfitnesspal.com;0;0;1454;1392333;1389491;0;0;0;20200215
2462697;myfitnesspal.com;0;0;1369;1264786;1340331;0;0;0;20200115
2481319;myfitnesspal.com;0;0;1377;1285163;1358790;0;0;0;20191215
2612636;myfitnesspal.com;0;0;1263;1288871;1674801;0;0;0;20191115
2406598;myfitnesspal.com;0;0;1295;1233511;1544838;0;0;0;20191015
2104120;myfitnesspal.com;0;0;1473;1278317;1274321;0;0;0;20190915
2367662;myfitnesspal.com;0;0;1320;1366462;1516958;0;0;0;20190815
2475455;myfitnesspal.com;0;0;1273;1401274;1608460;0;0;0;20190715
2391204;myfitnesspal.com;0;0;1309;1321245;1567253;0;0;0;20190615
2049894;myfitnesspal.com;0;0;1377;1209303;1418124;0;0;0;20190515
2118702;myfitnesspal.com;0;0;1329;1217556;1476572;0;0;0;20190415
2062663;myfitnesspal.com;0;0;1361;1067722;1443907;0;0;0;20190315
1853243;myfitnesspal.com;0;0;1493;959774;1342572;0;0;0;20190215
1903815;myfitnesspal.com;0;0;1445;981934;1369410;0;0;0;20190115
1969305;myfitnesspal.com;0;0;1396;1080616;1396601;0;0;0;20181215
2333988;myfitnesspal.com;0;0;1192;1216765;1683851;0;0;0;20181115
2201380;myfitnesspal.com;0;0;1241;958149;1627748;0;0;0;20181015
869462;myfitnesspal.com;0;0;2731;570309;767218;0;0;0;20180915
1898014;myfitnesspal.com;0;0;1420;739212;1269062;0;0;0;20180815
5173156;myfitnesspal.com;0;0;562;1654960;4464879;0;0;0;20180715
5649865;myfitnesspal.com;0;0;515;1673747;4854938;0;0;0;20180615
5316239;myfitnesspal.com;0;0;551;1680388;4629061;0;0;0;20180515
5776811;myfitnesspal.com;0;0;499;1823342;5049491;0;0;0;20180415
6406187;myfitnesspal.com;0;0;441;1938341;5697377;0;0;0;20180315
9497474;myfitnesspal.com;0;0;336;2775464;9231527;0;0;0;20180215
8071757;myfitnesspal.com;0;0;384;2533223;7871255;0;0;0;20180115
6445641;myfitnesspal.com;0;0;378;2446346;6740030;0;0;0;20171215
6319652;myfitnesspal.com;0;0;381;2448290;6621383;0;0;0;20171115
5802604;myfitnesspal.com;0;0;426;2409700;6054482;0;0;0;20171015
5556603;myfitnesspal.com;0;0;451;2363687;5788500;0;0;0;20170915
5253623;myfitnesspal.com;0;0;464;2431355;5290637;0;0;0;20170815
5006758;myfitnesspal.com;0;0;406;2289704;4983551;0;0;0;20170715
4880334;myfitnesspal.com;0;0;501;2195437;4904852;0;0;0;20170615
5294777;myfitnesspal.com;0;0;498;2218055;5068399;0;0;0;20170515
5837801;myfitnesspal.com;0;0;482;2219600;5450931;0;0;0;20170415
4335482;myfitnesspal.com;0;0;573;2102153;4295182;0;0;0;20170315
