Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
112188;winelibrary.com;0;0;25160;47378;124180;0;0;0;20210615
95081;winelibrary.com;0;0;29166;45429;118527;0;0;0;20210515
92541;winelibrary.com;0;0;29288;45619;249445;0;0;0;20210415
94598;winelibrary.com;0;0;27922;46707;107250;0;0;0;20210315
89787;winelibrary.com;0;0;28630;46420;93323;0;0;0;20210215
86821;winelibrary.com;0;0;29324;47984;80945;0;0;0;20210115
94273;winelibrary.com;0;0;27051;47680;87303;0;0;0;20201215
102855;winelibrary.com;0;0;24918;48070;99465;0;0;0;20201115
98339;winelibrary.com;0;0;25644;48520;76943;0;0;0;20201015
103019;winelibrary.com;0;0;24363;49308;90063;0;0;0;20200915
108387;winelibrary.com;0;0;23359;49675;175824;0;0;0;20200815
107835;winelibrary.com;0;0;22716;50494;152817;0;0;0;20200715
108109;winelibrary.com;0;0;22740;49649;155995;0;0;0;20200615
103981;winelibrary.com;0;0;23419;52033;154699;0;0;0;20200515
111359;winelibrary.com;0;0;22366;55582;159588;0;0;0;20200415
112624;winelibrary.com;14;16;21882;50725;167371;16;14;1;20200315
126275;winelibrary.com;77;38;19801;48377;233627;38;77;0;20200215
105901;winelibrary.com;0;0;22628;50305;231303;0;0;0;20200115
107494;winelibrary.com;0;0;22293;49894;230839;0;0;0;20191215
95444;winelibrary.com;0;0;24035;47514;200123;0;0;0;20191115
79892;winelibrary.com;0;0;27217;48029;53915;0;0;0;20191015
77043;winelibrary.com;0;0;27889;46797;54049;0;0;0;20190915
65214;winelibrary.com;0;0;32029;45875;35971;0;0;0;20190815
59409;winelibrary.com;0;0;34753;44297;34596;0;0;0;20190715
60861;winelibrary.com;0;0;34004;40110;41352;0;0;0;20190615
46341;winelibrary.com;0;0;38744;31798;35538;0;0;0;20190515
46848;winelibrary.com;0;0;38264;30983;35568;0;0;0;20190415
42992;winelibrary.com;0;0;41244;28044;35343;0;0;0;20190315
29355;winelibrary.com;0;0;55420;23833;20400;0;0;0;20190215
33513;winelibrary.com;0;0;49893;23474;33312;0;0;0;20190115
38299;winelibrary.com;0;0;44634;23741;52582;0;0;0;20181215
30426;winelibrary.com;0;0;53615;23213;28941;0;0;0;20181115
45639;winelibrary.com;0;0;38449;23576;74236;0;0;0;20181015
25845;winelibrary.com;0;0;59275;22922;27948;0;0;0;20180915
32479;winelibrary.com;0;0;50556;23543;32457;0;0;0;20180815
38827;winelibrary.com;0;0;43444;25735;28838;0;0;0;20180715
