Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
278;konabar.com;0;0;2281648;26;0;0;0;0;20210615
282;konabar.com;0;0;2252897;29;9;0;0;0;20210515
297;konabar.com;0;0;2165999;27;9;0;0;0;20210415
278;konabar.com;0;0;2222657;28;0;0;0;0;20210315
426;konabar.com;0;0;1734979;34;0;0;0;0;20210215
278;konabar.com;0;0;2233918;39;3;0;0;0;20210115
293;konabar.com;0;0;2147216;40;0;0;0;0;20201215
359;konabar.com;0;0;1890575;37;0;0;0;0;20201115
340;konabar.com;0;0;1941454;30;0;0;0;0;20201015
240;konabar.com;0;0;2356118;28;1;0;0;0;20200915
243;konabar.com;0;0;2317494;31;86;0;0;0;20200815
239;konabar.com;0;0;2302503;26;86;0;0;0;20200715
239;konabar.com;0;0;2297335;34;86;0;0;0;20200615
425;konabar.com;0;0;1597350;33;0;0;0;0;20200515
411;konabar.com;0;0;1604990;34;0;0;0;0;20200415
425;konabar.com;0;0;1577989;45;1234;0;0;0;20200315
434;konabar.com;0;0;1531433;44;549;0;0;0;20200215
425;konabar.com;0;0;1538058;44;827;0;0;0;20200115
349;konabar.com;0;0;1724997;37;649;0;0;0;20191215
248;konabar.com;0;0;2004623;32;12;0;0;0;20191115
248;konabar.com;0;0;1964563;29;12;0;0;0;20191015
275;konabar.com;0;0;1827577;29;25;0;0;0;20190915
275;konabar.com;0;0;1830679;34;25;0;0;0;20190815
272;konabar.com;0;0;1876980;30;25;0;0;0;20190715
275;konabar.com;0;0;1841301;23;25;0;0;0;20190615
22;konabar.com;0;0;5628905;9;3;0;0;0;20190515
224;konabar.com;0;0;1783138;18;32;0;0;0;20190415
221;konabar.com;0;0;1810805;13;32;0;0;0;20190315
223;konabar.com;0;0;1803010;14;32;0;0;0;20190215
223;konabar.com;0;0;1822300;10;32;0;0;0;20190115
223;konabar.com;0;0;1819482;13;32;0;0;0;20181215
219;konabar.com;0;0;1853894;8;32;0;0;0;20181115
12;konabar.com;0;0;7201676;8;0;0;0;0;20181015
23;konabar.com;0;0;5794652;19;2;0;0;0;20180915
225;konabar.com;0;0;1880270;34;32;0;0;0;20180815
225;konabar.com;0;0;1927503;30;32;0;0;0;20180715
221;konabar.com;0;0;1935694;27;32;0;0;0;20180615
221;konabar.com;0;0;1936308;29;32;0;0;0;20180515
221;konabar.com;0;0;1948890;20;32;0;0;0;20180415
217;konabar.com;0;0;1978145;15;32;0;0;0;20180315
185;konabar.com;0;0;2111396;11;32;0;0;0;20180215
79;konabar.com;0;0;3238336;14;0;0;0;0;20180115
79;konabar.com;0;0;3028970;18;0;0;0;0;20171215
79;konabar.com;0;0;3005692;18;0;0;0;0;20171115
79;konabar.com;0;0;2971524;21;0;0;0;0;20171015
101;konabar.com;0;0;2641084;29;0;0;0;0;20170915
101;konabar.com;0;0;2660283;23;0;0;0;0;20170815
101;konabar.com;0;0;2595095;21;0;0;0;0;20170715
79;konabar.com;0;0;3053999;24;0;0;0;0;20170615
101;konabar.com;0;0;2799718;35;0;0;0;0;20170515
101;konabar.com;0;0;2880472;33;0;0;0;0;20170415
79;konabar.com;0;0;3117864;25;0;0;0;0;20170315
79;konabar.com;0;0;3177240;26;0;0;0;0;20170215
79;konabar.com;0;0;3254843;33;0;0;0;0;20170115
79;konabar.com;0;0;3221615;34;0;0;0;0;20161215
