Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1;patisserielamour.co.nz;0;0;18715614;12;0;0;0;0;20210615
3;patisserielamour.co.nz;0;0;14497611;25;0;0;0;0;20210515
1;patisserielamour.co.nz;0;0;17011424;18;0;0;0;0;20210415
1;patisserielamour.co.nz;0;0;18064447;17;0;0;0;0;20210315
2;patisserielamour.co.nz;0;0;15175930;17;0;0;0;0;20210215
4;patisserielamour.co.nz;0;0;12513547;35;0;0;0;0;20210115
4;patisserielamour.co.nz;0;0;12712871;35;0;0;0;0;20201215
3;patisserielamour.co.nz;0;0;13553557;30;0;0;0;0;20201115
3;patisserielamour.co.nz;0;0;14284620;26;0;0;0;0;20201015
2;patisserielamour.co.nz;0;0;14513907;38;0;0;0;0;20200915
20;patisserielamour.co.nz;0;0;8172477;59;0;0;0;0;20200815
7;patisserielamour.co.nz;0;0;10756769;67;0;0;0;0;20200715
5;patisserielamour.co.nz;0;0;11562024;49;0;0;0;0;20200615
3;patisserielamour.co.nz;0;0;12807779;60;0;0;0;0;20200515
3;patisserielamour.co.nz;0;0;13613317;57;0;0;0;0;20200415
3;patisserielamour.co.nz;0;0;13818177;59;0;0;0;0;20200315
12;patisserielamour.co.nz;0;0;9085365;75;0;0;0;0;20200215
7;patisserielamour.co.nz;0;0;10641882;57;0;0;0;0;20200115
8;patisserielamour.co.nz;0;0;10368306;60;0;0;0;0;20191215
7;patisserielamour.co.nz;0;0;10471548;69;0;0;0;0;20191115
7;patisserielamour.co.nz;0;0;10243645;83;0;0;0;0;20191015
1;patisserielamour.co.nz;0;0;17966889;47;0;0;0;0;20190915
2;patisserielamour.co.nz;0;0;14507151;10;0;0;0;0;20190815
8;patisserielamour.co.nz;0;0;10186674;9;0;0;0;0;20190715
8;patisserielamour.co.nz;0;0;9707425;16;0;0;0;0;20190615
0;patisserielamour.co.nz;0;0;52250346;35;0;0;0;0;20190515
1;patisserielamour.co.nz;0;0;12639704;57;0;0;0;0;20190415
1;patisserielamour.co.nz;0;0;13341345;49;0;0;0;0;20190315
0;patisserielamour.co.nz;0;0;46476794;40;0;0;0;0;20190215
1;patisserielamour.co.nz;0;0;13742097;33;0;0;0;0;20190115
1;patisserielamour.co.nz;0;0;13119101;28;0;0;0;0;20181215
11;patisserielamour.co.nz;0;0;7293789;50;1;0;0;0;20181115
2;patisserielamour.co.nz;0;0;12237997;28;0;0;0;0;20181015
0;patisserielamour.co.nz;0;0;15930950;13;0;0;0;0;20180915
0;patisserielamour.co.nz;0;0;32250645;14;0;0;0;0;20180815
0;patisserielamour.co.nz;0;0;26498426;13;0;0;0;0;20180715
0;patisserielamour.co.nz;0;0;52350996;6;0;0;0;0;20180615
0;patisserielamour.co.nz;0;0;20659078;1;0;0;0;0;20180515
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20180415
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20180315
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20180215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20180115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20171215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20171115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20171015
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170915
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170815
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170715
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170615
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170515
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170415
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170315
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20170115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20161215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20161115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20161015
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160915
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160815
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160715
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160615
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160515
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160415
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160315
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20160115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20151215
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20151115
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20151015
0;patisserielamour.co.nz;0;0;0;0;0;0;0;0;20150915
