Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
3049;lemonilo.com;3;2;457009;6185;15;2;3;0;20210615
2858;lemonilo.com;0;0;477743;5978;6;0;0;0;20210515
2339;lemonilo.com;0;0;545468;4992;1;0;0;0;20210415
2102;lemonilo.com;0;0;580281;4112;15;0;0;0;20210315
1816;lemonilo.com;0;0;651369;3250;92;0;0;0;20210215
1222;lemonilo.com;0;0;861329;2354;10;0;0;0;20210115
1580;lemonilo.com;0;0;708050;2974;6;0;0;0;20201215
1631;lemonilo.com;0;0;682389;3287;6;0;0;0;20201115
1854;lemonilo.com;0;0;615665;3629;8;0;0;0;20201015
1918;lemonilo.com;0;0;592289;3713;123;0;0;0;20200915
1818;lemonilo.com;0;0;610598;3479;44;0;0;0;20200815
1543;lemonilo.com;0;0;671528;3228;42;0;0;0;20200715
1463;lemonilo.com;0;0;697137;3383;2;0;0;0;20200615
1359;lemonilo.com;0;0;727730;3189;0;0;0;0;20200515
1415;lemonilo.com;0;0;696986;3162;1;0;0;0;20200415
1274;lemonilo.com;0;0;752047;3218;0;0;0;0;20200315
1038;lemonilo.com;0;0;854448;2772;0;0;0;0;20200215
966;lemonilo.com;0;0;891781;2363;1;0;0;0;20200115
1052;lemonilo.com;0;0;832759;2131;1;0;0;0;20191215
713;lemonilo.com;0;0;1032363;1629;4;0;0;0;20191115
687;lemonilo.com;0;0;1037665;1574;5;0;0;0;20191015
655;lemonilo.com;0;0;1055698;1566;4;0;0;0;20190915
630;lemonilo.com;0;0;1082017;1415;4;0;0;0;20190815
698;lemonilo.com;0;0;1028891;1361;4;0;0;0;20190715
673;lemonilo.com;0;0;1045000;1129;7;0;0;0;20190615
223;lemonilo.com;0;0;1794226;647;0;0;0;0;20190515
216;lemonilo.com;0;0;1822447;676;4;0;0;0;20190415
120;lemonilo.com;0;0;2515464;570;1;0;0;0;20190315
110;lemonilo.com;0;0;2651660;542;0;0;0;0;20190215
111;lemonilo.com;0;0;2666638;562;0;0;0;0;20190115
114;lemonilo.com;0;0;2625432;529;0;0;0;0;20181215
108;lemonilo.com;0;0;2722311;519;2;0;0;0;20181115
165;lemonilo.com;0;0;2197801;500;0;0;0;0;20181015
177;lemonilo.com;0;0;2135392;575;5;0;0;0;20180915
204;lemonilo.com;0;0;1991312;655;2;0;0;0;20180815
141;lemonilo.com;0;0;2498286;846;4;0;0;0;20180715
110;lemonilo.com;0;0;2848297;782;0;0;0;0;20180615
132;lemonilo.com;0;0;2585907;723;26;0;0;0;20180515
96;lemonilo.com;0;0;3082481;676;8;0;0;0;20180415
92;lemonilo.com;0;0;3171405;559;8;0;0;0;20180315
66;lemonilo.com;0;0;3609441;272;0;0;0;0;20180215
46;lemonilo.com;0;0;4298943;209;0;0;0;0;20180115
12;lemonilo.com;0;0;6554678;125;0;0;0;0;20171215
11;lemonilo.com;0;0;6877671;132;0;0;0;0;20171115
9;lemonilo.com;0;0;7275386;115;0;0;0;0;20171015
3;lemonilo.com;0;0;9981419;95;0;0;0;0;20170915
3;lemonilo.com;0;0;9519562;118;0;0;0;0;20170815
7;lemonilo.com;0;0;7487772;107;0;0;0;0;20170715
7;lemonilo.com;0;0;7581022;108;1;0;0;0;20170615
8;lemonilo.com;0;0;7620528;76;1;0;0;0;20170515
1;lemonilo.com;0;0;12122798;46;0;0;0;0;20170415
1;lemonilo.com;0;0;11491729;29;0;0;0;0;20170315
0;lemonilo.com;0;0;40990365;24;0;0;0;0;20170215
0;lemonilo.com;0;0;46431658;16;0;0;0;0;20170115
0;lemonilo.com;0;0;48095784;11;0;0;0;0;20161215
0;lemonilo.com;0;0;46981959;5;0;0;0;0;20161115
0;lemonilo.com;0;0;37231787;1;0;0;0;0;20161015
0;lemonilo.com;0;0;0;0;0;0;0;0;20160915
0;lemonilo.com;0;0;0;0;0;0;0;0;20160815
0;lemonilo.com;0;0;0;0;0;0;0;0;20160715
0;lemonilo.com;0;0;0;0;0;0;0;0;20160615
0;lemonilo.com;0;0;0;0;0;0;0;0;20160515
0;lemonilo.com;0;0;0;0;0;0;0;0;20160415
0;lemonilo.com;0;0;0;0;0;0;0;0;20160315
0;lemonilo.com;0;0;0;0;0;0;0;0;20160215
0;lemonilo.com;0;0;0;0;0;0;0;0;20160115
0;lemonilo.com;0;0;0;0;0;0;0;0;20151215
