Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
294;lewisroadcreamery.co.nz;0;0;2207229;149;14;0;0;0;20210615
367;lewisroadcreamery.co.nz;0;0;1933075;158;9;0;0;0;20210515
194;lewisroadcreamery.co.nz;0;0;2761551;185;0;0;0;0;20210415
387;lewisroadcreamery.co.nz;0;0;1825387;156;2;0;0;0;20210315
472;lewisroadcreamery.co.nz;0;0;1629736;188;0;0;0;0;20210215
549;lewisroadcreamery.co.nz;0;0;1475819;204;20;0;0;0;20210115
514;lewisroadcreamery.co.nz;0;0;1522754;207;0;0;0;0;20201215
483;lewisroadcreamery.co.nz;0;0;1571363;188;16;0;0;0;20201115
668;lewisroadcreamery.co.nz;0;0;1263460;209;11;0;0;0;20201015
454;lewisroadcreamery.co.nz;0;0;1601678;232;0;0;0;0;20200915
342;lewisroadcreamery.co.nz;0;0;1887436;240;0;0;0;0;20200815
334;lewisroadcreamery.co.nz;0;0;1887400;241;0;0;0;0;20200715
370;lewisroadcreamery.co.nz;0;0;1762971;283;0;0;0;0;20200615
316;lewisroadcreamery.co.nz;0;0;1920540;297;1;0;0;0;20200515
346;lewisroadcreamery.co.nz;0;0;1784475;296;1;0;0;0;20200415
308;lewisroadcreamery.co.nz;0;0;1929607;301;1;0;0;0;20200315
351;lewisroadcreamery.co.nz;0;0;1748472;339;2;0;0;0;20200215
358;lewisroadcreamery.co.nz;0;0;1712287;373;4;0;0;0;20200115
329;lewisroadcreamery.co.nz;0;0;1787582;377;4;0;0;0;20191215
306;lewisroadcreamery.co.nz;0;0;1769364;397;17;0;0;0;20191115
328;lewisroadcreamery.co.nz;0;0;1662166;340;18;0;0;0;20191015
300;lewisroadcreamery.co.nz;0;0;1730540;279;16;0;0;0;20190915
276;lewisroadcreamery.co.nz;0;0;1823296;297;16;0;0;0;20190815
277;lewisroadcreamery.co.nz;0;0;1855979;300;15;0;0;0;20190715
258;lewisroadcreamery.co.nz;0;0;1911144;277;17;0;0;0;20190615
138;lewisroadcreamery.co.nz;0;0;2326812;426;8;0;0;0;20190515
139;lewisroadcreamery.co.nz;0;0;2316727;434;2;0;0;0;20190415
143;lewisroadcreamery.co.nz;0;0;2293705;395;2;0;0;0;20190315
212;lewisroadcreamery.co.nz;0;0;1853066;568;11;0;0;0;20190215
279;lewisroadcreamery.co.nz;0;0;1599839;732;21;0;0;0;20190115
217;lewisroadcreamery.co.nz;0;0;1850223;732;15;0;0;0;20181215
173;lewisroadcreamery.co.nz;0;0;2113486;659;13;0;0;0;20181115
367;lewisroadcreamery.co.nz;0;0;1380475;696;7;0;0;0;20181015
276;lewisroadcreamery.co.nz;0;0;1656589;788;6;0;0;0;20180915
282;lewisroadcreamery.co.nz;0;0;1646327;819;12;0;0;0;20180815
230;lewisroadcreamery.co.nz;0;0;1901393;660;2;0;0;0;20180715
266;lewisroadcreamery.co.nz;0;0;1739801;605;4;0;0;0;20180615
275;lewisroadcreamery.co.nz;0;0;1703744;607;2;0;0;0;20180515
354;lewisroadcreamery.co.nz;0;0;1463687;608;11;0;0;0;20180415
351;lewisroadcreamery.co.nz;0;0;1480625;619;9;0;0;0;20180315
299;lewisroadcreamery.co.nz;0;0;1603982;658;2;0;0;0;20180215
376;lewisroadcreamery.co.nz;0;0;1354237;628;1;0;0;0;20180115
359;lewisroadcreamery.co.nz;0;0;1302736;549;15;0;0;0;20171215
411;lewisroadcreamery.co.nz;0;0;1190164;536;4;0;0;0;20171115
