Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
744;lilyobriens.com;0;0;1245427;282;79;0;0;0;20210615
622;lilyobriens.com;0;0;1394419;280;51;0;0;0;20210515
548;lilyobriens.com;0;0;1492806;382;13;0;0;0;20210415
461;lilyobriens.com;0;0;1640295;336;4;0;0;0;20210315
694;lilyobriens.com;0;0;1274282;336;136;0;0;0;20210215
983;lilyobriens.com;0;0;1002335;348;721;0;0;0;20210115
524;lilyobriens.com;0;0;1503804;381;19;0;0;0;20201215
760;lilyobriens.com;0;0;1168232;387;5;0;0;0;20201115
872;lilyobriens.com;0;0;1055701;383;3;0;0;0;20201015
636;lilyobriens.com;0;0;1287575;369;6;0;0;0;20200915
803;lilyobriens.com;0;0;1090382;357;2;0;0;0;20200815
1059;lilyobriens.com;0;0;880445;383;109;0;0;0;20200715
911;lilyobriens.com;0;0;975894;389;2;0;0;0;20200615
758;lilyobriens.com;0;0;1095210;408;44;0;0;0;20200515
346;lilyobriens.com;0;0;1785469;369;38;0;0;0;20200415
349;lilyobriens.com;0;0;1787386;305;54;0;0;0;20200315
250;lilyobriens.com;0;0;2149254;257;52;0;0;0;20200215
319;lilyobriens.com;0;0;1837608;215;157;0;0;0;20200115
373;lilyobriens.com;57;15;1654224;255;362;15;57;14;20191215
650;lilyobriens.com;29;10;1098409;345;529;10;29;9;20191115
495;lilyobriens.com;5;4;1284778;410;216;4;5;1;20191015
492;lilyobriens.com;8;5;1271836;372;231;5;8;1;20190915
452;lilyobriens.com;45;10;1341948;420;165;10;45;18;20190815
432;lilyobriens.com;3;7;1407334;388;158;7;3;5;20190715
447;lilyobriens.com;52;20;1363757;391;219;20;52;15;20190615
397;lilyobriens.com;31;10;1276238;295;166;10;31;13;20190515
395;lilyobriens.com;30;7;1278279;440;153;7;30;14;20190415
413;lilyobriens.com;13;5;1254223;531;136;5;13;6;20190315
280;lilyobriens.com;0;1;1577123;685;89;1;0;0;20190215
262;lilyobriens.com;1;1;1661232;873;102;1;1;0;20190115
261;lilyobriens.com;0;0;1662678;927;99;0;0;0;20181215
210;lilyobriens.com;3;1;1898072;986;101;1;3;0;20181115
623;lilyobriens.com;13;3;988361;1340;492;3;13;6;20181015
499;lilyobriens.com;0;1;1148275;1059;414;1;0;0;20180915
361;lilyobriens.com;0;0;1420768;269;292;0;0;0;20180815
465;lilyobriens.com;0;0;1240804;245;483;0;0;0;20180715
186;lilyobriens.com;3;3;2134452;256;98;3;3;0;20180615
248;lilyobriens.com;0;0;1807455;193;246;0;0;0;20180515
101;lilyobriens.com;0;1;3002497;179;40;1;0;0;20180415
89;lilyobriens.com;0;0;3219997;146;30;0;0;0;20180315
85;lilyobriens.com;0;0;3184736;290;31;0;0;0;20180215
108;lilyobriens.com;0;0;2747405;292;7;0;0;0;20180115
117;lilyobriens.com;0;0;2457324;320;4;0;0;0;20171215
131;lilyobriens.com;0;2;2299911;272;12;2;0;0;20171115
43;lilyobriens.com;0;0;4084534;143;2;0;0;0;20171015
83;lilyobriens.com;12;2;2921168;202;3;2;12;0;20170915
69;lilyobriens.com;3;1;3265568;224;2;1;3;0;20170815
55;lilyobriens.com;0;0;3580513;179;2;0;0;0;20170715
44;lilyobriens.com;0;0;4067213;168;5;0;0;0;20170615
18;lilyobriens.com;0;1;5918014;170;4;1;0;0;20170515
11;lilyobriens.com;3;2;6905089;161;1;2;3;0;20170415
20;lilyobriens.com;4;1;5700248;139;49;1;4;0;20170315
18;lilyobriens.com;14;2;6020358;119;1;2;14;1;20170215
12;lilyobriens.com;0;0;6904255;191;1;0;0;0;20170115
28;lilyobriens.com;0;1;5173624;141;10;1;0;0;20161215
29;lilyobriens.com;0;1;3716065;94;13;1;0;0;20161115
6;lilyobriens.com;12;3;6038243;46;0;3;12;1;20161015
26;lilyobriens.com;0;2;3640275;40;2;2;0;0;20160915
5;lilyobriens.com;0;3;6590345;12;0;3;0;0;20160815
4;lilyobriens.com;0;0;7079553;4;0;0;0;0;20160715
4;lilyobriens.com;0;0;7042224;1;0;0;0;0;20160615
4;lilyobriens.com;0;0;7146022;1;0;0;0;0;20160515
4;lilyobriens.com;0;0;6592493;1;0;0;0;0;20160415
4;lilyobriens.com;0;0;6642303;1;0;0;0;0;20160315
4;lilyobriens.com;0;0;6804097;1;0;0;0;0;20160215
4;lilyobriens.com;0;0;6667915;1;0;0;0;0;20160115
4;lilyobriens.com;0;0;7182778;1;0;0;0;0;20151215
4;lilyobriens.com;0;0;7449909;1;0;0;0;0;20151115
4;lilyobriens.com;0;0;6795931;1;0;0;0;0;20151015
0;lilyobriens.com;0;0;0;0;0;0;0;0;20150915
0;lilyobriens.com;0;0;0;0;0;0;0;0;20150815
0;lilyobriens.com;0;0;0;0;0;0;0;0;20150715
9;lilyobriens.com;0;0;4812518;1;0;0;0;0;20150615
9;lilyobriens.com;0;0;4601420;1;0;0;0;0;20150515
