Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
21582;pheasant.com;0;0;101808;4196;8398;0;0;0;20210615
27063;pheasant.com;0;0;85286;4040;24452;0;0;0;20210515
21800;pheasant.com;0;0;99081;3648;8312;0;0;0;20210415
20461;pheasant.com;0;0;101287;3514;7434;0;0;0;20210315
25658;pheasant.com;0;0;81007;3445;15209;0;0;0;20210215
22624;pheasant.com;0;0;89053;3633;12857;0;0;0;20210115
21826;pheasant.com;0;0;90672;3530;18718;0;0;0;20201215
19293;pheasant.com;0;0;99225;3466;7208;0;0;0;20201115
18445;pheasant.com;0;0;102130;3354;9859;0;0;0;20201015
18075;pheasant.com;0;0;102509;3369;7098;0;0;0;20200915
20064;pheasant.com;120;24;94562;3674;9943;24;120;105;20200815
19768;pheasant.com;0;0;92756;3539;11922;0;0;0;20200715
22325;pheasant.com;0;0;84250;3767;17371;0;0;0;20200615
20784;pheasant.com;129;18;88864;4000;14806;18;129;56;20200515
22692;pheasant.com;95;34;83292;4309;18641;34;95;9;20200415
22596;pheasant.com;0;0;83185;4280;15632;0;0;0;20200315
22245;pheasant.com;0;0;83894;4090;16700;0;0;0;20200215
17651;pheasant.com;0;0;98947;3816;10090;0;0;0;20200115
16722;pheasant.com;0;0;103349;3729;10012;0;0;0;20191215
15499;pheasant.com;0;0;106905;3842;9363;0;0;0;20191115
15422;pheasant.com;0;0;104326;3707;5010;0;0;0;20191015
15441;pheasant.com;0;0;102868;3988;4969;0;0;0;20190915
16464;pheasant.com;0;0;97398;4117;5482;0;0;0;20190815
21239;pheasant.com;0;0;80196;4373;6952;0;0;0;20190715
20170;pheasant.com;0;0;83554;4086;6646;0;0;0;20190615
19516;pheasant.com;1;15;77472;3362;8992;15;1;0;20190515
19977;pheasant.com;569;31;75880;3133;9258;31;569;228;20190415
20349;pheasant.com;35;8;75163;3302;9345;8;35;11;20190315
16853;pheasant.com;0;0;86238;3607;7582;0;0;0;20190215
20167;pheasant.com;0;0;74924;3542;9715;0;0;0;20190115
17458;pheasant.com;0;0;83832;3431;7954;0;0;0;20181215
17785;pheasant.com;0;0;82484;3181;8217;0;0;0;20181115
19513;pheasant.com;0;0;76908;2789;9171;0;0;0;20181015
18500;pheasant.com;0;0;78102;2946;8609;0;0;0;20180915
16408;pheasant.com;0;0;88445;3084;7317;0;0;0;20180815
15977;pheasant.com;0;0;90213;2886;6641;0;0;0;20180715
17039;pheasant.com;15;1;85572;3067;7495;1;15;6;20180615
18060;pheasant.com;0;0;81402;3145;7976;0;0;0;20180515
17423;pheasant.com;0;0;82964;2930;7918;0;0;0;20180415
19094;pheasant.com;0;0;77157;3007;8685;0;0;0;20180315
