Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
720;madmex.com.au;0;0;1272175;509;310;0;0;0;20210615
955;madmex.com.au;0;0;1050849;1446;79;0;0;0;20210515
628;madmex.com.au;0;0;1368468;1612;115;0;0;0;20210415
655;madmex.com.au;1;1;1312147;1402;105;1;1;0;20210315
751;madmex.com.au;0;0;1209380;1645;88;0;0;0;20210215
987;madmex.com.au;2;2;999278;1439;229;2;2;0;20210115
935;madmex.com.au;2;1;1026918;696;381;1;2;0;20201215
588;madmex.com.au;4;1;1384826;560;108;1;4;0;20201115
616;madmex.com.au;0;0;1333899;1422;272;0;0;0;20201015
768;madmex.com.au;0;0;1136510;1998;184;0;0;0;20200915
526;madmex.com.au;0;0;1442283;2145;17;0;0;0;20200815
443;madmex.com.au;0;0;1581440;1800;13;0;0;0;20200715
419;madmex.com.au;0;0;1633059;1189;13;0;0;0;20200615
433;madmex.com.au;0;0;1580406;1166;39;0;0;0;20200515
504;madmex.com.au;0;0;1409453;1218;36;0;0;0;20200415
718;madmex.com.au;0;0;1120944;1119;44;0;0;0;20200315
525;madmex.com.au;0;0;1354449;945;1117;0;0;0;20200215
346;madmex.com.au;0;0;1746810;898;103;0;0;0;20200115
461;madmex.com.au;0;0;1446806;845;306;0;0;0;20191215
708;madmex.com.au;0;0;1038098;908;815;0;0;0;20191115
540;madmex.com.au;0;0;1214851;979;96;0;0;0;20191015
528;madmex.com.au;0;0;1216067;605;51;0;0;0;20190915
541;madmex.com.au;0;0;1194672;643;67;0;0;0;20190815
567;madmex.com.au;0;0;1180775;636;66;0;0;0;20190715
579;madmex.com.au;0;0;1154087;559;55;0;0;0;20190615
632;madmex.com.au;0;0;952205;800;16;0;0;0;20190515
616;madmex.com.au;0;4;966514;589;44;4;0;0;20190415
737;madmex.com.au;21;40;870049;505;68;40;21;0;20190315
576;madmex.com.au;13;12;1013372;1296;45;12;13;0;20190215
755;madmex.com.au;0;0;859068;1065;166;0;0;0;20190115
538;madmex.com.au;0;0;1069105;1071;96;0;0;0;20181215
496;madmex.com.au;0;0;1132581;790;82;0;0;0;20181115
1184;madmex.com.au;0;0;641095;885;299;0;0;0;20181015
907;madmex.com.au;0;0;773292;911;175;0;0;0;20180915
961;madmex.com.au;0;0;751951;1092;220;0;0;0;20180815
811;madmex.com.au;0;0;859366;933;178;0;0;0;20180715
944;madmex.com.au;0;0;769546;1193;229;0;0;0;20180615
900;madmex.com.au;0;0;792786;1335;229;0;0;0;20180515
717;madmex.com.au;0;0;925427;1104;62;0;0;0;20180415
856;madmex.com.au;0;0;824240;1160;62;0;0;0;20180315
744;madmex.com.au;0;0;907301;1450;53;0;0;0;20180215
1041;madmex.com.au;0;0;680869;1472;71;0;0;0;20180115
1340;madmex.com.au;0;0;527489;1389;271;0;0;0;20171215
1322;madmex.com.au;0;0;531278;1359;50;0;0;0;20171115
1096;madmex.com.au;0;0;604997;1228;66;0;0;0;20171015
1110;madmex.com.au;0;0;603032;1268;30;0;0;0;20170915
1052;madmex.com.au;0;0;635517;1213;57;0;0;0;20170815
1138;madmex.com.au;0;0;571328;1277;61;0;0;0;20170715
1315;madmex.com.au;0;0;556034;1420;168;0;0;0;20170615
1342;madmex.com.au;0;0;590946;1434;182;0;0;0;20170515
1173;madmex.com.au;0;0;688546;1515;98;0;0;0;20170415
1270;madmex.com.au;0;0;585207;1473;310;0;0;0;20170315
1322;madmex.com.au;0;0;575438;1513;255;0;0;0;20170215
1980;madmex.com.au;0;0;432935;1522;727;0;0;0;20170115
1572;madmex.com.au;0;0;507158;1233;587;0;0;0;20161215
874;madmex.com.au;0;0;599427;955;582;0;0;0;20161115
756;madmex.com.au;0;0;647153;945;525;0;0;0;20161015
706;madmex.com.au;0;0;674934;839;485;0;0;0;20160915
983;madmex.com.au;0;0;546043;994;703;0;0;0;20160815
783;madmex.com.au;0;0;633993;1009;520;0;0;0;20160715
700;madmex.com.au;0;0;685775;1103;404;0;0;0;20160615
788;madmex.com.au;0;0;632138;1124;539;0;0;0;20160515
477;madmex.com.au;0;0;849458;1102;273;0;0;0;20160415
666;madmex.com.au;0;0;677133;1107;2167;0;0;0;20160315
377;madmex.com.au;0;0;962257;1134;410;0;0;0;20160215
347;madmex.com.au;0;0;1007180;1184;795;0;0;0;20160115
355;madmex.com.au;0;3;1006390;1284;775;3;0;0;20151215
329;madmex.com.au;0;3;1082663;1291;557;3;0;0;20151115
669;madmex.com.au;1;2;660968;1448;2856;2;1;0;20151015
129;madmex.com.au;0;0;1658135;24;356;0;0;0;20150915
121;madmex.com.au;0;0;1732486;24;357;0;0;0;20150815
228;madmex.com.au;0;0;1228386;26;792;0;0;0;20150715
234;madmex.com.au;0;0;1198955;25;215;0;0;0;20150615
914;madmex.com.au;0;0;471121;27;1492;0;0;0;20150515
128;madmex.com.au;0;0;1552204;20;60;0;0;0;20150415
461;madmex.com.au;1;1;724473;24;702;1;1;0;20150315
191;madmex.com.au;2;2;1238966;23;216;2;2;0;20150215
347;madmex.com.au;0;0;872732;20;474;0;0;0;20150115
121;madmex.com.au;1;1;1601332;18;137;1;1;0;20141215
119;madmex.com.au;1;1;1674229;22;120;1;1;0;20141115
189;madmex.com.au;0;0;1352936;19;156;0;0;0;20141015
175;madmex.com.au;0;0;1430206;22;98;0;0;0;20140915
223;madmex.com.au;0;0;1249055;22;208;0;0;0;20140815
245;madmex.com.au;0;2;894414;75;30;2;0;0;20140715
643;madmex.com.au;0;2;499971;91;57;2;0;0;20140615
453;madmex.com.au;0;2;619575;75;171;2;0;0;20140515
377;madmex.com.au;0;3;695592;70;59;3;0;0;20140415
203;madmex.com.au;0;3;997452;67;48;3;0;0;20140315
480;madmex.com.au;0;0;582837;67;162;0;0;0;20140215
243;madmex.com.au;0;0;884910;68;22;0;0;0;20140115
286;madmex.com.au;0;0;792987;68;26;0;0;0;20131215
348;madmex.com.au;0;0;646464;63;21;0;0;0;20131115
116;madmex.com.au;0;0;971131;63;75;0;0;0;20131015
