Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
8696;marz.beer;0;0;203196;1314;12839;0;0;0;20210615
8888;marz.beer;0;0;199020;1458;13178;0;0;0;20210515
8726;marz.beer;0;0;198319;1337;11092;0;0;0;20210415
8169;marz.beer;0;0;204462;1161;7004;0;0;0;20210315
8214;marz.beer;0;0;202692;1190;7321;0;0;0;20210215
8800;marz.beer;0;0;190455;1112;6794;0;0;0;20210115
8822;marz.beer;0;0;187607;1066;11618;0;0;0;20201215
6201;marz.beer;0;0;245804;920;4899;0;0;0;20201115
6694;marz.beer;0;0;229315;905;257;0;0;0;20201015
6336;marz.beer;0;0;236686;883;1266;0;0;0;20200915
6225;marz.beer;0;0;239097;984;930;0;0;0;20200815
6816;marz.beer;0;0;216628;864;924;0;0;0;20200715
6808;marz.beer;0;0;216768;845;911;0;0;0;20200615
7127;marz.beer;0;0;207632;968;37;0;0;0;20200515
8604;marz.beer;0;0;179055;1142;38;0;0;0;20200415
7181;marz.beer;0;0;205613;1466;178;0;0;0;20200315
8458;marz.beer;0;0;179487;1259;558;0;0;0;20200215
8013;marz.beer;0;0;184645;1197;690;0;0;0;20200115
6491;marz.beer;0;0;217153;1130;500;0;0;0;20191215
6243;marz.beer;0;0;217004;861;1402;0;0;0;20191115
5010;marz.beer;0;0;250076;646;4670;0;0;0;20191015
4682;marz.beer;0;0;258135;637;4607;0;0;0;20190915
3090;marz.beer;0;0;351265;550;3242;0;0;0;20190815
3021;marz.beer;0;0;362553;412;3242;0;0;0;20190715
2735;marz.beer;0;0;389224;269;2210;0;0;0;20190615
395;marz.beer;0;0;1281451;20;48;0;0;0;20190515
0;marz.beer;0;0;0;0;0;0;0;0;20190415
0;marz.beer;0;0;0;0;0;0;0;0;20190315
0;marz.beer;0;0;0;0;0;0;0;0;20190215
0;marz.beer;0;0;0;0;0;0;0;0;20190115
0;marz.beer;0;0;0;0;0;0;0;0;20181215
0;marz.beer;0;0;0;0;0;0;0;0;20181115
0;marz.beer;0;0;0;0;0;0;0;0;20181015
0;marz.beer;0;0;0;0;0;0;0;0;20180915
0;marz.beer;0;0;0;0;0;0;0;0;20180815
0;marz.beer;0;0;0;0;0;0;0;0;20180715
0;marz.beer;0;0;0;0;0;0;0;0;20180615
0;marz.beer;0;0;0;0;0;0;0;0;20180515
0;marz.beer;0;0;0;0;0;0;0;0;20180415
0;marz.beer;0;0;0;0;0;0;0;0;20180315
0;marz.beer;0;0;0;0;0;0;0;0;20180215
0;marz.beer;0;0;0;0;0;0;0;0;20180115
0;marz.beer;0;0;0;0;0;0;0;0;20171215
0;marz.beer;0;0;0;0;0;0;0;0;20171115
0;marz.beer;0;0;0;0;0;0;0;0;20171015
0;marz.beer;0;0;0;0;0;0;0;0;20170915
0;marz.beer;0;0;0;0;0;0;0;0;20170815
0;marz.beer;0;0;0;0;0;0;0;0;20170715
0;marz.beer;0;0;0;0;0;0;0;0;20170615
0;marz.beer;0;0;0;0;0;0;0;0;20170515
0;marz.beer;0;0;0;0;0;0;0;0;20170415
0;marz.beer;0;0;0;0;0;0;0;0;20170315
0;marz.beer;0;0;0;0;0;0;0;0;20170215
