Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
100;mehlenbacherscandies.com;0;0;3983000;33;0;0;0;0;20210615
96;mehlenbacherscandies.com;0;0;4063307;37;3;0;0;0;20210515
125;mehlenbacherscandies.com;0;0;3507342;36;4;0;0;0;20210415
137;mehlenbacherscandies.com;0;0;3295664;31;0;0;0;0;20210315
135;mehlenbacherscandies.com;0;0;3335413;33;0;0;0;0;20210215
138;mehlenbacherscandies.com;0;0;3293692;39;0;0;0;0;20210115
138;mehlenbacherscandies.com;0;0;3276906;40;0;0;0;0;20201215
157;mehlenbacherscandies.com;0;0;3036463;49;0;0;0;0;20201115
222;mehlenbacherscandies.com;0;0;2499554;45;0;0;0;0;20201015
102;mehlenbacherscandies.com;0;0;3784780;43;0;0;0;0;20200915
93;mehlenbacherscandies.com;0;0;3948147;44;0;0;0;0;20200815
89;mehlenbacherscandies.com;0;0;3999689;43;0;0;0;0;20200715
107;mehlenbacherscandies.com;0;0;3607314;52;0;0;0;0;20200615
131;mehlenbacherscandies.com;0;0;3177890;65;0;0;0;0;20200515
87;mehlenbacherscandies.com;0;0;3899437;60;0;0;0;0;20200415
92;mehlenbacherscandies.com;0;0;3826182;66;0;0;0;0;20200315
139;mehlenbacherscandies.com;0;0;2998683;56;6;0;0;0;20200215
97;mehlenbacherscandies.com;0;0;3633368;60;4;0;0;0;20200115
80;mehlenbacherscandies.com;0;0;3985722;58;3;0;0;0;20191215
78;mehlenbacherscandies.com;0;0;3823669;68;5;0;0;0;20191115
83;mehlenbacherscandies.com;0;0;3607034;74;7;0;0;0;20191015
81;mehlenbacherscandies.com;0;0;3623726;64;5;0;0;0;20190915
91;mehlenbacherscandies.com;0;0;3432373;58;5;0;0;0;20190815
88;mehlenbacherscandies.com;0;0;3555961;44;1;0;0;0;20190715
72;mehlenbacherscandies.com;0;0;3892611;40;5;0;0;0;20190615
27;mehlenbacherscandies.com;0;0;5118289;35;0;0;0;0;20190515
34;mehlenbacherscandies.com;0;0;4653172;40;0;0;0;0;20190415
33;mehlenbacherscandies.com;0;0;4701252;48;0;0;0;0;20190315
29;mehlenbacherscandies.com;0;0;5072790;45;0;0;0;0;20190215
28;mehlenbacherscandies.com;0;0;5193014;49;0;0;0;0;20190115
28;mehlenbacherscandies.com;0;0;5139257;40;0;0;0;0;20181215
28;mehlenbacherscandies.com;0;0;5203006;36;0;0;0;0;20181115
68;mehlenbacherscandies.com;0;0;3504664;44;0;0;0;0;20181015
76;mehlenbacherscandies.com;0;0;3343124;42;0;0;0;0;20180915
30;mehlenbacherscandies.com;0;0;5228739;48;0;0;0;0;20180815
156;mehlenbacherscandies.com;0;0;2362673;66;2;0;0;0;20180715
26;mehlenbacherscandies.com;0;0;5644739;39;0;0;0;0;20180615
23;mehlenbacherscandies.com;0;0;5994934;34;0;0;0;0;20180515
23;mehlenbacherscandies.com;0;0;6121021;40;0;0;0;0;20180415
25;mehlenbacherscandies.com;0;0;5826964;43;0;0;0;0;20180315
14;mehlenbacherscandies.com;0;0;7024170;55;0;0;0;0;20180215
11;mehlenbacherscandies.com;0;0;7504109;64;3;0;0;0;20180115
9;mehlenbacherscandies.com;0;0;7296593;65;3;0;0;0;20171215
15;mehlenbacherscandies.com;0;0;6126718;84;12;0;0;0;20171115
7;mehlenbacherscandies.com;0;0;7678490;81;3;0;0;0;20171015
12;mehlenbacherscandies.com;0;0;6571590;70;9;0;0;0;20170915
13;mehlenbacherscandies.com;0;0;6363832;62;6;0;0;0;20170815
16;mehlenbacherscandies.com;0;0;5801911;64;13;0;0;0;20170715
27;mehlenbacherscandies.com;0;0;5014502;63;34;0;0;0;20170615
27;mehlenbacherscandies.com;0;0;5183701;68;35;0;0;0;20170515
27;mehlenbacherscandies.com;0;0;5267401;67;35;0;0;0;20170415
14;mehlenbacherscandies.com;0;0;6341501;63;13;0;0;0;20170315
13;mehlenbacherscandies.com;0;0;6584129;67;13;0;0;0;20170215
12;mehlenbacherscandies.com;0;0;6875636;72;12;0;0;0;20170115
12;mehlenbacherscandies.com;0;0;6903273;61;9;0;0;0;20161215
6;mehlenbacherscandies.com;0;0;6360352;51;8;0;0;0;20161115
7;mehlenbacherscandies.com;0;0;5858739;56;9;0;0;0;20161015
6;mehlenbacherscandies.com;0;0;6142622;53;7;0;0;0;20160915
8;mehlenbacherscandies.com;0;0;5691182;52;8;0;0;0;20160815
16;mehlenbacherscandies.com;0;0;4418271;62;18;0;0;0;20160715
23;mehlenbacherscandies.com;0;0;3945419;63;22;0;0;0;20160615
24;mehlenbacherscandies.com;0;0;3843451;55;22;0;0;0;20160515
12;mehlenbacherscandies.com;0;0;4903326;48;6;0;0;0;20160415
16;mehlenbacherscandies.com;0;0;4340835;44;9;0;0;0;20160315
15;mehlenbacherscandies.com;0;0;4429661;44;7;0;0;0;20160215
23;mehlenbacherscandies.com;0;0;3731076;45;11;0;0;0;20160115
18;mehlenbacherscandies.com;0;0;4189742;43;6;0;0;0;20151215
13;mehlenbacherscandies.com;0;0;4952425;38;3;0;0;0;20151115
9;mehlenbacherscandies.com;0;0;5424520;41;2;0;0;0;20151015
3;mehlenbacherscandies.com;0;0;6097412;2;2;0;0;0;20150915
3;mehlenbacherscandies.com;0;0;6413632;3;2;0;0;0;20150815
3;mehlenbacherscandies.com;0;0;6347093;4;2;0;0;0;20150715
4;mehlenbacherscandies.com;0;0;5946101;5;1;0;0;0;20150615
4;mehlenbacherscandies.com;0;0;5795765;4;1;0;0;0;20150515
6;mehlenbacherscandies.com;0;0;5060524;4;9;0;0;0;20150415
43;mehlenbacherscandies.com;0;0;2572335;4;46;0;0;0;20150315
27;mehlenbacherscandies.com;0;0;3111988;5;30;0;0;0;20150215
76;mehlenbacherscandies.com;0;0;2011440;7;77;0;0;0;20150115
32;mehlenbacherscandies.com;0;0;3010057;7;17;0;0;0;20141215
277;mehlenbacherscandies.com;0;0;1061626;5;161;0;0;0;20141115
276;mehlenbacherscandies.com;0;0;1089477;9;203;0;0;0;20141015
174;mehlenbacherscandies.com;0;0;1433962;9;119;0;0;0;20140915
35;mehlenbacherscandies.com;0;0;3095548;9;25;0;0;0;20140815
58;mehlenbacherscandies.com;0;0;1831206;15;31;0;0;0;20140715
289;mehlenbacherscandies.com;0;0;813313;15;219;0;0;0;20140615
33;mehlenbacherscandies.com;0;0;2334111;13;16;0;0;0;20140515
66;mehlenbacherscandies.com;0;0;1745486;13;42;0;0;0;20140415
15;mehlenbacherscandies.com;0;0;3129625;9;3;0;0;0;20140315
33;mehlenbacherscandies.com;0;0;2276597;15;19;0;0;0;20140215
18;mehlenbacherscandies.com;0;0;2914255;9;7;0;0;0;20140115
21;mehlenbacherscandies.com;0;0;2748613;16;10;0;0;0;20131215
36;mehlenbacherscandies.com;0;0;2098664;19;23;0;0;0;20131115
20;mehlenbacherscandies.com;0;0;2273511;14;17;0;0;0;20131015
27;mehlenbacherscandies.com;0;0;2011990;16;21;0;0;0;20130915
32;mehlenbacherscandies.com;0;0;1943064;19;25;0;0;0;20130815
14;mehlenbacherscandies.com;0;0;2769720;14;12;0;0;0;20130715
62;mehlenbacherscandies.com;0;0;1391375;17;34;0;0;0;20130615
199;mehlenbacherscandies.com;0;0;750463;25;166;0;0;0;20130515
109;mehlenbacherscandies.com;0;0;1117981;19;92;0;0;0;20130415
14;mehlenbacherscandies.com;0;0;2962376;22;11;0;0;0;20130315
23;mehlenbacherscandies.com;0;0;2568383;15;16;0;0;0;20130215
63;mehlenbacherscandies.com;0;0;1623975;17;45;0;0;0;20130115
140;mehlenbacherscandies.com;0;0;1068800;17;104;0;0;0;20121215
132;mehlenbacherscandies.com;0;0;1106250;15;97;0;0;0;20121115
128;mehlenbacherscandies.com;0;0;1096734;17;96;0;0;0;20121015
136;mehlenbacherscandies.com;0;0;1138246;16;98;0;0;0;20120915
134;mehlenbacherscandies.com;0;0;1151013;13;98;0;0;0;20120815
121;mehlenbacherscandies.com;0;0;1264892;10;92;0;0;0;20120715
57;mehlenbacherscandies.com;0;0;1882916;12;58;0;0;0;20120615
31;mehlenbacherscandies.com;0;0;2772476;14;27;0;0;0;20120515
24;mehlenbacherscandies.com;0;0;3222560;15;24;0;0;0;20120415
179;mehlenbacherscandies.com;0;0;1202937;12;161;0;0;0;20120315
7;mehlenbacherscandies.com;0;0;4438761;9;7;0;0;0;20120215
4;mehlenbacherscandies.com;0;0;5079858;5;2;0;0;0;20120115
