Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
8;midwestrubs.com;0;0;10745406;30;5;0;0;0;20210615
2;midwestrubs.com;0;0;15549379;20;1;0;0;0;20210515
6;midwestrubs.com;0;0;11395986;23;3;0;0;0;20210415
2;midwestrubs.com;0;0;15414894;18;1;0;0;0;20210315
0;midwestrubs.com;0;0;31869511;23;0;0;0;0;20210215
0;midwestrubs.com;0;0;51584325;15;0;0;0;0;20210115
0;midwestrubs.com;0;0;28257569;15;0;0;0;0;20201215
2;midwestrubs.com;0;0;14979667;23;0;0;0;0;20201115
2;midwestrubs.com;0;0;16382794;28;0;0;0;0;20201015
3;midwestrubs.com;0;0;13726083;26;5;0;0;0;20200915
6;midwestrubs.com;0;0;11331946;24;3;0;0;0;20200815
3;midwestrubs.com;0;0;13521919;24;2;0;0;0;20200715
1;midwestrubs.com;0;0;17438117;24;1;0;0;0;20200615
5;midwestrubs.com;0;0;11582328;21;0;0;0;0;20200515
3;midwestrubs.com;0;0;12818201;24;0;0;0;0;20200415
4;midwestrubs.com;0;0;12358288;32;3;0;0;0;20200315
2;midwestrubs.com;0;0;14533823;20;0;0;0;0;20200215
0;midwestrubs.com;0;0;65172702;12;0;0;0;0;20200115
0;midwestrubs.com;0;0;69574338;10;0;0;0;0;20191215
0;midwestrubs.com;0;0;59130423;13;0;0;0;0;20191115
0;midwestrubs.com;0;0;33890875;14;0;0;0;0;20191015
0;midwestrubs.com;0;0;64747825;16;0;0;0;0;20190915
2;midwestrubs.com;0;0;14753768;14;0;0;0;0;20190815
1;midwestrubs.com;0;0;18045594;18;0;0;0;0;20190715
2;midwestrubs.com;0;0;14553169;21;0;0;0;0;20190615
2;midwestrubs.com;0;0;11227775;17;0;0;0;0;20190515
1;midwestrubs.com;0;0;12779056;15;0;0;0;0;20190415
0;midwestrubs.com;0;0;51768949;12;0;0;0;0;20190315
0;midwestrubs.com;0;0;31072111;12;0;0;0;0;20190215
0;midwestrubs.com;0;0;44350635;12;0;0;0;0;20190115
0;midwestrubs.com;0;0;25503116;13;0;0;0;0;20181215
