Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
875;militaryenergygum.com;0;0;1118411;119;487;0;0;0;20210615
713;militaryenergygum.com;0;0;1276923;98;413;0;0;0;20210515
596;militaryenergygum.com;0;0;1415246;101;278;0;0;0;20210415
730;militaryenergygum.com;0;0;1221684;105;444;0;0;0;20210315
899;militaryenergygum.com;0;0;1071381;104;550;0;0;0;20210215
858;militaryenergygum.com;0;0;1100938;117;533;0;0;0;20210115
783;militaryenergygum.com;0;0;1158887;115;376;0;0;0;20201215
629;militaryenergygum.com;0;0;1324825;76;237;0;0;0;20201115
708;militaryenergygum.com;0;0;1215997;80;449;0;0;0;20201015
745;militaryenergygum.com;0;0;1159755;106;757;0;0;0;20200915
793;militaryenergygum.com;0;0;1100367;112;4954;0;0;0;20200815
799;militaryenergygum.com;0;0;1071190;115;5015;0;0;0;20200715
720;militaryenergygum.com;0;0;1147339;101;4975;0;0;0;20200615
805;militaryenergygum.com;0;0;1051917;122;1698;0;0;0;20200515
610;militaryenergygum.com;0;0;1245523;111;1536;0;0;0;20200415
345;militaryenergygum.com;0;0;1799011;107;514;0;0;0;20200315
353;militaryenergygum.com;0;0;1742470;104;545;0;0;0;20200215
254;militaryenergygum.com;0;0;2106647;99;276;0;0;0;20200115
410;militaryenergygum.com;0;0;1559887;89;424;0;0;0;20191215
306;militaryenergygum.com;0;0;1767414;89;352;0;0;0;20191115
356;militaryenergygum.com;0;0;1579649;107;515;0;0;0;20191015
487;militaryenergygum.com;0;0;1280638;111;775;0;0;0;20190915
381;militaryenergygum.com;0;0;1494376;103;628;0;0;0;20190815
492;militaryenergygum.com;0;0;1294544;92;774;0;0;0;20190715
502;militaryenergygum.com;0;0;1265297;103;792;0;0;0;20190615
703;militaryenergygum.com;0;0;889080;126;429;0;0;0;20190515
588;militaryenergygum.com;0;0;995765;95;344;0;0;0;20190415
460;militaryenergygum.com;0;0;1173558;74;250;0;0;0;20190315
417;militaryenergygum.com;0;0;1241963;56;239;0;0;0;20190215
408;militaryenergygum.com;0;0;1273265;53;230;0;0;0;20190115
400;militaryenergygum.com;0;0;1288078;56;226;0;0;0;20181215
159;militaryenergygum.com;0;0;2218918;49;85;0;0;0;20181115
198;militaryenergygum.com;0;0;1986478;47;102;0;0;0;20181015
124;militaryenergygum.com;0;0;2595730;57;62;0;0;0;20180915
153;militaryenergygum.com;0;0;2333658;78;70;0;0;0;20180815
186;militaryenergygum.com;0;0;2148458;110;90;0;0;0;20180715
182;militaryenergygum.com;0;0;2166759;102;84;0;0;0;20180615
139;militaryenergygum.com;0;0;2508962;112;59;0;0;0;20180515
189;militaryenergygum.com;0;0;2131125;130;95;0;0;0;20180415
183;militaryenergygum.com;0;0;2182388;122;90;0;0;0;20180315
158;militaryenergygum.com;0;0;2306482;149;69;0;0;0;20180215
242;militaryenergygum.com;0;0;1760011;137;137;0;0;0;20180115
283;militaryenergygum.com;0;0;1504720;120;202;0;0;0;20171215
198;militaryenergygum.com;10;6;1832623;109;131;6;10;8;20171115
191;militaryenergygum.com;0;0;1858124;118;120;0;0;0;20171015
215;militaryenergygum.com;4;5;1756202;122;135;5;4;4;20170915
217;militaryenergygum.com;40;11;1767997;116;139;11;40;29;20170815
201;militaryenergygum.com;90;6;1791105;106;123;6;90;69;20170715
184;militaryenergygum.com;38;6;1961101;111;120;6;38;23;20170615
198;militaryenergygum.com;47;1;1989316;118;131;1;47;30;20170515
208;militaryenergygum.com;263;8;2010149;126;138;8;263;183;20170415
209;militaryenergygum.com;56;3;1871659;124;142;3;56;39;20170315
170;militaryenergygum.com;7;4;2133966;126;114;4;7;6;20170215
191;militaryenergygum.com;53;5;2045627;120;128;5;53;37;20170115
263;militaryenergygum.com;103;9;1710811;110;173;9;103;79;20161215
151;militaryenergygum.com;37;3;1727300;85;82;3;37;35;20161115
149;militaryenergygum.com;57;11;1658038;84;79;11;57;48;20161015
174;militaryenergygum.com;98;22;1530752;77;103;22;98;60;20160915
165;militaryenergygum.com;127;29;1590216;84;96;29;127;87;20160815
114;militaryenergygum.com;166;23;1914544;95;68;23;166;121;20160715
117;militaryenergygum.com;96;20;1908766;92;68;20;96;73;20160615
161;militaryenergygum.com;96;19;1620874;89;96;19;96;68;20160515
131;militaryenergygum.com;165;29;1751817;86;81;29;165;115;20160415
133;militaryenergygum.com;166;28;1722599;87;81;28;166;117;20160315
134;militaryenergygum.com;169;28;1708875;91;83;28;169;117;20160215
135;militaryenergygum.com;169;29;1698445;91;83;29;169;116;20160115
160;militaryenergygum.com;131;42;1569837;95;100;42;131;90;20151215
153;militaryenergygum.com;162;43;1675864;96;96;43;162;110;20151115
272;militaryenergygum.com;160;41;1170253;104;248;41;160;190;20151015
160;militaryenergygum.com;163;23;1481565;17;128;23;163;168;20150915
155;militaryenergygum.com;101;24;1521946;17;114;24;101;103;20150815
147;militaryenergygum.com;165;24;1567921;18;135;24;165;192;20150715
153;militaryenergygum.com;118;22;1515183;17;142;22;118;86;20150615
166;militaryenergygum.com;52;21;1375193;15;157;21;52;43;20150515
238;militaryenergygum.com;42;13;1103359;9;211;13;42;41;20150415
284;militaryenergygum.com;0;0;976322;10;434;0;0;0;20150315
98;militaryenergygum.com;0;0;1763010;8;126;0;0;0;20150215
80;militaryenergygum.com;46;16;1954092;6;108;16;46;57;20150115
42;militaryenergygum.com;62;15;2658048;3;64;15;62;95;20141215
47;militaryenergygum.com;32;18;2590404;3;64;18;32;40;20141115
68;militaryenergygum.com;73;16;2292970;5;71;16;73;52;20141015
72;militaryenergygum.com;48;11;2264906;6;73;11;48;19;20140915
71;militaryenergygum.com;30;12;2276273;6;74;12;30;19;20140815
83;militaryenergygum.com;31;17;1550665;7;113;17;31;28;20140715
96;militaryenergygum.com;20;12;1449388;7;127;12;20;18;20140615
77;militaryenergygum.com;73;15;1623610;10;97;15;73;85;20140515
125;militaryenergygum.com;81;17;1283724;8;140;17;81;90;20140415
61;militaryenergygum.com;66;12;1821301;7;85;12;66;82;20140315
61;militaryenergygum.com;71;15;1752065;4;54;15;71;61;20140215
35;militaryenergygum.com;72;17;2247564;2;31;17;72;66;20140115
26;militaryenergygum.com;147;17;2530459;5;23;17;147;127;20131215
2;militaryenergygum.com;122;14;5036961;8;1;14;122;104;20131115
2;militaryenergygum.com;75;12;4564316;4;1;12;75;44;20131015
2;militaryenergygum.com;64;11;4904233;4;1;11;64;38;20130915
1;militaryenergygum.com;80;10;5499010;2;1;10;80;46;20130815
0;militaryenergygum.com;80;10;9853226;1;0;10;80;46;20130715
0;militaryenergygum.com;70;7;13763114;1;0;7;70;40;20130615
0;militaryenergygum.com;84;15;6291895;1;0;15;84;44;20130515
1;militaryenergygum.com;50;9;6483420;2;0;9;50;23;20130415
0;militaryenergygum.com;35;16;0;0;0;16;35;17;20130315
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20130215
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20130115
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20121215
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20121115
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20121015
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120915
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120815
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120715
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120615
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120515
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120415
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120315
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120215
0;militaryenergygum.com;0;0;0;0;0;0;0;0;20120115
