Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1461;montezumas.co.uk;0;0;785574;1198;456;0;0;0;20210615
1332;montezumas.co.uk;0;1;836283;1015;332;1;0;0;20210515
1442;montezumas.co.uk;0;0;776872;1229;410;0;0;0;20210415
2049;montezumas.co.uk;0;0;591516;1239;621;0;0;0;20210315
1910;montezumas.co.uk;0;0;627919;837;527;0;0;0;20210215
1910;montezumas.co.uk;0;0;623336;1048;792;0;0;0;20210115
1865;montezumas.co.uk;0;0;626788;940;922;0;0;0;20201215
1675;montezumas.co.uk;0;0;669375;1008;1196;0;0;0;20201115
1732;montezumas.co.uk;0;0;647431;803;503;0;0;0;20201015
1500;montezumas.co.uk;0;0;709864;769;503;0;0;0;20200915
1543;montezumas.co.uk;0;0;688366;795;456;0;0;0;20200815
1595;montezumas.co.uk;0;0;655636;811;468;0;0;0;20200715
1426;montezumas.co.uk;0;0;710113;756;465;0;0;0;20200615
1560;montezumas.co.uk;0;0;658550;924;215;0;0;0;20200515
1456;montezumas.co.uk;0;0;682892;976;203;0;0;0;20200415
1304;montezumas.co.uk;0;0;739787;905;207;0;0;0;20200315
1798;montezumas.co.uk;0;0;577515;1422;808;0;0;0;20200215
1898;montezumas.co.uk;0;0;550536;1408;681;0;0;0;20200115
1634;montezumas.co.uk;0;0;609179;1403;597;0;0;0;20191215
1358;montezumas.co.uk;0;0;664547;1455;229;0;0;0;20191115
1515;montezumas.co.uk;0;0;602737;1526;232;0;0;0;20191015
1539;montezumas.co.uk;0;1;586168;1413;256;1;0;0;20190915
1572;montezumas.co.uk;0;0;575280;1474;259;0;0;0;20190815
1530;montezumas.co.uk;0;0;596162;1532;229;0;0;0;20190715
1650;montezumas.co.uk;0;0;561984;1390;254;0;0;0;20190615
911;montezumas.co.uk;0;0;748261;1331;309;0;0;0;20190515
955;montezumas.co.uk;0;0;723050;1313;304;0;0;0;20190415
948;montezumas.co.uk;0;0;735065;1435;324;0;0;0;20190315
892;montezumas.co.uk;0;0;761052;1683;261;0;0;0;20190215
838;montezumas.co.uk;0;0;801108;1808;232;0;0;0;20190115
889;montezumas.co.uk;0;0;770456;1982;271;0;0;0;20181215
899;montezumas.co.uk;3;1;767659;1827;260;1;3;4;20181115
992;montezumas.co.uk;0;0;724627;1893;271;0;0;0;20181015
954;montezumas.co.uk;0;0;746436;2054;274;0;0;0;20180915
948;montezumas.co.uk;0;0;758767;2093;285;0;0;0;20180815
923;montezumas.co.uk;0;0;786792;1851;271;0;0;0;20180715
863;montezumas.co.uk;0;0;818664;1898;225;0;0;0;20180615
849;montezumas.co.uk;0;0;825321;1963;212;0;0;0;20180515
883;montezumas.co.uk;0;0;801887;2016;231;0;0;0;20180415
865;montezumas.co.uk;0;0;818214;2131;219;0;0;0;20180315
901;montezumas.co.uk;0;0;797196;2662;226;0;0;0;20180215
788;montezumas.co.uk;0;0;826124;2728;104;0;0;0;20180115
626;montezumas.co.uk;0;0;902869;2700;93;0;0;0;20171215
547;montezumas.co.uk;0;0;983485;2742;50;0;0;0;20171115
601;montezumas.co.uk;0;0;921138;2594;104;0;0;0;20171015
589;montezumas.co.uk;0;0;939674;2491;112;0;0;0;20170915
610;montezumas.co.uk;0;0;930585;2436;117;0;0;0;20170815
581;montezumas.co.uk;0;0;925877;2330;68;0;0;0;20170715
614;montezumas.co.uk;0;0;945341;2197;67;0;0;0;20170615
1062;montezumas.co.uk;0;0;693709;2228;390;0;0;0;20170515
1057;montezumas.co.uk;0;0;737550;2405;386;0;0;0;20170415
577;montezumas.co.uk;0;0;1011034;2266;22;0;0;0;20170315
656;montezumas.co.uk;0;0;942494;2144;29;0;0;0;20170215
730;montezumas.co.uk;0;0;887744;2128;43;0;0;0;20170115
661;montezumas.co.uk;0;0;946402;1999;55;0;0;0;20161215
248;montezumas.co.uk;0;0;1316619;1578;39;0;0;0;20161115
255;montezumas.co.uk;0;0;1243086;1596;38;0;0;0;20161015
283;montezumas.co.uk;0;0;1173620;1585;46;0;0;0;20160915
261;montezumas.co.uk;0;0;1243279;1768;26;0;0;0;20160815
285;montezumas.co.uk;0;0;1178210;1655;29;0;0;0;20160715
372;montezumas.co.uk;0;0;1016148;1521;93;0;0;0;20160615
274;montezumas.co.uk;0;0;1212471;1424;30;0;0;0;20160515
183;montezumas.co.uk;0;0;1473912;1350;50;0;0;0;20160415
180;montezumas.co.uk;0;0;1469581;1360;49;0;0;0;20160315
174;montezumas.co.uk;0;0;1489508;1383;47;0;0;0;20160215
184;montezumas.co.uk;0;0;1440393;1242;50;0;0;0;20160115
213;montezumas.co.uk;0;0;1346370;1325;58;0;0;0;20151215
165;montezumas.co.uk;0;0;1609367;1357;37;0;0;0;20151115
176;montezumas.co.uk;0;0;1500128;1245;42;0;0;0;20151015
130;montezumas.co.uk;0;0;1654032;36;47;0;0;0;20150915
90;montezumas.co.uk;0;0;2001119;28;34;0;0;0;20150815
103;montezumas.co.uk;0;0;1874342;31;35;0;0;0;20150715
143;montezumas.co.uk;0;0;1577182;37;60;0;0;0;20150615
