Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
22187;myspicesage.com;7578;55;99695;11277;69902;55;7578;9841;20210615
20841;myspicesage.com;8656;66;104373;11696;67703;66;8656;11548;20210515
19551;myspicesage.com;4386;51;107724;11283;58323;51;4386;7366;20210415
20825;myspicesage.com;3149;75;99902;11449;60548;75;3149;6172;20210315
21447;myspicesage.com;8709;98;93748;11951;61390;98;8709;12439;20210215
25382;myspicesage.com;5976;74;81062;12575;76514;74;5976;8376;20210115
20695;myspicesage.com;4721;84;94649;12893;78770;84;4721;8972;20201215
14384;myspicesage.com;5736;151;125633;11278;95523;151;5736;10613;20201115
14499;myspicesage.com;4008;143;123974;11441;80673;143;4008;11144;20201015
13179;myspicesage.com;14364;264;132028;11080;37189;264;14364;22315;20200915
18170;myspicesage.com;12202;217;102365;10970;47614;217;12202;19816;20200815
14053;myspicesage.com;5548;141;121966;14023;39999;141;5548;9347;20200715
14456;myspicesage.com;4926;162;119328;13858;40156;162;4926;8433;20200615
13224;myspicesage.com;2359;115;127384;13354;29593;115;2359;4768;20200515
14783;myspicesage.com;1764;79;117133;13916;26644;79;1764;4545;20200415
14952;myspicesage.com;12275;319;115555;14339;25487;319;12275;14229;20200315
15770;myspicesage.com;3991;120;110032;14334;23169;120;3991;7764;20200215
17357;myspicesage.com;9959;157;100312;15637;24338;157;9959;18860;20200115
18863;myspicesage.com;17778;239;93887;16578;21715;239;17778;23322;20191215
17894;myspicesage.com;11188;138;95453;16893;9863;138;11188;9539;20191115
17001;myspicesage.com;15916;114;96691;17281;6674;114;15916;11758;20191015
19486;myspicesage.com;15810;185;85770;17750;8057;185;15810;13397;20190915
20149;myspicesage.com;12426;219;83113;17537;8053;219;12426;10041;20190815
17547;myspicesage.com;10493;142;93424;17891;7194;142;10493;9695;20190715
19340;myspicesage.com;24895;341;86364;17450;7332;341;24895;22725;20190615
26822;myspicesage.com;7016;127;60018;22343;12581;127;7016;5368;20190515
25126;myspicesage.com;3190;69;63306;22478;12189;69;3190;2996;20190415
24386;myspicesage.com;12879;116;65152;20698;12140;116;12879;13414;20190315
16911;myspicesage.com;10755;124;86027;16561;7922;124;10755;9025;20190215
14320;myspicesage.com;2875;132;98024;16296;6855;132;2875;2557;20190115
14682;myspicesage.com;2720;74;96068;16789;7100;74;2720;2109;20181215
14076;myspicesage.com;850;57;99167;14642;6884;57;850;740;20181115
15716;myspicesage.com;21225;211;91279;15256;7374;211;21225;14731;20181015
18189;myspicesage.com;2898;70;79161;17684;8732;70;2898;2428;20180915
21135;myspicesage.com;4035;92;72084;18485;9646;92;4035;3087;20180815
31267;myspicesage.com;1829;52;51951;18166;15513;52;1829;1490;20180715
20692;myspicesage.com;5028;174;73192;18428;9784;174;5028;4000;20180615
22676;myspicesage.com;640;31;67518;17216;10836;31;640;428;20180515
19290;myspicesage.com;54;40;76531;16510;8906;40;54;49;20180415
19978;myspicesage.com;5779;38;74356;16242;9160;38;5779;2280;20180315
28774;myspicesage.com;537;55;57358;21615;14303;55;537;639;20180215
25611;myspicesage.com;70;19;60690;20791;11577;19;70;35;20180115
21846;myspicesage.com;367;29;60742;21071;11483;29;367;202;20171215
21470;myspicesage.com;9173;526;62706;22212;11283;526;9173;6854;20171115
23027;myspicesage.com;0;0;59618;22139;12198;0;0;0;20171015
24476;myspicesage.com;28996;952;57039;22434;15026;952;28996;24354;20170915
24712;myspicesage.com;5695;461;57209;24115;13494;461;5695;5530;20170815
22509;myspicesage.com;2887;244;52768;24312;11903;244;2887;3150;20170715
18581;myspicesage.com;7170;372;73224;21321;9283;372;7170;7998;20170615
23009;myspicesage.com;6279;228;65538;19298;10513;228;6279;5696;20170515
30675;myspicesage.com;27459;306;55198;18896;12572;306;27459;21366;20170415
19621;myspicesage.com;5873;109;70799;19965;9280;109;5873;4352;20170315
21437;myspicesage.com;4056;121;65810;21112;10547;121;4056;3309;20170215
20847;myspicesage.com;4299;127;67398;21408;10327;127;4299;4424;20170115
16921;myspicesage.com;3954;237;78504;15681;8472;237;3954;4636;20161215
12170;myspicesage.com;253;125;82484;12569;6590;125;253;410;20161115
13934;myspicesage.com;539;324;74285;14098;7837;324;539;511;20161015
12627;myspicesage.com;1492;802;79980;12837;6601;802;1492;1766;20160915
12405;myspicesage.com;4555;1109;81371;12927;6530;1109;4555;5169;20160815
12340;myspicesage.com;5372;1147;81433;12607;6582;1147;5372;7224;20160715
11656;myspicesage.com;4362;1143;85108;12108;6129;1143;4362;4651;20160615
11465;myspicesage.com;3900;1236;85850;12136;5944;1236;3900;5930;20160515
11907;myspicesage.com;5788;1658;81614;12514;6324;1658;5788;5905;20160415
12320;myspicesage.com;7483;1757;77123;12618;6016;1757;7483;8079;20160315
12009;myspicesage.com;6790;1909;78487;12606;5886;1909;6790;7270;20160215
10938;myspicesage.com;7116;1843;84379;12329;5699;1843;7116;7397;20160115
11535;myspicesage.com;12030;1732;80959;13264;5648;1732;12030;15490;20151215
11324;myspicesage.com;6523;1916;82981;13084;5717;1916;6523;8174;20151115
9498;myspicesage.com;10654;2148;90878;13145;6178;2148;10654;11034;20151015
9136;myspicesage.com;8518;1260;89752;1309;5762;1260;8518;9772;20150915
7874;myspicesage.com;8923;1286;101729;1260;4785;1286;8923;10483;20150815
8828;myspicesage.com;17472;1216;91521;1304;5159;1216;17472;21335;20150715
8413;myspicesage.com;7707;1164;93922;1307;4802;1164;7707;6931;20150615
7822;myspicesage.com;10957;1840;93090;1232;3978;1840;10957;8482;20150515
8274;myspicesage.com;13373;1930;88280;1269;4067;1930;13373;10636;20150415
8028;myspicesage.com;17214;1837;88775;1214;4240;1837;17214;12771;20150315
7487;myspicesage.com;6829;2101;93998;1186;3525;2101;6829;5904;20150215
9271;myspicesage.com;2408;605;78845;1446;5352;605;2408;2187;20150115
10340;myspicesage.com;3887;871;71543;1526;8043;871;3887;3828;20141215
15860;myspicesage.com;5313;1659;55636;1839;10973;1659;5313;4809;20141115
15566;myspicesage.com;8213;2405;55981;1960;9487;2405;8213;5544;20141015
16111;myspicesage.com;9554;1232;54479;1859;10124;1232;9554;6572;20140915
16186;myspicesage.com;8078;1570;54587;1854;9967;1570;8078;6283;20140815
13915;myspicesage.com;6613;2102;54642;2125;8476;2102;6613;3837;20140715
