Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
8282;thankyourbody.com;0;0;211114;9036;7509;0;0;0;20210615
10310;thankyourbody.com;0;0;177628;12556;10638;0;0;0;20210515
11381;thankyourbody.com;0;0;161927;12981;11257;0;0;0;20210415
11178;thankyourbody.com;0;0;160323;13923;14372;0;0;0;20210315
10891;thankyourbody.com;0;0;161433;13752;13597;0;0;0;20210215
10856;thankyourbody.com;0;0;160868;13980;9022;0;0;0;20210115
10855;thankyourbody.com;0;0;158933;13940;8995;0;0;0;20201215
11060;thankyourbody.com;0;0;154669;12978;7494;0;0;0;20201115
11155;thankyourbody.com;0;0;152625;11832;11316;0;0;0;20201015
8813;thankyourbody.com;0;0;182144;10828;6431;0;0;0;20200915
12415;thankyourbody.com;0;0;138406;15471;9682;0;0;0;20200815
11247;thankyourbody.com;0;0;145530;13829;7949;0;0;0;20200715
9350;thankyourbody.com;0;0;168619;11903;7820;0;0;0;20200615
9468;thankyourbody.com;0;0;166037;12226;7697;0;0;0;20200515
9993;thankyourbody.com;0;0;159347;12518;8431;0;0;0;20200415
11561;thankyourbody.com;0;0;141530;14231;9079;0;0;0;20200315
12974;thankyourbody.com;0;0;128455;14564;12948;0;0;0;20200215
10023;thankyourbody.com;0;0;154947;8946;11053;0;0;0;20200115
6829;thankyourbody.com;0;0;208810;6934;6104;0;0;0;20191215
8727;thankyourbody.com;0;0;167549;10292;9722;0;0;0;20191115
10975;thankyourbody.com;0;0;136399;12274;11218;0;0;0;20191015
17058;thankyourbody.com;0;0;95242;22186;15368;0;0;0;20190915
24539;thankyourbody.com;0;0;71149;23739;19741;0;0;0;20190815
25097;thankyourbody.com;0;0;70253;23390;20102;0;0;0;20190715
21669;thankyourbody.com;0;0;79025;21684;21014;0;0;0;20190615
34061;thankyourbody.com;0;0;49671;32166;22788;0;0;0;20190515
33161;thankyourbody.com;0;0;50607;30663;24170;0;0;0;20190415
36944;thankyourbody.com;0;0;46568;35344;26982;0;0;0;20190315
44170;thankyourbody.com;0;0;39951;44208;30767;0;0;0;20190215
