Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2;naturalnutrition.co.uk;0;0;15894190;10;0;0;0;0;20210615
3;naturalnutrition.co.uk;0;0;14034468;9;0;0;0;0;20210515
3;naturalnutrition.co.uk;0;0;14077328;10;0;0;0;0;20210415
3;naturalnutrition.co.uk;0;0;13908031;7;0;0;0;0;20210315
4;naturalnutrition.co.uk;0;0;12753165;7;0;0;0;0;20210215
4;naturalnutrition.co.uk;0;0;12639729;8;0;0;0;0;20210115
4;naturalnutrition.co.uk;0;0;12344874;7;0;0;0;0;20201215
4;naturalnutrition.co.uk;0;0;13118754;8;0;0;0;0;20201115
3;naturalnutrition.co.uk;0;0;13665702;8;0;0;0;0;20201015
6;naturalnutrition.co.uk;0;0;11569053;9;2;0;0;0;20200915
4;naturalnutrition.co.uk;0;0;13090126;13;0;0;0;0;20200815
4;naturalnutrition.co.uk;0;0;12890197;6;0;0;0;0;20200715
3;naturalnutrition.co.uk;0;0;13754996;7;0;0;0;0;20200615
4;naturalnutrition.co.uk;0;0;12687892;10;0;0;0;0;20200515
7;naturalnutrition.co.uk;0;0;10474425;13;0;0;0;0;20200415
6;naturalnutrition.co.uk;0;0;10931709;9;0;0;0;0;20200315
6;naturalnutrition.co.uk;0;0;10741769;7;0;0;0;0;20200215
0;naturalnutrition.co.uk;0;0;59484912;5;0;0;0;0;20200115
0;naturalnutrition.co.uk;0;0;54838838;5;0;0;0;0;20191215
0;naturalnutrition.co.uk;0;0;31158736;4;0;0;0;0;20191115
0;naturalnutrition.co.uk;0;0;59881189;7;0;0;0;0;20191015
0;naturalnutrition.co.uk;0;0;26054172;9;0;0;0;0;20190915
0;naturalnutrition.co.uk;0;0;67883029;10;0;0;0;0;20190815
14;naturalnutrition.co.uk;0;0;8394620;11;23;0;0;0;20190715
14;naturalnutrition.co.uk;0;0;8226364;6;23;0;0;0;20190615
