Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4731;planetorganic.com;8;7;326431;13502;3347;7;8;0;20210615
4077;planetorganic.com;1;2;364576;11453;2619;2;1;0;20210515
4104;planetorganic.com;4;6;355940;10741;2694;6;4;0;20210415
4014;planetorganic.com;0;2;355634;9663;1528;2;0;0;20210315
4143;planetorganic.com;0;0;348744;10978;1655;0;0;0;20210215
4283;planetorganic.com;3;2;337535;11730;863;2;3;0;20210115
4336;planetorganic.com;1;1;330070;12130;1446;1;1;0;20201215
4710;planetorganic.com;1;1;305420;12120;975;1;1;0;20201115
6130;planetorganic.com;2;2;245915;13607;2049;2;2;0;20201015
6071;planetorganic.com;0;1;244897;13871;1814;1;0;0;20200915
6180;planetorganic.com;0;0;240427;13494;2369;0;0;0;20200815
6189;planetorganic.com;0;0;233751;12810;2172;0;0;0;20200715
6148;planetorganic.com;0;0;234937;13548;2195;0;0;0;20200615
6111;planetorganic.com;0;0;234244;14149;1762;0;0;0;20200515
6550;planetorganic.com;0;0;221519;16324;1768;0;0;0;20200415
6631;planetorganic.com;0;0;218797;17592;1726;0;0;0;20200315
6665;planetorganic.com;2;1;216023;18965;2043;1;2;0;20200215
7034;planetorganic.com;0;1;204294;20722;2883;1;0;0;20200115
7579;planetorganic.com;0;0;192619;21427;3230;0;0;0;20191215
6881;planetorganic.com;0;1;201320;19784;4048;1;0;0;20191115
7042;planetorganic.com;0;2;192586;20386;3583;2;0;0;20191015
6772;planetorganic.com;2;3;194762;19436;3416;3;2;0;20190915
6974;planetorganic.com;0;1;189547;19652;3461;1;0;0;20190815
7127;planetorganic.com;0;1;188776;20487;3920;1;0;0;20190715
6589;planetorganic.com;9;8;200335;19290;3257;8;9;1;20190615
5057;planetorganic.com;7;5;218996;18629;3585;5;7;3;20190515
5462;planetorganic.com;1;3;206204;18690;4757;3;1;0;20190415
5187;planetorganic.com;0;1;216849;17214;4459;1;0;0;20190315
5243;planetorganic.com;0;1;213084;17689;5239;1;0;0;20190215
5907;planetorganic.com;0;3;194843;18837;5964;3;0;0;20190115
5228;planetorganic.com;0;1;214366;18757;5449;1;0;4;20181215
5502;planetorganic.com;1;1;206109;17902;5477;1;1;2;20181115
5196;planetorganic.com;2;2;216688;17427;5065;2;2;2;20181015
5452;planetorganic.com;0;2;206722;17821;5224;2;0;0;20180915
5632;planetorganic.com;1;3;205395;18247;4964;3;1;2;20180815
5214;planetorganic.com;0;0;218924;15910;5242;0;0;0;20180715
5669;planetorganic.com;0;0;204452;15711;5916;0;0;0;20180615
5360;planetorganic.com;0;0;212351;15749;5687;0;0;0;20180515
4330;planetorganic.com;0;0;248128;16028;3040;0;0;0;20180415
4402;planetorganic.com;0;0;245962;16849;2853;0;0;0;20180315
5313;planetorganic.com;0;0;218805;21004;5150;0;0;0;20180215
4741;planetorganic.com;0;0;233775;18679;1969;0;0;0;20180115
4302;planetorganic.com;0;0;224821;18035;2107;0;0;0;20171215
4207;planetorganic.com;0;1;229683;20637;1969;1;0;0;20171115
4260;planetorganic.com;0;0;228247;20189;2403;0;0;0;20171015
4222;planetorganic.com;0;0;230887;22968;1933;0;0;0;20170915
4453;planetorganic.com;0;1;224492;23694;2029;1;0;0;20170815
4175;planetorganic.com;0;2;215991;22106;1968;2;0;0;20170715
4289;planetorganic.com;0;1;235728;21241;1815;1;0;0;20170615
3926;planetorganic.com;0;0;276891;17052;1516;0;0;0;20170515
3910;planetorganic.com;0;2;308669;16315;1568;2;0;0;20170415
3612;planetorganic.com;0;0;274984;16424;1266;0;0;0;20170315
3800;planetorganic.com;0;3;266001;17198;1454;3;0;0;20170215
3753;planetorganic.com;0;2;268694;18116;1360;2;0;0;20170115
2981;planetorganic.com;4;6;315802;14481;862;6;4;2;20161215
1231;planetorganic.com;0;0;471303;11432;539;0;0;0;20161115
1165;planetorganic.com;0;0;483282;12288;509;0;0;0;20161015
1259;planetorganic.com;0;0;456973;12667;585;0;0;0;20160915
1494;planetorganic.com;0;5;408119;13060;761;5;0;0;20160815
1214;planetorganic.com;0;4;470756;12010;541;4;0;0;20160715
1166;planetorganic.com;0;6;485099;10868;523;6;0;0;20160615
1074;planetorganic.com;0;7;512246;10398;392;7;0;0;20160515
1037;planetorganic.com;2;9;511350;9841;705;9;2;1;20160415
1024;planetorganic.com;2;9;506330;9789;655;9;2;1;20160315
1011;planetorganic.com;2;8;508922;9677;642;8;2;1;20160215
1020;planetorganic.com;2;8;505353;9324;653;8;2;1;20160115
930;planetorganic.com;1;11;541770;9989;536;11;1;0;20151215
957;planetorganic.com;1;14;537565;10163;613;14;1;1;20151115
924;planetorganic.com;1;10;528635;9822;331;10;1;1;20151015
528;planetorganic.com;1;1;732479;185;259;1;1;1;20150915
491;planetorganic.com;1;1;774927;178;225;1;1;1;20150815
421;planetorganic.com;0;0;852027;198;199;0;0;0;20150715
373;planetorganic.com;1;1;908186;193;218;1;1;1;20150615
392;planetorganic.com;1;1;831508;180;256;1;1;1;20150515
380;planetorganic.com;0;0;834720;169;405;0;0;0;20150415
409;planetorganic.com;1;1;782412;164;420;1;1;0;20150315
401;planetorganic.com;0;0;798464;158;416;0;0;0;20150215
537;planetorganic.com;0;0;658841;157;583;0;0;0;20150115
368;planetorganic.com;0;0;841557;151;390;0;0;0;20141215
381;planetorganic.com;1;1;875996;180;699;1;1;0;20141115
398;planetorganic.com;0;0;869257;178;277;0;0;0;20141015
382;planetorganic.com;0;0;900491;184;185;0;0;0;20140915
466;planetorganic.com;0;0;796110;205;321;0;0;0;20140815
423;planetorganic.com;0;0;652742;378;147;0;0;0;20140715
372;planetorganic.com;0;0;702965;333;94;0;0;0;20140615
219;planetorganic.com;0;0;948998;296;68;0;0;0;20140515
355;planetorganic.com;0;0;721087;283;85;0;0;0;20140415
365;planetorganic.com;0;0;713145;280;84;0;0;0;20140315
380;planetorganic.com;0;0;674121;278;219;0;0;0;20140215
412;planetorganic.com;0;1;650418;296;205;1;0;0;20140115
261;planetorganic.com;0;0;835905;280;132;0;0;0;20131215
239;planetorganic.com;0;0;807363;258;126;0;0;0;20131115
281;planetorganic.com;0;0;578411;287;127;0;0;0;20131015
274;planetorganic.com;0;0;593131;296;124;0;0;0;20130915
226;planetorganic.com;0;0;679687;320;125;0;0;0;20130815
119;planetorganic.com;0;0;996077;349;78;0;0;0;20130715
64;planetorganic.com;0;0;1365027;301;35;0;0;0;20130615
73;planetorganic.com;0;0;1323479;257;53;0;0;0;20130515
80;planetorganic.com;0;0;1326523;285;73;0;0;0;20130415
140;planetorganic.com;0;0;989738;239;88;0;0;0;20130315
101;planetorganic.com;0;0;1255357;162;63;0;0;0;20130215
68;planetorganic.com;0;0;1560876;160;45;0;0;0;20130115
97;planetorganic.com;0;0;1311285;169;49;0;0;0;20121215
90;planetorganic.com;0;0;1359501;144;36;0;0;0;20121115
81;planetorganic.com;0;0;1393983;133;45;0;0;0;20121015
53;planetorganic.com;0;0;1851123;149;24;0;0;0;20120915
53;planetorganic.com;0;0;1853413;143;24;0;0;0;20120815
35;planetorganic.com;0;0;2345113;85;18;0;0;0;20120715
37;planetorganic.com;0;0;2307730;89;9;0;0;0;20120615
61;planetorganic.com;0;0;2045540;123;18;0;0;0;20120515
58;planetorganic.com;0;0;2183140;128;14;0;0;0;20120415
76;planetorganic.com;0;0;1905977;118;27;0;0;0;20120315
71;planetorganic.com;0;0;1868213;100;28;0;0;0;20120215
82;planetorganic.com;0;0;1724639;116;32;0;0;0;20120115
