Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1435;normansfarmmarket.com;0;0;795532;846;2490;0;0;0;20210615
1342;normansfarmmarket.com;0;0;831912;690;1721;0;0;0;20210515
1184;normansfarmmarket.com;0;0;892880;640;1078;0;0;0;20210415
935;normansfarmmarket.com;0;0;1033964;729;1312;0;0;0;20210315
985;normansfarmmarket.com;0;0;1005834;699;1330;0;0;0;20210215
839;normansfarmmarket.com;0;0;1118156;753;1048;0;0;0;20210115
965;normansfarmmarket.com;0;0;1004326;877;915;0;0;0;20201215
1001;normansfarmmarket.com;88;3;967283;1019;873;3;88;0;20201115
1297;normansfarmmarket.com;235;1;798754;955;1838;1;235;0;20201015
1863;normansfarmmarket.com;108;3;605420;891;2297;3;108;0;20200915
1012;normansfarmmarket.com;1;1;929961;875;594;1;1;0;20200815
645;normansfarmmarket.com;0;0;1237977;902;811;0;0;0;20200715
594;normansfarmmarket.com;0;0;1303703;819;1051;0;0;0;20200615
537;normansfarmmarket.com;0;0;1375601;582;1188;0;0;0;20200515
360;normansfarmmarket.com;0;0;1741791;382;621;0;0;0;20200415
398;normansfarmmarket.com;0;0;1646432;554;506;0;0;0;20200315
453;normansfarmmarket.com;0;0;1490917;921;333;0;0;0;20200215
561;normansfarmmarket.com;0;1;1285752;1239;386;1;0;0;20200115
695;normansfarmmarket.com;0;1;1106113;1369;541;1;0;0;20191215
477;normansfarmmarket.com;0;0;1342402;1327;299;0;0;0;20191115
464;normansfarmmarket.com;0;1;1338645;1100;158;1;0;0;20191015
276;normansfarmmarket.com;0;0;1823184;824;132;0;0;0;20190915
253;normansfarmmarket.com;0;0;1923366;787;142;0;0;0;20190815
218;normansfarmmarket.com;0;0;2140544;722;182;0;0;0;20190715
205;normansfarmmarket.com;0;0;2188276;696;160;0;0;0;20190615
237;normansfarmmarket.com;0;0;1730132;929;129;0;0;0;20190515
290;normansfarmmarket.com;0;0;1537097;911;289;0;0;0;20190415
452;normansfarmmarket.com;0;0;1186099;826;413;0;0;0;20190315
244;normansfarmmarket.com;0;0;1708732;782;207;0;0;0;20190215
265;normansfarmmarket.com;0;0;1648772;764;239;0;0;0;20190115
469;normansfarmmarket.com;0;0;1167482;783;373;0;0;0;20181215
530;normansfarmmarket.com;0;0;1085326;818;350;0;0;0;20181115
463;normansfarmmarket.com;0;0;1195722;760;427;0;0;0;20181015
646;normansfarmmarket.com;0;0;971507;725;933;0;0;0;20180915
349;normansfarmmarket.com;0;0;1451049;633;221;0;0;0;20180815
237;normansfarmmarket.com;0;0;1866880;458;185;0;0;0;20180715
374;normansfarmmarket.com;0;0;1413380;464;321;0;0;0;20180615
412;normansfarmmarket.com;0;0;1329048;478;437;0;0;0;20180515
333;normansfarmmarket.com;0;0;1522275;459;222;0;0;0;20180415
587;normansfarmmarket.com;0;0;1063066;429;490;0;0;0;20180315
302;normansfarmmarket.com;0;0;1595899;455;94;0;0;0;20180215
262;normansfarmmarket.com;0;0;1680455;425;285;0;0;0;20180115
192;normansfarmmarket.com;0;0;1876344;403;272;0;0;0;20171215
152;normansfarmmarket.com;18;1;2117446;367;133;1;18;0;20171115
482;normansfarmmarket.com;0;0;1066858;305;257;0;0;0;20171015
154;normansfarmmarket.com;26;4;2107751;278;165;4;26;54;20170915
251;normansfarmmarket.com;0;0;1627297;261;307;0;0;0;20170815
182;normansfarmmarket.com;0;0;1893351;229;180;0;0;0;20170715
118;normansfarmmarket.com;0;0;2477874;228;111;0;0;0;20170615
241;normansfarmmarket.com;0;0;1789797;497;594;0;0;0;20170515
402;normansfarmmarket.com;0;0;1399990;677;524;0;0;0;20170415
330;normansfarmmarket.com;0;0;1444831;775;697;0;0;0;20170315
299;normansfarmmarket.com;0;0;1560848;838;603;0;0;0;20170215
346;normansfarmmarket.com;0;0;1457239;813;800;0;0;0;20170115
301;normansfarmmarket.com;0;0;1580252;717;554;0;0;0;20161215
234;normansfarmmarket.com;0;0;1360400;543;568;0;0;0;20161115
203;normansfarmmarket.com;0;0;1410208;549;586;0;0;0;20161015
144;normansfarmmarket.com;0;0;1692085;539;426;0;0;0;20160915
488;normansfarmmarket.com;0;0;860457;541;1459;0;0;0;20160815
392;normansfarmmarket.com;0;0;978538;474;917;0;0;0;20160715
