Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
3;paindor.fr;0;0;13710043;8;0;0;0;0;20210615
3;paindor.fr;0;0;13735435;10;0;0;0;0;20210515
6;paindor.fr;0;0;11374871;8;0;0;0;0;20210415
6;paindor.fr;0;0;11082885;10;0;0;0;0;20210315
7;paindor.fr;0;0;10905179;10;0;0;0;0;20210215
7;paindor.fr;0;0;10886055;10;0;0;0;0;20210115
7;paindor.fr;0;0;10970826;12;0;0;0;0;20201215
7;paindor.fr;0;0;10904243;10;0;0;0;0;20201115
26;paindor.fr;0;0;7584985;10;0;0;0;0;20201015
9;paindor.fr;0;0;10192161;7;0;0;0;0;20200915
9;paindor.fr;0;0;10198459;8;0;0;0;0;20200815
8;paindor.fr;0;0;10604791;8;0;0;0;0;20200715
9;paindor.fr;0;0;10156673;7;0;0;0;0;20200615
9;paindor.fr;0;0;10050441;4;0;0;0;0;20200515
4;paindor.fr;0;0;11789966;4;0;0;0;0;20200415
7;paindor.fr;0;0;10574325;8;0;0;0;0;20200315
9;paindor.fr;0;0;9880201;11;0;0;0;0;20200215
9;paindor.fr;0;0;9758164;12;0;0;0;0;20200115
11;paindor.fr;0;0;9317496;10;0;0;0;0;20191215
30;paindor.fr;0;0;6204043;13;0;0;0;0;20191115
33;paindor.fr;0;0;5776636;14;0;0;0;0;20191015
34;paindor.fr;0;0;5724528;13;0;0;0;0;20190915
20;paindor.fr;0;0;7308272;14;0;0;0;0;20190815
40;paindor.fr;0;0;5469743;15;0;0;0;0;20190715
43;paindor.fr;0;0;5104222;10;0;0;0;0;20190615
0;paindor.fr;0;0;15409276;2;0;0;0;0;20190515
0;paindor.fr;0;0;31949518;2;0;0;0;0;20190415
0;paindor.fr;0;0;0;0;0;0;0;0;20190315
0;paindor.fr;0;0;45371898;1;0;0;0;0;20190215
0;paindor.fr;0;0;35609994;1;0;0;0;0;20190115
0;paindor.fr;0;0;18600806;2;0;0;0;0;20181215
0;paindor.fr;0;0;0;0;0;0;0;0;20181115
0;paindor.fr;0;0;43840877;1;0;0;0;0;20181015
0;paindor.fr;0;0;0;0;0;0;0;0;20180915
0;paindor.fr;0;0;0;0;0;0;0;0;20180815
0;paindor.fr;0;0;44385918;2;0;0;0;0;20180715
0;paindor.fr;0;0;0;0;0;0;0;0;20180615
0;paindor.fr;0;0;29085303;1;0;0;0;0;20180515
0;paindor.fr;0;0;0;0;0;0;0;0;20180415
0;paindor.fr;0;0;0;0;0;0;0;0;20180315
0;paindor.fr;0;0;50046575;1;0;0;0;0;20180215
0;paindor.fr;0;0;18863310;1;0;0;0;0;20180115
0;paindor.fr;0;0;27880777;1;0;0;0;0;20171215
0;paindor.fr;0;0;0;0;0;0;0;0;20171115
0;paindor.fr;0;0;0;0;0;0;0;0;20171015
0;paindor.fr;0;0;0;0;0;0;0;0;20170915
0;paindor.fr;0;0;0;0;0;0;0;0;20170815
0;paindor.fr;0;0;41469984;1;0;0;0;0;20170715
0;paindor.fr;0;0;42107384;1;0;0;0;0;20170615
