Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1702;pastamancini.com;0;0;703855;173;1356;0;0;0;20210615
1392;pastamancini.com;0;0;810279;173;746;0;0;0;20210515
1655;pastamancini.com;0;0;703443;167;322;0;0;0;20210415
2422;pastamancini.com;0;0;522174;162;1918;0;0;0;20210315
1814;pastamancini.com;0;0;652008;174;447;0;0;0;20210215
2442;pastamancini.com;0;0;519108;199;1504;0;0;0;20210115
2152;pastamancini.com;0;0;563752;177;1326;0;0;0;20201215
2043;pastamancini.com;0;0;577945;171;1384;0;0;0;20201115
2014;pastamancini.com;0;0;579112;169;1170;0;0;0;20201015
2099;pastamancini.com;0;0;553966;175;1231;0;0;0;20200915
1452;pastamancini.com;0;0;719497;157;857;0;0;0;20200815
1761;pastamancini.com;0;0;609671;180;1147;0;0;0;20200715
1789;pastamancini.com;0;0;601456;179;841;0;0;0;20200615
2953;pastamancini.com;0;0;409949;174;1162;0;0;0;20200515
2414;pastamancini.com;0;0;472391;157;749;0;0;0;20200415
2850;pastamancini.com;0;0;417188;143;997;0;0;0;20200315
2862;pastamancini.com;0;0;410799;134;738;0;0;0;20200215
3276;pastamancini.com;0;0;367189;141;1022;0;0;0;20200115
3197;pastamancini.com;0;0;372352;132;990;0;0;0;20191215
2123;pastamancini.com;0;0;484266;123;827;0;0;0;20191115
2310;pastamancini.com;0;0;445002;106;1178;0;0;0;20191015
1850;pastamancini.com;0;0;513674;130;750;0;0;0;20190915
1986;pastamancini.com;0;0;485746;147;701;0;0;0;20190815
1409;pastamancini.com;0;0;632586;119;224;0;0;0;20190715
1446;pastamancini.com;0;0;617226;109;269;0;0;0;20190615
889;pastamancini.com;0;0;761034;102;76;0;0;0;20190515
920;pastamancini.com;0;0;741523;83;31;0;0;0;20190415
1370;pastamancini.com;0;0;571241;112;278;0;0;0;20190315
1140;pastamancini.com;0;0;644175;122;161;0;0;0;20190215
910;pastamancini.com;0;0;757475;120;28;0;0;0;20190115
1030;pastamancini.com;0;0;696767;105;86;0;0;0;20181215
482;pastamancini.com;0;0;1153194;91;91;0;0;0;20181115
452;pastamancini.com;0;0;1214484;91;98;0;0;0;20181015
334;pastamancini.com;0;0;1478002;72;32;0;0;0;20180915
307;pastamancini.com;0;0;1568580;59;14;0;0;0;20180815
252;pastamancini.com;0;0;1801467;58;9;0;0;0;20180715
315;pastamancini.com;0;0;1570090;58;12;0;0;0;20180615
268;pastamancini.com;0;0;1729459;60;18;0;0;0;20180515
253;pastamancini.com;0;0;1798563;66;25;0;0;0;20180415
930;pastamancini.com;0;0;777486;63;394;0;0;0;20180315
162;pastamancini.com;0;0;2275935;89;63;0;0;0;20180215
311;pastamancini.com;0;0;1519600;94;112;0;0;0;20180115
217;pastamancini.com;0;0;1754420;89;36;0;0;0;20171215
160;pastamancini.com;0;0;2065654;78;18;0;0;0;20171115
79;pastamancini.com;0;0;2983725;83;13;0;0;0;20171015
118;pastamancini.com;0;0;2430473;77;48;0;0;0;20170915
100;pastamancini.com;0;0;2679960;62;14;0;0;0;20170815
79;pastamancini.com;0;0;2946016;55;2;0;0;0;20170715
79;pastamancini.com;0;0;3042462;67;6;0;0;0;20170615
38;pastamancini.com;0;0;4570700;68;7;0;0;0;20170515
37;pastamancini.com;0;0;4683963;64;7;0;0;0;20170415
28;pastamancini.com;0;0;5051457;72;1;0;0;0;20170315
41;pastamancini.com;0;0;4458611;61;9;0;0;0;20170215
41;pastamancini.com;0;0;4565488;57;20;0;0;0;20170115
28;pastamancini.com;0;0;5221728;46;1;0;0;0;20161215
25;pastamancini.com;0;0;3891940;37;1;0;0;0;20161115
33;pastamancini.com;0;0;3302400;35;3;0;0;0;20161015
32;pastamancini.com;0;0;3388101;33;3;0;0;0;20160915
30;pastamancini.com;0;0;3477856;36;5;0;0;0;20160815
39;pastamancini.com;0;0;3128688;39;16;0;0;0;20160715
43;pastamancini.com;0;0;3037838;36;18;0;0;0;20160615
40;pastamancini.com;0;0;3147684;34;13;0;0;0;20160515
31;pastamancini.com;0;0;3407384;34;10;0;0;0;20160415
31;pastamancini.com;0;0;3370528;35;10;0;0;0;20160315
40;pastamancini.com;0;0;3032037;35;22;0;0;0;20160215
31;pastamancini.com;0;0;3338063;33;10;0;0;0;20160115
29;pastamancini.com;0;0;3487898;30;6;0;0;0;20151215
26;pastamancini.com;0;0;3818382;29;1;0;0;0;20151115
26;pastamancini.com;0;0;3727763;28;1;0;0;0;20151015
28;pastamancini.com;0;0;3300568;4;1;0;0;0;20150915
28;pastamancini.com;0;0;3330455;4;1;0;0;0;20150815
28;pastamancini.com;0;0;3348363;4;1;0;0;0;20150715
21;pastamancini.com;0;0;3716489;4;0;0;0;0;20150615
23;pastamancini.com;0;0;3420337;5;0;0;0;0;20150515
19;pastamancini.com;0;0;3573758;4;0;0;0;0;20150415
17;pastamancini.com;0;0;3690946;3;0;0;0;0;20150315
17;pastamancini.com;0;0;3732294;2;0;0;0;0;20150215
17;pastamancini.com;0;0;3758230;2;0;0;0;0;20150115
17;pastamancini.com;0;0;3809700;2;1;0;0;0;20141215
17;pastamancini.com;0;0;3846896;2;1;0;0;0;20141115
17;pastamancini.com;0;0;4091112;2;0;0;0;0;20141015
19;pastamancini.com;0;0;3922354;3;0;0;0;0;20140915
19;pastamancini.com;0;0;3935450;3;0;0;0;0;20140815
0;pastamancini.com;0;0;0;0;0;0;0;0;20140715
0;pastamancini.com;0;0;0;0;0;0;0;0;20140615
0;pastamancini.com;0;0;0;0;0;0;0;0;20140515
0;pastamancini.com;0;0;0;0;0;0;0;0;20140415
0;pastamancini.com;0;0;0;0;0;0;0;0;20140315
