Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4;cidrines.com;0;0;12983715;8;0;0;0;0;20210615
499;cidrines.com;0;0;1602872;96;0;0;0;0;20210515
733;cidrines.com;0;0;1237552;160;11;0;0;0;20210415
718;cidrines.com;0;0;1235103;155;3;0;0;0;20210315
735;cidrines.com;0;0;1226902;158;15;0;0;0;20210215
598;cidrines.com;0;0;1397618;158;9;0;0;0;20210115
606;cidrines.com;0;0;1371071;168;15;0;0;0;20201215
562;cidrines.com;0;0;1425772;130;11;0;0;0;20201115
740;cidrines.com;0;0;1181410;127;0;0;0;0;20201015
701;cidrines.com;0;0;1208488;127;1;0;0;0;20200915
710;cidrines.com;0;0;1184079;130;24;0;0;0;20200815
681;cidrines.com;0;0;1193715;131;13;0;0;0;20200715
669;cidrines.com;251;25;1203868;132;3;25;251;1354;20200615
646;cidrines.com;0;0;1219039;135;0;0;0;0;20200515
369;cidrines.com;0;0;1715873;97;0;0;0;0;20200415
365;cidrines.com;0;0;1738009;87;0;0;0;0;20200315
310;cidrines.com;0;0;1889733;101;0;0;0;0;20200215
342;cidrines.com;0;0;1761526;126;0;0;0;0;20200115
339;cidrines.com;0;0;1753497;123;0;0;0;0;20191215
297;cidrines.com;0;0;1800787;109;0;0;0;0;20191115
248;cidrines.com;0;0;1966015;104;14;0;0;0;20191015
229;cidrines.com;0;0;2034167;103;4;0;0;0;20190915
221;cidrines.com;0;0;2079729;101;4;0;0;0;20190815
221;cidrines.com;0;0;2122698;92;4;0;0;0;20190715
194;cidrines.com;0;0;2254963;71;4;0;0;0;20190615
88;cidrines.com;0;0;2941190;46;0;0;0;0;20190515
83;cidrines.com;0;0;3023256;44;0;0;0;0;20190415
95;cidrines.com;0;0;2829942;37;0;0;0;0;20190315
95;cidrines.com;0;0;2850027;43;0;0;0;0;20190215
95;cidrines.com;0;0;2896898;43;0;0;0;0;20190115
13;cidrines.com;0;0;6827291;37;0;0;0;0;20181215
84;cidrines.com;0;0;3095773;41;0;0;0;0;20181115
107;cidrines.com;0;0;2775744;39;0;0;0;0;20181015
120;cidrines.com;0;0;2641310;44;1;0;0;0;20180915
98;cidrines.com;0;0;2945067;48;0;0;0;0;20180815
41;cidrines.com;0;0;4691240;55;1;0;0;0;20180715
26;cidrines.com;0;0;5692094;52;0;0;0;0;20180615
26;cidrines.com;0;0;5691966;52;0;0;0;0;20180515
37;cidrines.com;0;0;4967994;53;1;0;0;0;20180415
99;cidrines.com;0;0;3038605;56;1;0;0;0;20180315
22;cidrines.com;0;0;5820495;59;1;0;0;0;20180215
52;cidrines.com;0;0;4065195;46;0;0;0;0;20180115
44;cidrines.com;0;0;4095698;40;0;0;0;0;20171215
44;cidrines.com;0;0;4054657;42;0;0;0;0;20171115
44;cidrines.com;0;0;4015678;40;0;0;0;0;20171015
14;cidrines.com;0;0;6239689;40;0;0;0;0;20170915
42;cidrines.com;0;0;4158430;39;0;0;0;0;20170815
43;cidrines.com;0;0;4022760;35;0;0;0;0;20170715
44;cidrines.com;0;0;4086580;33;0;0;0;0;20170615
59;cidrines.com;0;0;3676380;36;0;0;0;0;20170515
48;cidrines.com;0;0;4120593;35;0;0;0;0;20170415
46;cidrines.com;0;0;4047819;35;0;0;0;0;20170315
44;cidrines.com;0;0;4251987;35;0;0;0;0;20170215
48;cidrines.com;0;0;4164633;30;0;0;0;0;20170115
50;cidrines.com;0;0;4068550;26;0;0;0;0;20161215
1;cidrines.com;0;0;9993393;11;0;0;0;0;20161115
0;cidrines.com;0;0;36891403;11;0;0;0;0;20161015
0;cidrines.com;0;0;12864626;7;0;0;0;0;20160915
0;cidrines.com;0;0;16299474;7;0;0;0;0;20160815
1;cidrines.com;0;0;9475339;9;0;0;0;0;20160715
1;cidrines.com;0;0;8916719;8;0;0;0;0;20160615
1;cidrines.com;0;0;9425250;9;0;0;0;0;20160515
8;cidrines.com;0;0;5719899;11;0;0;0;0;20160415
8;cidrines.com;0;0;5542893;11;0;0;0;0;20160315
8;cidrines.com;0;0;5639192;11;0;0;0;0;20160215
8;cidrines.com;0;0;5390051;9;0;0;0;0;20160115
23;cidrines.com;0;0;3843271;10;0;0;0;0;20151215
25;cidrines.com;0;0;3875292;11;0;0;0;0;20151115
33;cidrines.com;0;0;3363228;9;0;0;0;0;20151015
31;cidrines.com;0;0;3175551;3;1;0;0;0;20150915
41;cidrines.com;0;0;2885833;2;1;0;0;0;20150815
31;cidrines.com;0;0;3228623;2;0;0;0;0;20150715
40;cidrines.com;0;0;2899590;3;1;0;0;0;20150615
40;cidrines.com;0;0;2742433;2;1;0;0;0;20150515
56;cidrines.com;0;0;2312989;3;1;0;0;0;20150415
57;cidrines.com;0;0;2280823;2;5;0;0;0;20150315
33;cidrines.com;0;0;2864707;2;2;0;0;0;20150215
32;cidrines.com;0;0;2969088;2;2;0;0;0;20150115
34;cidrines.com;0;0;2900227;3;0;0;0;0;20141215
33;cidrines.com;0;0;2995628;3;0;0;0;0;20141115
21;cidrines.com;0;0;3763681;2;1;0;0;0;20141015
29;cidrines.com;0;0;3357061;2;2;0;0;0;20140915
9;cidrines.com;0;0;4963354;2;0;0;0;0;20140815
0;cidrines.com;0;0;0;0;0;0;0;0;20140715
0;cidrines.com;0;0;0;0;0;0;0;0;20140615
0;cidrines.com;0;0;0;0;0;0;0;0;20140515
0;cidrines.com;0;0;0;0;0;0;0;0;20140415
0;cidrines.com;0;0;0;0;0;0;0;0;20140315
0;cidrines.com;0;0;0;0;0;0;0;0;20140215
0;cidrines.com;0;0;0;0;0;0;0;0;20140115
0;cidrines.com;0;0;0;0;0;0;0;0;20131215
0;cidrines.com;0;0;0;0;0;0;0;0;20131115
0;cidrines.com;0;0;0;0;0;0;0;0;20131015
0;cidrines.com;0;0;0;0;0;0;0;0;20130915
0;cidrines.com;0;0;0;0;0;0;0;0;20130815
0;cidrines.com;0;0;0;0;0;0;0;0;20130715
0;cidrines.com;0;0;0;0;0;0;0;0;20130615
0;cidrines.com;0;0;0;0;0;0;0;0;20130515
0;cidrines.com;0;0;0;0;0;0;0;0;20130415
0;cidrines.com;0;0;0;0;0;0;0;0;20130315
