Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;dischamp.com;0;0;60113193;2;0;0;0;0;20210615
0;dischamp.com;0;0;23812274;1;0;0;0;0;20210515
1;dischamp.com;0;0;17521163;2;0;0;0;0;20210415
1;dischamp.com;0;0;16885216;2;0;0;0;0;20210315
0;dischamp.com;0;0;46765245;2;0;0;0;0;20210215
3;dischamp.com;0;0;14005724;3;0;0;0;0;20210115
2;dischamp.com;0;0;14424450;6;0;0;0;0;20201215
24;dischamp.com;0;0;7797640;18;0;0;0;0;20201115
35;dischamp.com;0;0;6623211;48;0;0;0;0;20201015
55;dischamp.com;0;0;5337519;103;0;0;0;0;20200915
46;dischamp.com;0;0;5703919;89;0;0;0;0;20200815
52;dischamp.com;0;0;5375240;93;0;0;0;0;20200715
80;dischamp.com;0;0;4216450;90;0;0;0;0;20200615
27;dischamp.com;0;0;6978424;78;0;0;0;0;20200515
22;dischamp.com;0;0;7552568;66;0;0;0;0;20200415
17;dischamp.com;0;0;8380825;60;0;0;0;0;20200315
34;dischamp.com;0;0;6212663;56;0;0;0;0;20200215
6;dischamp.com;0;0;11232519;53;0;0;0;0;20200115
2;dischamp.com;0;0;15766655;55;0;0;0;0;20191215
16;dischamp.com;0;0;8048950;53;0;0;0;0;20191115
16;dischamp.com;0;0;7913919;44;0;0;0;0;20191015
16;dischamp.com;0;0;7801226;36;0;0;0;0;20190915
16;dischamp.com;0;0;8012969;34;0;0;0;0;20190815
16;dischamp.com;0;0;8182044;35;0;0;0;0;20190715
16;dischamp.com;0;0;7886372;32;0;0;0;0;20190615
0;dischamp.com;0;0;49541623;6;0;0;0;0;20190515
0;dischamp.com;0;0;40700734;9;0;0;0;0;20190415
0;dischamp.com;0;0;23035413;9;0;0;0;0;20190315
0;dischamp.com;0;0;34014075;8;0;0;0;0;20190215
0;dischamp.com;0;0;39970927;6;0;0;0;0;20190115
0;dischamp.com;0;0;19013583;8;0;0;0;0;20181215
0;dischamp.com;0;0;36418097;6;0;0;0;0;20181115
0;dischamp.com;0;0;31536694;6;0;0;0;0;20181015
0;dischamp.com;0;0;44154753;7;0;0;0;0;20180915
0;dischamp.com;0;0;45522365;5;0;0;0;0;20180815
0;dischamp.com;0;0;34949154;4;0;0;0;0;20180715
0;dischamp.com;0;0;50795682;5;0;0;0;0;20180615
0;dischamp.com;0;0;46507443;3;0;0;0;0;20180515
0;dischamp.com;0;0;19253200;3;0;0;0;0;20180415
0;dischamp.com;0;0;56038051;3;0;0;0;0;20180315
0;dischamp.com;0;0;0;0;0;0;0;0;20180215
0;dischamp.com;0;0;25098046;1;0;0;0;0;20180115
0;dischamp.com;0;0;21839404;4;0;0;0;0;20171215
0;dischamp.com;0;0;23961117;3;0;0;0;0;20171115
0;dischamp.com;0;0;18615171;2;0;0;0;0;20171015
0;dischamp.com;0;0;28672325;4;0;0;0;0;20170915
0;dischamp.com;0;0;30550921;7;0;0;0;0;20170815
0;dischamp.com;0;0;36642413;6;0;0;0;0;20170715
0;dischamp.com;0;0;47219267;3;0;0;0;0;20170615
0;dischamp.com;0;0;16968793;2;0;0;0;0;20170515
0;dischamp.com;0;0;24655011;3;0;0;0;0;20170415
0;dischamp.com;0;0;22381950;5;0;0;0;0;20170315
0;dischamp.com;0;0;35395932;8;0;0;0;0;20170215
0;dischamp.com;0;0;21007719;9;0;0;0;0;20170115
0;dischamp.com;0;0;41954575;10;0;0;0;0;20161215
0;dischamp.com;0;0;20353468;6;0;0;0;0;20161115
0;dischamp.com;0;0;35583635;4;0;0;0;0;20161015
0;dischamp.com;0;0;33690360;5;0;0;0;0;20160915
0;dischamp.com;0;0;13712544;5;0;0;0;0;20160815
0;dischamp.com;0;0;22077807;5;0;0;0;0;20160715
0;dischamp.com;0;0;20817399;4;0;0;0;0;20160615
0;dischamp.com;0;0;26522043;3;0;0;0;0;20160515
0;dischamp.com;0;0;15608968;3;0;0;0;0;20160415
0;dischamp.com;0;0;24141936;3;0;0;0;0;20160315
0;dischamp.com;0;0;15572349;3;0;0;0;0;20160215
0;dischamp.com;0;0;19557355;2;0;0;0;0;20160115
0;dischamp.com;0;0;10267129;3;0;0;0;0;20151215
0;dischamp.com;0;0;38943036;3;0;0;0;0;20151115
0;dischamp.com;0;0;17186352;3;0;0;0;0;20151015
0;dischamp.com;0;0;0;0;0;0;0;0;20150915
0;dischamp.com;0;0;0;0;0;0;0;0;20150815
0;dischamp.com;0;0;0;0;0;0;0;0;20150715
0;dischamp.com;0;0;0;0;0;0;0;0;20150615
0;dischamp.com;0;0;0;0;0;0;0;0;20150515
0;dischamp.com;0;0;0;0;0;0;0;0;20150415
0;dischamp.com;0;0;0;0;0;0;0;0;20150315
2;dischamp.com;0;0;6693068;1;0;0;0;0;20150215
2;dischamp.com;0;0;6561561;1;0;0;0;0;20150115
2;dischamp.com;0;0;6354471;1;0;0;0;0;20141215
0;dischamp.com;0;0;0;0;0;0;0;0;20141115
0;dischamp.com;0;0;0;0;0;0;0;0;20141015
0;dischamp.com;0;0;0;0;0;0;0;0;20140915
0;dischamp.com;0;0;10160711;1;0;0;0;0;20140815
0;dischamp.com;0;0;0;0;0;0;0;0;20140715
0;dischamp.com;0;0;0;0;0;0;0;0;20140615
0;dischamp.com;0;0;0;0;0;0;0;0;20140515
0;dischamp.com;0;0;0;0;0;0;0;0;20140415
0;dischamp.com;0;0;0;0;0;0;0;0;20140315
0;dischamp.com;0;0;0;0;0;0;0;0;20140215
0;dischamp.com;0;0;0;0;0;0;0;0;20140115
0;dischamp.com;0;0;0;0;0;0;0;0;20131215
0;dischamp.com;0;0;0;0;0;0;0;0;20131115
0;dischamp.com;0;0;0;0;0;0;0;0;20131015
0;dischamp.com;0;0;0;0;0;0;0;0;20130915
0;dischamp.com;0;0;0;0;0;0;0;0;20130815
0;dischamp.com;0;0;0;0;0;0;0;0;20130715
0;dischamp.com;0;0;0;0;0;0;0;0;20130615
0;dischamp.com;0;0;0;0;0;0;0;0;20130515
0;dischamp.com;0;0;0;0;0;0;0;0;20130415
0;dischamp.com;0;0;0;0;0;0;0;0;20130315
0;dischamp.com;0;0;0;0;0;0;0;0;20130215
0;dischamp.com;0;0;0;0;0;0;0;0;20130115
0;dischamp.com;0;0;0;0;0;0;0;0;20121215
0;dischamp.com;0;0;0;0;0;0;0;0;20121115
0;dischamp.com;0;0;0;0;0;0;0;0;20121015
0;dischamp.com;0;0;0;0;0;0;0;0;20120915
0;dischamp.com;0;0;0;0;0;0;0;0;20120815
0;dischamp.com;0;0;0;0;0;0;0;0;20120715
