Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2924751;justia.com;0;0;1401;3741268;8469322;0;0;0;20210615
3082918;justia.com;0;0;1347;3795096;9337307;0;0;0;20210515
3016312;justia.com;0;0;1355;3712395;8924285;0;0;0;20210415
2963656;justia.com;0;0;1333;3810537;8921066;0;0;0;20210315
2964434;justia.com;0;0;1333;4081540;8288304;0;0;0;20210215
2968227;justia.com;148;5;1327;4229836;8520365;5;148;17403;20210115
2959388;justia.com;228;12;1320;4094519;8789014;12;228;17888;20201215
2612210;justia.com;148;7;1457;3773800;9561947;7;148;7390;20201115
2700150;justia.com;136;9;1406;3830703;8293497;9;136;5885;20201015
2651042;justia.com;24;1;1398;3868771;7656060;1;24;1704;20200915
2647856;justia.com;0;0;1382;3996809;7735325;0;0;0;20200815
2653345;justia.com;0;0;1320;3980007;8688235;0;0;0;20200715
2735652;justia.com;0;0;1269;4050008;9270137;0;0;0;20200615
2750800;justia.com;6;1;1270;4013164;10572985;1;6;0;20200515
2557071;justia.com;6;2;1382;3771092;11494620;2;6;14;20200415
2424096;justia.com;445;7;1414;3781118;9546414;7;445;390;20200315
2403162;justia.com;447;5;1421;3797461;10984448;5;447;406;20200215
2553185;justia.com;422;3;1322;4001596;11097930;3;422;361;20200115
2675021;justia.com;553;11;1289;4011000;11497218;11;553;791;20191215
2484858;justia.com;517;10;1336;3863811;14511447;10;517;430;20191115
2347112;justia.com;417;11;1328;3763077;15273766;11;417;274;20191015
2229550;justia.com;854;8;1400;3615133;14776808;8;854;489;20190915
2237061;justia.com;974;13;1393;3566130;15748293;13;974;614;20190815
2381053;justia.com;423;10;1314;3653529;16096044;10;423;235;20190715
2343751;justia.com;875;19;1333;3307044;15126397;19;875;502;20190615
1704353;justia.com;374;12;1623;2962747;13099420;12;374;356;20190515
1777300;justia.com;367;8;1578;2907645;13745331;8;367;329;20190415
1819979;justia.com;364;4;1534;2904551;15085129;4;364;336;20190315
1758460;justia.com;733;9;1578;2665263;15832645;9;733;682;20190215
1854147;justia.com;317;6;1481;2636011;18212972;6;317;291;20190115
1809260;justia.com;330;4;1521;2744417;16943000;4;330;318;20181215
1726833;justia.com;348;4;1569;2732527;16363436;4;348;332;20181115
1596662;justia.com;683;7;1680;2418802;14741847;7;683;650;20181015
1362542;justia.com;346;3;1810;2094338;11272664;3;346;323;20180915
