Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
275;phreshproducts.com;0;0;2295120;177;135;0;0;0;20210615
220;phreshproducts.com;0;0;2596463;194;69;0;0;0;20210515
211;phreshproducts.com;0;0;2634470;174;52;0;0;0;20210415
181;phreshproducts.com;394;7;2833677;173;25;7;394;1194;20210315
176;phreshproducts.com;0;0;2888180;194;24;0;0;0;20210215
186;phreshproducts.com;628;2;2799184;185;55;2;628;924;20210115
201;phreshproducts.com;0;0;2664828;272;29;0;0;0;20201215
384;phreshproducts.com;0;0;1815187;699;120;0;0;0;20201115
347;phreshproducts.com;0;0;1919431;713;30;0;0;0;20201015
299;phreshproducts.com;0;0;2068270;739;27;0;0;0;20200915
280;phreshproducts.com;0;0;2129111;721;119;0;0;0;20200815
330;phreshproducts.com;0;0;1898900;769;122;0;0;0;20200715
317;phreshproducts.com;0;0;1939738;709;151;0;0;0;20200615
314;phreshproducts.com;0;0;1928215;790;109;0;0;0;20200515
375;phreshproducts.com;0;0;1698972;1172;77;0;0;0;20200415
325;phreshproducts.com;0;0;1865088;905;91;0;0;0;20200315
252;phreshproducts.com;0;0;2138444;630;124;0;0;0;20200215
256;phreshproducts.com;0;0;2101488;400;177;0;0;0;20200115
249;phreshproducts.com;0;0;2116947;371;168;0;0;0;20191215
278;phreshproducts.com;0;0;1874824;390;105;0;0;0;20191115
257;phreshproducts.com;0;0;1922774;295;93;0;0;0;20191015
244;phreshproducts.com;0;0;1958131;367;80;0;0;0;20190915
242;phreshproducts.com;0;0;1971029;330;64;0;0;0;20190815
245;phreshproducts.com;0;0;1995364;436;88;0;0;0;20190715
278;phreshproducts.com;0;0;1829084;530;97;0;0;0;20190615
262;phreshproducts.com;0;0;1636224;962;203;0;0;0;20190515
172;phreshproducts.com;0;0;2063102;739;92;0;0;0;20190415
221;phreshproducts.com;0;0;1809569;755;136;0;0;0;20190315
235;phreshproducts.com;0;0;1745131;803;187;0;0;0;20190215
172;phreshproducts.com;0;0;2108408;688;110;0;0;0;20190115
242;phreshproducts.com;0;0;1734778;887;121;0;0;0;20181215
170;phreshproducts.com;0;0;2138027;647;100;0;0;0;20181115
164;phreshproducts.com;0;0;2210358;493;66;0;0;0;20181015
131;phreshproducts.com;0;0;2519211;484;67;0;0;0;20180915
140;phreshproducts.com;0;0;2448235;464;62;0;0;0;20180815
288;phreshproducts.com;0;0;1663990;462;146;0;0;0;20180715
277;phreshproducts.com;0;0;1697208;534;192;0;0;0;20180615
406;phreshproducts.com;0;0;1341760;906;387;0;0;0;20180515
610;phreshproducts.com;0;0;1031233;973;574;0;0;0;20180415
479;phreshproducts.com;0;0;1214538;952;313;0;0;0;20180315
431;phreshproducts.com;0;0;1286161;1221;236;0;0;0;20180215
858;phreshproducts.com;0;0;778824;976;916;0;0;0;20180115
525;phreshproducts.com;0;0;1018133;701;511;0;0;0;20171215
619;phreshproducts.com;0;0;904207;1215;577;0;0;0;20171115
904;phreshproducts.com;0;0;692350;1244;782;0;0;0;20171015
834;phreshproducts.com;0;0;737096;1239;878;0;0;0;20170915
949;phreshproducts.com;0;0;683501;1134;869;0;0;0;20170815
1334;phreshproducts.com;0;0;509291;1113;4066;0;0;0;20170715
1042;phreshproducts.com;0;0;654121;1327;1530;0;0;0;20170615
1062;phreshproducts.com;0;0;693842;1555;516;0;0;0;20170515
1317;phreshproducts.com;0;0;638562;1570;637;0;0;0;20170415
1108;phreshproducts.com;0;0;643918;1540;1627;0;0;0;20170315
1036;phreshproducts.com;0;0;683695;1531;1627;0;0;0;20170215
1032;phreshproducts.com;0;0;693349;1423;1511;0;0;0;20170115
