Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
137;phytolab.com;0;0;3375669;749;32;0;0;0;20210615
130;phytolab.com;0;0;3464988;648;22;0;0;0;20210515
108;phytolab.com;0;0;3790517;405;6;0;0;0;20210415
104;phytolab.com;0;0;3811428;276;1;0;0;0;20210315
110;phytolab.com;0;0;3726454;167;6;0;0;0;20210215
116;phytolab.com;0;0;3623010;148;11;0;0;0;20210115
110;phytolab.com;0;0;3704164;127;0;0;0;0;20201215
110;phytolab.com;0;0;3690975;151;0;0;0;0;20201115
102;phytolab.com;0;0;3828529;129;0;0;0;0;20201015
87;phytolab.com;0;0;4135625;76;0;0;0;0;20200915
89;phytolab.com;0;0;4050769;51;0;0;0;0;20200815
79;phytolab.com;0;0;4258000;57;0;0;0;0;20200715
70;phytolab.com;0;0;4564843;54;0;0;0;0;20200615
70;phytolab.com;0;0;4466107;66;1;0;0;0;20200515
71;phytolab.com;0;0;4376303;65;4;0;0;0;20200415
70;phytolab.com;0;0;4442901;56;0;0;0;0;20200315
100;phytolab.com;0;0;3594939;52;0;0;0;0;20200215
103;phytolab.com;0;0;3512317;64;0;0;0;0;20200115
126;phytolab.com;0;0;3118522;80;0;0;0;0;20191215
114;phytolab.com;0;0;3118632;79;18;0;0;0;20191115
127;phytolab.com;0;0;2875966;86;36;0;0;0;20191015
138;phytolab.com;0;0;2717300;77;29;0;0;0;20190915
186;phytolab.com;0;0;2301727;79;35;0;0;0;20190815
162;phytolab.com;0;0;2540636;86;39;0;0;0;20190715
183;phytolab.com;0;0;2336831;70;40;0;0;0;20190615
135;phytolab.com;0;0;2355649;91;75;0;0;0;20190515
139;phytolab.com;0;0;2313234;100;83;0;0;0;20190415
139;phytolab.com;0;0;2323850;105;77;0;0;0;20190315
140;phytolab.com;0;0;2331052;120;76;0;0;0;20190215
113;phytolab.com;0;0;2645786;129;70;0;0;0;20190115
151;phytolab.com;0;0;2258563;126;151;0;0;0;20181215
142;phytolab.com;0;0;2355795;128;74;0;0;0;20181115
125;phytolab.com;0;0;2558478;119;65;0;0;0;20181015
130;phytolab.com;0;0;2535543;115;67;0;0;0;20180915
134;phytolab.com;0;0;2507648;129;74;0;0;0;20180815
126;phytolab.com;0;0;2656327;139;70;0;0;0;20180715
109;phytolab.com;0;0;2854052;132;93;0;0;0;20180615
116;phytolab.com;0;0;2773601;118;68;0;0;0;20180515
140;phytolab.com;0;0;2522635;133;76;0;0;0;20180415
141;phytolab.com;0;0;2521127;141;105;0;0;0;20180315
159;phytolab.com;0;0;2299407;211;187;0;0;0;20180215
124;phytolab.com;0;0;2547520;168;81;0;0;0;20180115
125;phytolab.com;0;0;2368793;162;92;0;0;0;20171215
120;phytolab.com;0;0;2413488;156;91;0;0;0;20171115
115;phytolab.com;0;0;2444784;169;91;0;0;0;20171015
121;phytolab.com;0;0;2397836;209;80;0;0;0;20170915
125;phytolab.com;0;0;2383800;213;83;0;0;0;20170815
123;phytolab.com;0;0;2335276;212;84;0;0;0;20170715
125;phytolab.com;0;0;2411317;221;118;0;0;0;20170615
178;phytolab.com;0;0;2099096;205;88;0;0;0;20170515
161;phytolab.com;0;0;2285355;197;85;0;0;0;20170415
123;phytolab.com;0;0;2474498;172;99;0;0;0;20170315
122;phytolab.com;0;0;2544029;167;91;0;0;0;20170215
120;phytolab.com;0;0;2618629;144;90;0;0;0;20170115
111;phytolab.com;0;0;2710679;157;90;0;0;0;20161215
79;phytolab.com;0;0;2395827;106;2;0;0;0;20161115
75;phytolab.com;0;0;2323846;112;3;0;0;0;20161015
76;phytolab.com;0;0;2317138;104;3;0;0;0;20160915
71;phytolab.com;0;0;2405421;102;4;0;0;0;20160815
71;phytolab.com;0;0;2403254;95;3;0;0;0;20160715
64;phytolab.com;0;0;2544073;89;3;0;0;0;20160615
64;phytolab.com;0;0;2554621;86;13;0;0;0;20160515
60;phytolab.com;0;0;2555917;96;19;0;0;0;20160415
60;phytolab.com;0;0;2541922;95;18;0;0;0;20160315
60;phytolab.com;0;0;2521558;98;18;0;0;0;20160215
60;phytolab.com;0;0;2520874;101;16;0;0;0;20160115
57;phytolab.com;0;0;2600014;126;20;0;0;0;20151215
42;phytolab.com;0;0;3136449;133;19;0;0;0;20151115
56;phytolab.com;0;0;2668327;151;13;0;0;0;20151015
50;phytolab.com;0;0;2597020;5;0;0;0;0;20150915
51;phytolab.com;0;0;2609843;3;0;0;0;0;20150815
51;phytolab.com;0;0;2603712;4;0;0;0;0;20150715
48;phytolab.com;0;0;2657285;5;1;0;0;0;20150615
50;phytolab.com;0;0;2489441;6;4;0;0;0;20150515
54;phytolab.com;0;0;2353459;6;37;0;0;0;20150415
53;phytolab.com;0;0;2339095;4;17;0;0;0;20150315
50;phytolab.com;0;0;2430935;4;10;0;0;0;20150215
49;phytolab.com;0;0;2466691;3;8;0;0;0;20150115
39;phytolab.com;0;0;2766390;4;12;0;0;0;20141215
62;phytolab.com;0;0;2282676;9;6;0;0;0;20141115
26;phytolab.com;0;0;3468438;4;114;0;0;0;20141015
27;phytolab.com;0;0;3442283;5;120;0;0;0;20140915
28;phytolab.com;0;0;3383570;4;114;0;0;0;20140815
3;phytolab.com;0;0;4918992;5;2;0;0;0;20140715
4;phytolab.com;0;0;4535306;7;5;0;0;0;20140615
2;phytolab.com;0;0;5490985;4;0;0;0;0;20140515
1;phytolab.com;0;0;5898312;3;0;0;0;0;20140415
1;phytolab.com;0;0;6183335;3;0;0;0;0;20140315
3;phytolab.com;0;0;4693403;8;2;0;0;0;20140215
7;phytolab.com;0;0;3946543;11;2;0;0;0;20140115
8;phytolab.com;0;0;3783570;10;1;0;0;0;20131215
14;phytolab.com;0;0;2991566;13;1;0;0;0;20131115
6;phytolab.com;0;0;3539807;9;0;0;0;0;20131015
6;phytolab.com;0;0;3592416;9;0;0;0;0;20130915
4;phytolab.com;0;0;4235794;7;1;0;0;0;20130815
27;phytolab.com;0;0;2093648;7;7;0;0;0;20130715
1;phytolab.com;0;0;5332058;4;1;0;0;0;20130615
1;phytolab.com;0;0;5717895;4;0;0;0;0;20130515
1;phytolab.com;0;0;6161233;4;0;0;0;0;20130415
1;phytolab.com;0;0;6576578;4;0;0;0;0;20130315
1;phytolab.com;0;0;6834356;3;0;0;0;0;20130215
1;phytolab.com;0;0;6516414;4;0;0;0;0;20130115
1;phytolab.com;0;0;6006958;5;0;0;0;0;20121215
4;phytolab.com;0;0;4554169;6;1;0;0;0;20121115
4;phytolab.com;0;0;4450231;5;0;0;0;0;20121015
2;phytolab.com;0;0;5405619;3;0;0;0;0;20120915
1;phytolab.com;0;0;7064365;3;0;0;0;0;20120815
2;phytolab.com;0;0;5570179;4;0;0;0;0;20120715
2;phytolab.com;0;0;6320320;3;0;0;0;0;20120615
0;phytolab.com;0;0;14608032;5;1;0;0;0;20120515
0;phytolab.com;0;0;12769395;4;0;0;0;0;20120415
0;phytolab.com;0;0;8319199;4;1;0;0;0;20120315
0;phytolab.com;0;0;10223460;2;1;0;0;0;20120215
0;phytolab.com;0;0;9103612;1;1;0;0;0;20120115
