Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
33;prairiethyme.com;0;0;6856410;23;0;0;0;0;20210615
33;prairiethyme.com;0;0;6917897;28;0;0;0;0;20210515
13;prairiethyme.com;0;0;9411706;29;0;0;0;0;20210415
36;prairiethyme.com;0;0;6536119;33;0;0;0;0;20210315
33;prairiethyme.com;0;0;6813610;32;0;0;0;0;20210215
36;prairiethyme.com;0;0;6544112;36;0;0;0;0;20210115
37;prairiethyme.com;0;0;6469871;34;0;0;0;0;20201215
36;prairiethyme.com;0;0;6574591;36;0;0;0;0;20201115
29;prairiethyme.com;0;0;7253543;26;0;0;0;0;20201015
29;prairiethyme.com;0;0;7218141;40;0;0;0;0;20200915
29;prairiethyme.com;0;0;7162053;43;0;0;0;0;20200815
30;prairiethyme.com;0;0;6994043;42;0;0;0;0;20200715
30;prairiethyme.com;0;0;6920193;46;0;0;0;0;20200615
29;prairiethyme.com;0;0;6850185;48;0;0;0;0;20200515
29;prairiethyme.com;0;0;6715235;62;0;0;0;0;20200415
30;prairiethyme.com;0;0;6759287;52;0;0;0;0;20200315
31;prairiethyme.com;0;0;6600278;60;0;0;0;0;20200215
34;prairiethyme.com;0;0;6224764;64;0;0;0;0;20200115
34;prairiethyme.com;0;0;6184315;73;0;0;0;0;20191215
1;prairiethyme.com;0;0;18640945;85;0;0;0;0;20191115
1;prairiethyme.com;0;0;17323482;85;0;0;0;0;20191015
3;prairiethyme.com;0;0;13044621;80;0;0;0;0;20190915
3;prairiethyme.com;0;0;13342412;100;0;0;0;0;20190815
1;prairiethyme.com;0;0;17942365;100;0;0;0;0;20190715
2;prairiethyme.com;0;0;13807708;76;0;0;0;0;20190615
56;prairiethyme.com;0;0;3664470;101;0;0;0;0;20190515
60;prairiethyme.com;0;0;3554762;111;0;0;0;0;20190415
56;prairiethyme.com;0;0;3668938;100;0;0;0;0;20190315
58;prairiethyme.com;0;0;3660340;89;0;0;0;0;20190215
51;prairiethyme.com;0;0;3923236;108;0;0;0;0;20190115
52;prairiethyme.com;0;0;3898555;106;0;0;0;0;20181215
57;prairiethyme.com;0;0;3771361;109;0;0;0;0;20181115
57;prairiethyme.com;0;0;3818285;128;0;0;0;0;20181015
57;prairiethyme.com;0;0;3873563;135;0;0;0;0;20180915
267;prairiethyme.com;0;0;1701846;116;116;0;0;0;20180815
57;prairiethyme.com;0;0;3962308;119;0;0;0;0;20180715
57;prairiethyme.com;0;0;3961374;138;0;0;0;0;20180615
56;prairiethyme.com;0;0;4026538;140;0;0;0;0;20180515
60;prairiethyme.com;0;0;3917326;133;0;0;0;0;20180415
58;prairiethyme.com;0;0;4018190;133;0;0;0;0;20180315
56;prairiethyme.com;0;0;3915499;138;0;0;0;0;20180215
1;prairiethyme.com;0;0;14078655;138;0;0;0;0;20180115
4;prairiethyme.com;0;0;8900404;132;0;0;0;0;20171215
0;prairiethyme.com;0;0;15849573;137;0;0;0;0;20171115
0;prairiethyme.com;0;0;20299073;154;0;0;0;0;20171015
0;prairiethyme.com;0;0;34241281;181;1;0;0;0;20170915
13;prairiethyme.com;0;0;6357347;208;0;0;0;0;20170815
14;prairiethyme.com;0;0;6054282;223;4;0;0;0;20170715
1;prairiethyme.com;0;0;11611201;184;1;0;0;0;20170615
4;prairiethyme.com;0;0;8864728;147;0;0;0;0;20170515
3;prairiethyme.com;0;0;9850922;137;0;0;0;0;20170415
3;prairiethyme.com;0;0;10097390;137;0;0;0;0;20170315
2;prairiethyme.com;0;0;11614508;135;0;0;0;0;20170215
2;prairiethyme.com;0;0;12118216;146;0;0;0;0;20170115
2;prairiethyme.com;0;0;10886282;128;0;0;0;0;20161215
2;prairiethyme.com;0;0;8447613;79;0;0;0;0;20161115
1;prairiethyme.com;0;0;8606817;82;0;0;0;0;20161015
6;prairiethyme.com;0;0;6200730;110;0;0;0;0;20160915
19;prairiethyme.com;0;0;4154671;115;1;0;0;0;20160815
15;prairiethyme.com;0;0;4491290;112;0;0;0;0;20160715
10;prairiethyme.com;0;0;5222763;103;1;0;0;0;20160615
4;prairiethyme.com;0;0;7233741;85;0;0;0;0;20160515
3;prairiethyme.com;0;0;7378972;63;0;0;0;0;20160415
3;prairiethyme.com;0;0;7543845;64;0;0;0;0;20160315
3;prairiethyme.com;0;0;7429416;63;0;0;0;0;20160215
1;prairiethyme.com;0;0;8882988;54;0;0;0;0;20160115
4;prairiethyme.com;0;0;6797921;65;0;0;0;0;20151215
5;prairiethyme.com;0;0;6840917;70;0;0;0;0;20151115
6;prairiethyme.com;0;0;6196169;95;0;0;0;0;20151015
6;prairiethyme.com;0;0;5373549;9;0;0;0;0;20150915
8;prairiethyme.com;0;0;4999532;11;2;0;0;0;20150815
7;prairiethyme.com;0;0;5210230;8;4;0;0;0;20150715
4;prairiethyme.com;0;0;6128370;5;1;0;0;0;20150615
27;prairiethyme.com;0;0;3210580;8;3;0;0;0;20150515
5;prairiethyme.com;0;0;5439565;7;2;0;0;0;20150415
7;prairiethyme.com;0;0;4851437;8;1;0;0;0;20150315
2;prairiethyme.com;0;0;6628455;9;0;0;0;0;20150215
1;prairiethyme.com;0;0;7428390;6;0;0;0;0;20150115
0;prairiethyme.com;0;0;11247951;7;0;0;0;0;20141215
1;prairiethyme.com;0;0;7440134;5;0;0;0;0;20141115
18;prairiethyme.com;0;0;3980307;8;7;0;0;0;20141015
9;prairiethyme.com;0;0;5075032;10;4;0;0;0;20140915
4;prairiethyme.com;0;0;6260157;8;0;0;0;0;20140815
5;prairiethyme.com;0;0;4266820;7;1;0;0;0;20140715
