Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
189409;puritan.com;67809;466;15643;50846;345002;466;67809;148918;20210615
186519;puritan.com;79415;545;15801;46421;341276;545;79415;126544;20210515
185883;puritan.com;92847;529;15677;41348;400834;529;92847;204787;20210415
185845;puritan.com;58356;678;15272;42389;299041;678;58356;235860;20210315
185187;puritan.com;102146;872;15298;42343;309420;872;102146;236809;20210215
189072;puritan.com;173093;1523;14883;48266;232284;1523;173093;234061;20210115
187883;puritan.com;308400;1978;14839;50461;224033;1978;308400;551802;20201215
202711;puritan.com;533864;3731;13904;57291;276495;3731;533864;827019;20201115
198554;puritan.com;514881;4160;14028;55826;964865;4160;514881;863256;20201015
199785;puritan.com;1576499;9930;13743;54345;3629947;9930;1576499;2627263;20200915
200146;puritan.com;1040944;11410;13726;48178;3807454;11410;1040944;1997372;20200815
170686;puritan.com;495021;3893;15325;51725;3146002;3893;495021;2192141;20200715
168724;puritan.com;539253;6342;15504;52097;3132199;6342;539253;2899106;20200615
163846;puritan.com;488195;3291;15835;51558;1963417;3291;488195;2165937;20200515
156398;puritan.com;594969;3313;16604;47052;1939646;3313;594969;3079934;20200415
157521;puritan.com;285337;2454;16439;46081;1141078;2454;285337;1224820;20200315
248762;puritan.com;203283;1213;10949;51280;1312555;1213;203283;906890;20200215
178064;puritan.com;138200;775;14511;71296;674641;775;138200;681830;20200115
196678;puritan.com;193981;1073;13232;78349;685490;1073;193981;973729;20191215
181216;puritan.com;75741;902;13833;80436;624322;902;75741;205316;20191115
173545;puritan.com;131365;1074;13953;78979;110145;1074;131365;201615;20191015
156775;puritan.com;168756;1381;15138;55120;92491;1381;168756;234716;20190915
145198;puritan.com;658349;4568;16172;54827;82530;4568;658349;575891;20190815
146170;puritan.com;565385;5778;16089;54930;83478;5778;565385;633900;20190715
146211;puritan.com;546963;6003;15980;50314;84752;6003;546963;527534;20190615
163624;puritan.com;858530;4300;13318;46464;93703;4300;858530;928441;20190515
163819;puritan.com;950645;12035;13285;47550;93823;12035;950645;909510;20190415
162211;puritan.com;570100;8030;13367;48052;90590;8030;570100;597956;20190315
157793;puritan.com;384556;6326;13651;41690;85206;6326;384556;395569;20190215
158553;puritan.com;136271;1445;13588;41184;85846;1445;136271;181265;20190115
158288;puritan.com;294925;1542;13510;41248;85264;1542;294925;357310;20181215
159339;puritan.com;286189;893;13352;40854;87544;893;286189;363005;20181115
158089;puritan.com;132056;1422;13373;38148;84353;1422;132056;211013;20181015
153439;puritan.com;298549;1941;13033;27641;78484;1941;298549;410489;20180915
156283;puritan.com;213780;785;13280;34350;80983;785;213780;311421;20180815
188650;puritan.com;31077;382;11299;56667;121402;382;31077;38849;20180715
184978;puritan.com;91108;806;11451;58210;124652;806;91108;123179;20180615
182888;puritan.com;33576;513;11535;58901;114508;513;33576;62950;20180515
188207;puritan.com;35943;418;11291;57109;132440;418;35943;51954;20180415
183877;puritan.com;20487;374;11479;56933;117007;374;20487;31426;20180315
225543;puritan.com;18416;296;10204;61372;116601;296;18416;27204;20180215
224741;puritan.com;28931;311;9784;57180;108138;311;28931;45848;20180115
175633;puritan.com;24295;407;10386;55456;63327;407;24295;25837;20171215
169558;puritan.com;826308;38255;10812;56492;58523;38255;826308;809567;20171115
168725;puritan.com;0;0;10918;59103;59127;0;0;0;20171015
171159;puritan.com;195127;5125;10834;65429;61733;5125;195127;186907;20170915
182706;puritan.com;233019;4025;10371;75204;75221;4025;233019;250790;20170815
142739;puritan.com;148536;1251;10578;75773;70062;1251;148536;156946;20170715
191419;puritan.com;345730;3954;10084;78987;85891;3954;345730;352746;20170615
188263;puritan.com;250904;2255;10752;56399;78301;2255;250904;269263;20170515
173184;puritan.com;324776;5697;12193;52562;62862;5697;324776;321289;20170415
166347;puritan.com;293825;4452;11322;52883;56172;4452;293825;277989;20170315
173895;puritan.com;341676;3973;10901;60776;63682;3973;341676;375825;20170215
198352;puritan.com;249517;2719;9725;75198;91523;2719;249517;274697;20170115
194284;puritan.com;312960;8888;9676;68883;87793;8888;312960;344415;20161215
170911;puritan.com;99447;4153;8905;58875;75492;4153;99447;104879;20161115
169831;puritan.com;20393;8094;8971;64596;73588;8094;20393;29232;20161015
175678;puritan.com;79270;13333;8705;68532;79886;13333;79270;102083;20160915
186798;puritan.com;108827;17348;8336;71453;92328;17348;108827;139341;20160815
190252;puritan.com;92030;15685;8191;71960;96789;15685;92030;134682;20160715
191576;puritan.com;100779;18603;8125;72932;96821;18603;100779;132083;20160615
194856;puritan.com;75733;20696;8036;73856;103851;20696;75733;93888;20160515
192760;puritan.com;144705;27837;7930;75841;106804;27837;144705;201433;20160415
131200;puritan.com;119499;29375;10651;75969;102147;29375;119499;173330;20160315
129559;puritan.com;199101;33359;10704;76433;106554;33359;199101;262987;20160215
126662;puritan.com;162752;52471;10912;76954;100380;52471;162752;224864;20160115
131471;puritan.com;314844;51693;10550;87097;104252;51693;314844;365562;20151215
109536;puritan.com;203772;40498;12506;84792;103717;40498;203772;241187;20151115
97751;puritan.com;89514;39027;13074;89034;99062;39027;89514;137434;20151015
90610;puritan.com;157754;28854;13393;11921;87730;28854;157754;227221;20150915
103159;puritan.com;179663;23900;12008;11416;110968;23900;179663;251444;20150815
105190;puritan.com;110425;16478;11558;11639;111464;16478;110425;164597;20150715
104252;puritan.com;97776;22122;11431;12201;102554;22122;97776;122426;20150615
93721;puritan.com;151391;23651;11714;11446;96024;23651;151391;187296;20150515
105548;puritan.com;87185;18350;10344;11304;111982;18350;87185;107769;20150415
95251;puritan.com;53993;13556;11086;11288;108510;13556;53993;79535;20150315
97915;puritan.com;111800;21485;10790;11456;110532;21485;111800;150586;20150215
109271;puritan.com;59567;12095;9839;13129;125902;12095;59567;88877;20150115
103855;puritan.com;79154;15871;10125;12783;115296;15871;79154;127023;20141215
142425;puritan.com;99282;21653;8587;14223;128827;21653;99282;150470;20141115
114375;puritan.com;76139;15733;10182;14062;128600;15733;76139;99893;20141015
112951;puritan.com;41700;14034;10280;14113;119238;14034;41700;59279;20140915
121207;puritan.com;65903;14218;9681;14540;135357;14218;65903;95949;20140815
132788;puritan.com;108837;14657;8055;18505;131943;14657;108837;160251;20140715
124966;puritan.com;121710;18940;8392;18841;124199;18940;121710;169618;20140615
123312;puritan.com;125459;22806;8405;16616;120539;22806;125459;177317;20140515
114357;puritan.com;177806;33609;9038;16346;115885;33609;177806;204773;20140415
117492;puritan.com;209001;32647;8826;15397;110456;32647;209001;265214;20140315
130601;puritan.com;321438;45550;7806;17219;135138;45550;321438;428353;20140215
147231;puritan.com;224687;39807;6995;17732;165714;39807;224687;286200;20140115
146687;puritan.com;347995;54246;7022;18158;168191;54246;347995;451631;20131215
132914;puritan.com;294776;50456;6868;19373;138641;50456;294776;389244;20131115
133970;puritan.com;217972;56154;4827;19202;101486;56154;217972;272642;20131015
127042;puritan.com;200463;50734;5048;18530;95735;50734;200463;251334;20130915
116637;puritan.com;136528;42863;5412;19279;97491;42863;136528;182669;20130815
121302;puritan.com;87566;29153;5208;18855;100877;29153;87566;119076;20130715
107333;puritan.com;117899;36375;5336;18181;96820;36375;117899;157095;20130615
109300;puritan.com;106037;36804;5347;16899;94396;36804;106037;141619;20130515
118974;puritan.com;66910;18995;5330;16423;99361;18995;66910;84098;20130415
121093;puritan.com;104447;40554;5310;16876;106157;40554;104447;137398;20130315
136148;puritan.com;94530;33408;4797;17109;126820;33408;94530;122953;20130215
140524;puritan.com;102906;31206;4707;21495;148929;31206;102906;140671;20130115
148245;puritan.com;108018;41415;4541;21796;150624;41415;108018;142240;20121215
141460;puritan.com;91063;27461;4730;20733;142413;27461;91063;131723;20121115
128732;puritan.com;103571;38070;5190;19283;138733;38070;103571;154875;20121015
121606;puritan.com;74647;21384;5537;17545;132214;21384;74647;102556;20120915
120722;puritan.com;10476;2260;5607;16650;126462;2260;10476;15180;20120815
132740;puritan.com;85381;33558;5320;19773;124500;33558;85381;130519;20120715
129674;puritan.com;81897;29446;5524;20929;125541;29446;81897;126670;20120615
122916;puritan.com;92382;19586;6098;14203;133214;19586;92382;143823;20120515
102426;puritan.com;105623;45790;7177;12737;116739;45790;105623;158192;20120415
103788;puritan.com;152664;61493;7243;11425;126050;61493;152664;251954;20120315
