Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
830148;quakeroats.com;0;0;4250;48086;1269003;0;0;0;20210615
814759;quakeroats.com;0;0;4368;45653;1241797;0;0;0;20210515
765351;quakeroats.com;0;0;4580;44022;1095766;0;0;0;20210415
729337;quakeroats.com;41270;763;4618;43595;896659;763;41270;46161;20210315
704315;quakeroats.com;61614;1435;4764;45410;856648;1435;61614;86574;20210215
722163;quakeroats.com;77414;1907;4629;44681;1145273;1907;77414;104281;20210115
681815;quakeroats.com;252199;4438;4801;43553;914108;4438;252199;360701;20201215
646022;quakeroats.com;357497;7994;5058;39949;928136;7994;357497;492194;20201115
670723;quakeroats.com;420051;8666;4820;39305;682073;8666;420051;567728;20201015
622017;quakeroats.com;518442;9527;5092;41446;992978;9527;518442;692324;20200915
611602;quakeroats.com;0;0;5145;42104;1380436;0;0;0;20200815
582226;quakeroats.com;10949;231;5192;42197;1257641;231;10949;27819;20200715
600656;quakeroats.com;8510;395;5026;44430;1307102;395;8510;16673;20200615
515893;quakeroats.com;7974;56;5780;44444;792273;56;7974;11342;20200515
506796;quakeroats.com;0;0;5992;45712;725799;0;0;0;20200415
511637;quakeroats.com;13023;344;5864;47522;546793;344;13023;26016;20200315
468353;quakeroats.com;10855;150;6333;48685;544158;150;10855;17498;20200215
463700;quakeroats.com;3964;28;6294;48937;522963;28;3964;6678;20200115
466168;quakeroats.com;0;0;6248;48883;572239;0;0;0;20191215
463331;quakeroats.com;0;0;6129;51159;669064;0;0;0;20191115
435875;quakeroats.com;14853;383;6295;53927;640010;383;14853;39329;20191015
427741;quakeroats.com;18795;490;6347;58061;513577;490;18795;45321;20190915
430881;quakeroats.com;48850;947;6282;61138;530804;947;48850;98033;20190815
446993;quakeroats.com;0;0;6066;56216;554341;0;0;0;20190715
463660;quakeroats.com;0;0;5874;51906;679673;0;0;0;20190615
371015;quakeroats.com;7793;278;6585;48123;289235;278;7793;5855;20190515
401306;quakeroats.com;8053;405;6117;49421;311659;405;8053;6036;20190415
391186;quakeroats.com;67203;1750;6265;50853;309912;1750;67203;104533;20190315
419659;quakeroats.com;38323;1409;5848;55786;328796;1409;38323;55539;20190215
425849;quakeroats.com;18547;348;5728;53253;339843;348;18547;23805;20190115
407926;quakeroats.com;30417;1351;5963;52614;311177;1351;30417;29955;20181215
424623;quakeroats.com;31455;499;5697;48487;335127;499;31455;34211;20181115
421781;quakeroats.com;73898;1043;5713;48418;328058;1043;73898;102462;20181015
378078;quakeroats.com;35659;576;5886;47667;307307;576;35659;53459;20180915
379050;quakeroats.com;16719;53;6141;46677;295907;53;16719;22308;20180815
396158;quakeroats.com;3;4;5902;44755;305513;4;3;0;20180715
391070;quakeroats.com;4291;34;6015;43861;299750;34;4291;4047;20180615
391601;quakeroats.com;2991;4;5972;43949;299940;4;2991;2694;20180515
401999;quakeroats.com;136;2;5804;44232;310622;2;136;66;20180415
382466;quakeroats.com;2;5;6094;45349;294052;5;2;1;20180315
440052;quakeroats.com;1563;7;5752;62710;373548;7;1563;391;20180215
410857;quakeroats.com;12410;51;5822;60423;410029;51;12410;18728;20180115
309060;quakeroats.com;5818;58;6348;60407;387344;58;5818;6328;20171215
309780;quakeroats.com;32808;1533;6422;59544;406517;1533;32808;62647;20171115
336684;quakeroats.com;0;0;5992;62241;436198;0;0;0;20171015
335757;quakeroats.com;9432;212;6040;67339;435513;212;9432;18243;20170915
352032;quakeroats.com;12313;486;5786;65190;444972;486;12313;26916;20170815
285235;quakeroats.com;210;14;5785;60476;361856;14;210;98;20170715
330925;quakeroats.com;842;41;6202;60763;413008;41;842;1098;20170615
369295;quakeroats.com;38687;224;5936;60631;433573;224;38687;41212;20170515
434406;quakeroats.com;15165;314;5451;60728;478429;314;15165;20317;20170415
336710;quakeroats.com;9514;234;6153;58128;424756;234;9514;13560;20170315
320865;quakeroats.com;13297;230;6441;56310;398731;230;13297;21594;20170215
335343;quakeroats.com;11260;177;6224;57849;411736;177;11260;16877;20170115
313590;quakeroats.com;24864;736;6462;51713;398219;736;24864;35789;20161215
286751;quakeroats.com;5980;263;5711;41667;375936;263;5980;8571;20161115
314914;quakeroats.com;2705;375;5280;42117;417146;375;2705;3783;20161015
296577;quakeroats.com;7345;837;5595;42919;386007;837;7345;10740;20160915
295855;quakeroats.com;9963;1313;5636;45119;388072;1313;9963;13964;20160815
284811;quakeroats.com;6565;1941;5821;42054;360328;1941;6565;12498;20160715
274098;quakeroats.com;14053;3453;5997;38924;356844;3453;14053;21541;20160615
273350;quakeroats.com;17463;5069;6057;38401;356707;5069;17463;29925;20160515
257041;quakeroats.com;34427;6567;6207;38663;348562;6567;34427;61384;20160415
292172;quakeroats.com;39914;6707;5374;36381;371498;6707;39914;72620;20160315
239757;quakeroats.com;27241;6961;6366;35912;309187;6961;27241;50516;20160215
259431;quakeroats.com;43018;7882;5928;34742;332925;7882;43018;74997;20160115
246807;quakeroats.com;28228;10574;6133;37894;316926;10574;28228;62799;20151215
222872;quakeroats.com;68603;10890;6818;37794;290965;10890;68603;136610;20151115
215028;quakeroats.com;60104;10563;6632;38752;429382;10563;60104;196098;20151015
204870;quakeroats.com;52547;4392;6666;6941;352404;4392;52547;157175;20150915
180875;quakeroats.com;67794;4690;7390;5643;295138;4690;67794;182487;20150815
161369;quakeroats.com;48846;4867;7993;5592;281706;4867;48846;143946;20150715
153948;quakeroats.com;35905;4075;8203;5684;252236;4075;35905;96946;20150615
128382;quakeroats.com;67397;5264;8859;5512;209847;5264;67397;178745;20150515
186173;quakeroats.com;53899;5628;6370;6239;336852;5628;53899;138699;20150415
161371;quakeroats.com;55793;7530;7038;6344;253267;7530;55793;123350;20150315
161397;quakeroats.com;81085;7551;7074;6304;255818;7551;81085;184175;20150215
