Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1665;queencitybakery.com;0;0;715418;126;214;0;0;0;20210615
1505;queencitybakery.com;0;0;766813;125;161;0;0;0;20210515
1542;queencitybakery.com;0;0;740525;129;290;0;0;0;20210415
1430;queencitybakery.com;0;0;768791;141;2393;0;0;0;20210315
1376;queencitybakery.com;0;0;796386;133;2342;0;0;0;20210215
1372;queencitybakery.com;0;0;793108;140;2940;0;0;0;20210115
1339;queencitybakery.com;0;0;797819;128;3078;0;0;0;20201215
1228;queencitybakery.com;0;0;837327;118;2990;0;0;0;20201115
1239;queencitybakery.com;0;0;825530;118;333;0;0;0;20201015
1248;queencitybakery.com;0;0;810800;130;327;0;0;0;20200915
1192;queencitybakery.com;0;0;828471;136;534;0;0;0;20200815
1187;queencitybakery.com;0;0;811659;152;522;0;0;0;20200715
1199;queencitybakery.com;0;0;804444;120;530;0;0;0;20200615
1059;queencitybakery.com;0;0;869000;143;233;0;0;0;20200515
1071;queencitybakery.com;0;0;848668;149;283;0;0;0;20200415
1044;queencitybakery.com;0;0;865174;137;244;0;0;0;20200315
1035;queencitybakery.com;0;0;856548;159;149;0;0;0;20200215
1021;queencitybakery.com;0;0;858095;166;117;0;0;0;20200115
806;queencitybakery.com;0;0;1001573;143;100;0;0;0;20191215
610;queencitybakery.com;0;0;1145364;117;86;0;0;0;20191115
701;queencitybakery.com;0;0;1023977;148;117;0;0;0;20191015
695;queencitybakery.com;0;0;1015008;173;120;0;0;0;20190915
665;queencitybakery.com;0;0;1042940;203;125;0;0;0;20190815
709;queencitybakery.com;0;0;1018305;177;133;0;0;0;20190715
767;queencitybakery.com;0;0;958036;183;139;0;0;0;20190615
781;queencitybakery.com;0;0;829925;141;1108;0;0;0;20190515
837;queencitybakery.com;0;0;790492;183;1125;0;0;0;20190415
1137;queencitybakery.com;0;0;649770;186;1258;0;0;0;20190315
967;queencitybakery.com;0;0;720493;211;1174;0;0;0;20190215
1275;queencitybakery.com;0;0;600195;173;1419;0;0;0;20190115
1039;queencitybakery.com;0;0;692597;182;1260;0;0;0;20181215
924;queencitybakery.com;0;0;753316;190;1160;0;0;0;20181115
1118;queencitybakery.com;0;0;667408;223;1288;0;0;0;20181015
1026;queencitybakery.com;0;0;710089;195;1265;0;0;0;20180915
1270;queencitybakery.com;0;0;619973;208;1320;0;0;0;20180815
1269;queencitybakery.com;0;0;629033;165;1306;0;0;0;20180715
1186;queencitybakery.com;0;0;655823;168;1220;0;0;0;20180615
1146;queencitybakery.com;0;0;669456;159;1201;0;0;0;20180515
941;queencitybakery.com;0;0;767125;183;1215;0;0;0;20180415
