Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1843;rauch.cc;0;0;664558;590;2815;0;0;0;20210615
1436;rauch.cc;0;0;792557;593;1745;0;0;0;20210515
1058;rauch.cc;0;0;965177;557;402;0;0;0;20210415
1081;rauch.cc;0;0;935780;554;42;0;0;0;20210315
1084;rauch.cc;0;0;941565;484;74;0;0;0;20210215
2326;rauch.cc;0;0;538596;507;171;0;0;0;20210115
1138;rauch.cc;0;0;895301;489;164;0;0;0;20201215
1151;rauch.cc;0;0;876391;382;86;0;0;0;20201115
1083;rauch.cc;0;0;907543;373;186;0;0;0;20201015
1248;rauch.cc;0;0;810635;372;43;0;0;0;20200915
1316;rauch.cc;0;0;772420;394;71;0;0;0;20200815
2481;rauch.cc;0;0;472623;373;39;0;0;0;20200715
1495;rauch.cc;0;0;686414;411;664;0;0;0;20200615
2602;rauch.cc;0;0;450751;383;185;0;0;0;20200515
2408;rauch.cc;0;0;473237;312;127;0;0;0;20200415
2538;rauch.cc;0;0;455048;318;278;0;0;0;20200315
2483;rauch.cc;0;0;456105;351;50;0;0;0;20200215
2352;rauch.cc;0;0;470203;391;67;0;0;0;20200115
1978;rauch.cc;0;0;530685;405;38;0;0;0;20191215
1703;rauch.cc;0;0;566541;400;228;0;0;0;20191115
1475;rauch.cc;0;0;614318;374;319;0;0;0;20191015
1519;rauch.cc;0;0;591653;412;283;0;0;0;20190915
1542;rauch.cc;0;0;582973;434;201;0;0;0;20190815
1713;rauch.cc;0;0;549759;449;565;0;0;0;20190715
1618;rauch.cc;0;0;569933;432;449;0;0;0;20190615
1269;rauch.cc;0;0;597019;332;841;0;0;0;20190515
1347;rauch.cc;0;0;570962;332;867;0;0;0;20190415
1290;rauch.cc;0;0;595466;317;734;0;0;0;20190315
1064;rauch.cc;0;0;675534;385;622;0;0;0;20190215
1277;rauch.cc;0;0;599493;425;776;0;0;0;20190115
1157;rauch.cc;0;0;643183;372;727;0;0;0;20181215
1080;rauch.cc;0;0;676910;327;667;0;0;0;20181115
1275;rauch.cc;0;0;609110;313;929;0;0;0;20181015
1586;rauch.cc;0;0;521433;335;1364;0;0;0;20180915
1301;rauch.cc;0;0;609382;386;771;0;0;0;20180815
1306;rauch.cc;0;0;616215;374;1178;0;0;0;20180715
1471;rauch.cc;0;0;562089;346;1433;0;0;0;20180615
315;rauch.cc;0;0;1566634;368;128;0;0;0;20180515
1058;rauch.cc;0;0;706213;363;605;0;0;0;20180415
1060;rauch.cc;0;0;709368;369;608;0;0;0;20180315
1098;rauch.cc;0;0;696127;381;738;0;0;0;20180215
1142;rauch.cc;0;0;639073;340;92;0;0;0;20180115
1316;rauch.cc;0;0;534116;313;88;0;0;0;20171215
955;rauch.cc;0;0;666024;332;78;0;0;0;20171115
1087;rauch.cc;0;0;608378;276;256;0;0;0;20171015
1102;rauch.cc;0;0;605951;226;259;0;0;0;20170915
1083;rauch.cc;0;0;622737;205;256;0;0;0;20170815
858;rauch.cc;0;0;700264;178;59;0;0;0;20170715
937;rauch.cc;0;0;703694;164;110;0;0;0;20170615
565;rauch.cc;0;0;1074484;292;52;0;0;0;20170515
570;rauch.cc;0;0;1119738;494;60;0;0;0;20170415
962;rauch.cc;0;0;709873;531;31;0;0;0;20170315
912;rauch.cc;0;0;747621;518;25;0;0;0;20170215
923;rauch.cc;0;0;750405;537;13;0;0;0;20170115
1129;rauch.cc;0;0;645150;477;45;0;0;0;20161215
680;rauch.cc;0;0;709684;328;39;0;0;0;20161115
658;rauch.cc;0;0;707461;330;25;0;0;0;20161015
698;rauch.cc;0;0;679403;341;71;0;0;0;20160915
723;rauch.cc;0;0;670931;369;97;0;0;0;20160815
674;rauch.cc;0;0;699095;360;46;0;0;0;20160715
896;rauch.cc;0;0;581728;340;140;0;0;0;20160615
746;rauch.cc;0;0;656458;326;206;0;0;0;20160515
312;rauch.cc;0;0;1095165;304;84;0;0;0;20160415
323;rauch.cc;0;0;1059049;299;206;0;0;0;20160315
315;rauch.cc;0;0;1068955;302;122;0;0;0;20160215
306;rauch.cc;0;0;1085376;296;121;0;0;0;20160115
315;rauch.cc;0;0;1078361;336;95;0;0;0;20151215
434;rauch.cc;0;0;912889;336;54;0;0;0;20151115
565;rauch.cc;0;0;740412;340;49;0;0;0;20151015
462;rauch.cc;0;0;800218;11;76;0;0;0;20150915
372;rauch.cc;0;0;923946;14;26;0;0;0;20150815
429;rauch.cc;0;0;842137;16;33;0;0;0;20150715
295;rauch.cc;0;0;1047844;8;56;0;0;0;20150615
344;rauch.cc;0;0;901263;8;415;0;0;0;20150515
264;rauch.cc;0;0;1039830;9;20;0;0;0;20150415
195;rauch.cc;0;0;1216096;9;331;0;0;0;20150315
196;rauch.cc;0;0;1220225;10;334;0;0;0;20150215
191;rauch.cc;0;0;1240667;13;300;0;0;0;20150115
759;rauch.cc;0;0;519995;15;7;0;0;0;20141215
825;rauch.cc;0;0;532642;17;51;0;0;0;20141115
560;rauch.cc;0;0;693970;18;28;0;0;0;20141015
921;rauch.cc;0;0;497627;29;157;0;0;0;20140915
1185;rauch.cc;0;0;418170;32;177;0;0;0;20140815
178;rauch.cc;0;0;1061771;43;139;0;0;0;20140715
339;rauch.cc;0;0;741945;45;62;0;0;0;20140615
76;rauch.cc;0;0;1629275;38;10;0;0;0;20140515
48;rauch.cc;0;0;2018701;26;5;0;0;0;20140415
99;rauch.cc;0;0;1441615;20;3;0;0;0;20140315
93;rauch.cc;0;0;1439389;22;4;0;0;0;20140215
176;rauch.cc;0;0;1056963;26;21;0;0;0;20140115
148;rauch.cc;0;0;1140958;19;40;0;0;0;20131215
110;rauch.cc;0;0;1231272;6;2;0;0;0;20131115
90;rauch.cc;0;0;1116925;12;12;0;0;0;20131015
114;rauch.cc;0;0;991349;12;14;0;0;0;20130915
577;rauch.cc;0;0;371907;11;57;0;0;0;20130815
583;rauch.cc;0;0;369616;11;59;0;0;0;20130715
606;rauch.cc;0;0;348237;11;79;0;0;0;20130615
484;rauch.cc;0;0;420719;9;72;0;0;0;20130515
375;rauch.cc;0;0;528838;11;87;0;0;0;20130415
163;rauch.cc;0;0;906472;17;42;0;0;0;20130315
166;rauch.cc;0;0;943759;12;43;0;0;0;20130215
167;rauch.cc;0;0;957159;14;33;0;0;0;20130115
110;rauch.cc;0;0;1221853;11;25;0;0;0;20121215
134;rauch.cc;0;0;1097396;15;25;0;0;0;20121115
155;rauch.cc;0;0;988527;15;29;0;0;0;20121015
83;rauch.cc;0;0;1483611;17;14;0;0;0;20120915
85;rauch.cc;0;0;1476582;22;15;0;0;0;20120815
85;rauch.cc;0;0;1522858;16;19;0;0;0;20120715
114;rauch.cc;0;0;1319148;11;13;0;0;0;20120615
38;rauch.cc;0;0;2551702;21;10;0;0;0;20120515
50;rauch.cc;0;0;2352616;29;8;0;0;0;20120415
2;rauch.cc;0;0;6230135;13;2;0;0;0;20120315
43;rauch.cc;0;0;2352631;15;6;0;0;0;20120215
41;rauch.cc;0;0;2376416;11;4;0;0;0;20120115
