Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
47;funfreshfoods.com;0;0;5858642;95;3;0;0;0;20210615
10;funfreshfoods.com;0;0;10126348;104;0;0;0;0;20210515
77;funfreshfoods.com;0;0;4511222;83;30;0;0;0;20210415
13;funfreshfoods.com;0;0;9298861;79;4;0;0;0;20210315
8;funfreshfoods.com;0;0;10499782;85;4;0;0;0;20210215
7;funfreshfoods.com;0;0;10849270;90;3;0;0;0;20210115
10;funfreshfoods.com;0;0;10038256;92;3;0;0;0;20201215
10;funfreshfoods.com;0;0;10183429;82;7;0;0;0;20201115
11;funfreshfoods.com;0;0;9899382;85;7;0;0;0;20201015
18;funfreshfoods.com;0;0;8475651;89;2;0;0;0;20200915
13;funfreshfoods.com;0;0;9434375;82;2;0;0;0;20200815
19;funfreshfoods.com;0;0;8218030;79;4;0;0;0;20200715
21;funfreshfoods.com;0;0;7935278;66;0;0;0;0;20200615
5;funfreshfoods.com;0;0;11680356;61;0;0;0;0;20200515
4;funfreshfoods.com;0;0;12237892;49;0;0;0;0;20200415
9;funfreshfoods.com;0;0;9891977;36;0;0;0;0;20200315
20;funfreshfoods.com;0;0;7738850;40;1;0;0;0;20200215
18;funfreshfoods.com;0;0;7949466;44;0;0;0;0;20200115
19;funfreshfoods.com;0;0;7932970;49;0;0;0;0;20191215
20;funfreshfoods.com;0;0;7365548;61;0;0;0;0;20191115
24;funfreshfoods.com;0;0;6694025;66;1;0;0;0;20191015
25;funfreshfoods.com;0;0;6497283;81;0;0;0;0;20190915
26;funfreshfoods.com;0;0;6513811;92;0;0;0;0;20190815
51;funfreshfoods.com;0;0;4782784;91;5;0;0;0;20190715
49;funfreshfoods.com;0;0;4799683;85;4;0;0;0;20190615
54;funfreshfoods.com;0;0;3740253;111;22;0;0;0;20190515
72;funfreshfoods.com;0;0;3273035;123;22;0;0;0;20190415
50;funfreshfoods.com;0;0;3879477;122;23;0;0;0;20190315
79;funfreshfoods.com;0;0;3129587;95;29;0;0;0;20190215
69;funfreshfoods.com;0;0;3409088;104;25;0;0;0;20190115
60;funfreshfoods.com;0;0;3631734;124;23;0;0;0;20181215
38;funfreshfoods.com;0;0;4564189;80;12;0;0;0;20181115
53;funfreshfoods.com;0;0;3948826;108;16;0;0;0;20181015
60;funfreshfoods.com;0;0;3772875;166;14;0;0;0;20180915
112;funfreshfoods.com;0;0;2761900;206;37;0;0;0;20180815
111;funfreshfoods.com;0;0;2845106;226;24;0;0;0;20180715
87;funfreshfoods.com;0;0;3217439;236;17;0;0;0;20180615
64;funfreshfoods.com;0;0;3751776;246;20;0;0;0;20180515
80;funfreshfoods.com;0;0;3398929;314;17;0;0;0;20180415
113;funfreshfoods.com;0;0;2838300;282;32;0;0;0;20180315
64;funfreshfoods.com;0;0;3679829;253;16;0;0;0;20180215
132;funfreshfoods.com;0;0;2465222;235;12;0;0;0;20180115
163;funfreshfoods.com;0;0;2055159;228;28;0;0;0;20171215
68;funfreshfoods.com;0;0;3274221;257;11;0;0;0;20171115
129;funfreshfoods.com;0;0;2295282;349;22;0;0;0;20171015
186;funfreshfoods.com;0;0;1902914;409;59;0;0;0;20170915
146;funfreshfoods.com;0;0;2192065;341;31;0;0;0;20170815
148;funfreshfoods.com;0;0;2118638;240;13;0;0;0;20170715
165;funfreshfoods.com;0;0;2076992;186;19;0;0;0;20170615
147;funfreshfoods.com;0;0;2315813;143;17;0;0;0;20170515
108;funfreshfoods.com;0;0;2789452;84;10;0;0;0;20170415
