Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1662;rembrandtfoods.com;0;0;716395;132;81;0;0;0;20210615
1255;rembrandtfoods.com;0;0;871660;151;144;0;0;0;20210515
1293;rembrandtfoods.com;0;0;839818;155;40;0;0;0;20210415
1270;rembrandtfoods.com;0;0;836245;152;7;0;0;0;20210315
1311;rembrandtfoods.com;0;0;823868;146;6;0;0;0;20210215
1295;rembrandtfoods.com;0;0;826800;154;9;0;0;0;20210115
1488;rembrandtfoods.com;0;0;739790;218;264;0;0;0;20201215
1551;rembrandtfoods.com;0;0;707926;287;143;0;0;0;20201115
2300;rembrandtfoods.com;0;0;524469;917;1012;0;0;0;20201015
2751;rembrandtfoods.com;0;0;451835;1266;796;0;0;0;20200915
2492;rembrandtfoods.com;0;0;483340;1499;1544;0;0;0;20200815
2258;rembrandtfoods.com;0;0;507074;1425;1259;0;0;0;20200715
2254;rembrandtfoods.com;0;0;506743;1478;1289;0;0;0;20200615
2254;rembrandtfoods.com;0;0;502096;1443;1242;0;0;0;20200515
2246;rembrandtfoods.com;0;0;498017;1418;1247;0;0;0;20200415
2360;rembrandtfoods.com;0;0;480357;1368;1635;0;0;0;20200315
2320;rembrandtfoods.com;0;0;479549;1493;1147;0;0;0;20200215
2468;rembrandtfoods.com;0;0;453674;1745;1358;0;0;0;20200115
2349;rembrandtfoods.com;0;0;467599;1853;1168;0;0;0;20191215
2275;rembrandtfoods.com;0;0;460384;1809;1131;0;0;0;20191115
2111;rembrandtfoods.com;0;0;475093;1732;933;0;0;0;20191015
2016;rembrandtfoods.com;0;0;482328;1485;867;0;0;0;20190915
2120;rembrandtfoods.com;0;0;463265;1521;969;0;0;0;20190815
2126;rembrandtfoods.com;0;0;469522;1570;954;0;0;0;20190715
2287;rembrandtfoods.com;0;0;443592;1625;1173;0;0;0;20190615
2471;rembrandtfoods.com;0;0;372411;2010;961;0;0;0;20190515
2459;rembrandtfoods.com;0;0;372250;2120;968;0;0;0;20190415
2479;rembrandtfoods.com;0;0;374525;2019;1002;0;0;0;20190315
2321;rembrandtfoods.com;0;0;389590;1808;913;0;0;0;20190215
2264;rembrandtfoods.com;0;0;398528;1754;773;0;0;0;20190115
2220;rembrandtfoods.com;0;0;404952;1693;708;0;0;0;20181215
2240;rembrandtfoods.com;0;0;403131;1545;739;0;0;0;20181115
2193;rembrandtfoods.com;0;0;412597;1623;781;0;0;0;20181015
2293;rembrandtfoods.com;0;0;398400;1670;817;0;0;0;20180915
2358;rembrandtfoods.com;0;0;397015;1447;898;0;0;0;20180815
2702;rembrandtfoods.com;0;0;361975;1952;1036;0;0;0;20180715
2428;rembrandtfoods.com;0;0;390075;1822;854;0;0;0;20180615
2466;rembrandtfoods.com;0;0;384146;1760;892;0;0;0;20180515
