Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
24783;riseupcoffee.com;0;0;91553;2067;43749;0;0;0;20210615
24674;riseupcoffee.com;0;0;91552;1571;43904;0;0;0;20210515
79285;riseupcoffee.com;0;0;33617;1436;250103;0;0;0;20210415
20365;riseupcoffee.com;0;0;101652;1774;49928;0;0;0;20210315
18614;riseupcoffee.com;0;0;105081;1760;42725;0;0;0;20210215
48492;riseupcoffee.com;0;0;47702;1468;135289;0;0;0;20210115
18550;riseupcoffee.com;0;0;103466;1505;68337;0;0;0;20201215
22606;riseupcoffee.com;0;0;87530;1382;69770;0;0;0;20201115
22526;riseupcoffee.com;0;0;87021;1383;64776;0;0;0;20201015
44830;riseupcoffee.com;0;0;48936;1390;126039;0;0;0;20200915
44911;riseupcoffee.com;0;0;49123;1229;78534;0;0;0;20200815
12843;riseupcoffee.com;0;0;130999;1336;30179;0;0;0;20200715
11222;riseupcoffee.com;0;0;146084;1340;26822;0;0;0;20200615
10730;riseupcoffee.com;0;0;150465;1401;19337;0;0;0;20200515
10734;riseupcoffee.com;0;0;150682;1536;18843;0;0;0;20200415
10706;riseupcoffee.com;0;0;150454;1534;9444;0;0;0;20200315
14614;riseupcoffee.com;0;0;116962;1669;19256;0;0;0;20200215
15462;riseupcoffee.com;0;0;109958;1855;9551;0;0;0;20200115
8894;riseupcoffee.com;0;0;170029;1700;9078;0;0;0;20191215
9834;riseupcoffee.com;0;0;152793;1561;7154;0;0;0;20191115
18013;riseupcoffee.com;0;0;92499;1519;28205;0;0;0;20191015
12720;riseupcoffee.com;0;0;119575;1468;17469;0;0;0;20190915
11339;riseupcoffee.com;0;0;130136;1441;14980;0;0;0;20190815
12864;riseupcoffee.com;0;0;119117;1493;17777;0;0;0;20190715
13081;riseupcoffee.com;0;0;117476;1442;18514;0;0;0;20190615
6615;riseupcoffee.com;0;0;178689;1303;21540;0;0;0;20190515
6231;riseupcoffee.com;0;0;186518;1226;20613;0;0;0;20190415
11992;riseupcoffee.com;0;0;113707;1133;46046;0;0;0;20190315
12274;riseupcoffee.com;0;0;110321;1004;46135;0;0;0;20190215
12002;riseupcoffee.com;0;0;112510;974;46333;0;0;0;20190115
12071;riseupcoffee.com;0;0;112038;941;46272;0;0;0;20181215
12065;riseupcoffee.com;0;0;111884;959;46386;0;0;0;20181115
11987;riseupcoffee.com;0;0;112788;975;46144;0;0;0;20181015
9260;riseupcoffee.com;0;0;135950;1098;33153;0;0;0;20180915
6134;riseupcoffee.com;0;0;192195;1092;20576;0;0;0;20180815
4535;riseupcoffee.com;0;0;244093;786;13868;0;0;0;20180715
4592;riseupcoffee.com;0;0;240598;845;13823;0;0;0;20180615
4576;riseupcoffee.com;0;0;240132;823;13807;0;0;0;20180515
2578;riseupcoffee.com;0;0;368681;831;5348;0;0;0;20180415
5737;riseupcoffee.com;0;0;200367;880;18658;0;0;0;20180315
4521;riseupcoffee.com;0;0;247694;877;14342;0;0;0;20180215
6068;riseupcoffee.com;0;0;193124;785;15372;0;0;0;20180115
2898;riseupcoffee.com;0;0;303127;727;601;0;0;0;20171215
2525;riseupcoffee.com;0;0;335751;713;328;0;0;0;20171115
2726;riseupcoffee.com;0;0;318087;680;530;0;0;0;20171015
2470;riseupcoffee.com;0;0;343378;614;266;0;0;0;20170915
2495;riseupcoffee.com;0;0;345761;579;254;0;0;0;20170815
2216;riseupcoffee.com;0;0;351329;575;179;0;0;0;20170715
2759;riseupcoffee.com;0;0;327720;509;298;0;0;0;20170615
3447;riseupcoffee.com;0;0;305305;459;9314;0;0;0;20170515
3289;riseupcoffee.com;0;0;349500;471;9322;0;0;0;20170415
2736;riseupcoffee.com;0;0;338232;536;439;0;0;0;20170315
2633;riseupcoffee.com;0;0;350099;505;399;0;0;0;20170215
2909;riseupcoffee.com;0;0;325994;496;419;0;0;0;20170115
3054;riseupcoffee.com;0;0;310017;461;462;0;0;0;20161215
1913;riseupcoffee.com;0;0;342488;333;772;0;0;0;20161115
1610;riseupcoffee.com;0;0;385069;226;222;0;0;0;20161015
1622;riseupcoffee.com;0;0;381895;227;288;0;0;0;20160915
1638;riseupcoffee.com;0;0;382070;209;185;0;0;0;20160815
1633;riseupcoffee.com;0;0;381421;218;181;0;0;0;20160715
