Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
27870;madeinamericastore.com;1306;24;83593;11627;11257;24;1306;435;20210615
30117;madeinamericastore.com;546;11;78515;11953;12520;11;546;193;20210515
22803;madeinamericastore.com;413;2;95608;9974;8950;2;413;95;20210415
22586;madeinamericastore.com;5244;20;93682;11016;9899;20;5244;2765;20210315
19731;madeinamericastore.com;5246;21;100268;11471;8826;21;5246;2859;20210215
21685;madeinamericastore.com;1994;20;92182;11318;9277;20;1994;1011;20210115
18069;madeinamericastore.com;253;1;105696;10740;7097;1;253;55;20201215
14850;madeinamericastore.com;5329;17;122413;9260;7203;17;5329;2403;20201115
13991;madeinamericastore.com;337;4;127567;9662;8080;4;337;173;20201015
12847;madeinamericastore.com;0;0;134643;9074;7714;0;0;0;20200915
13501;madeinamericastore.com;0;0;129551;9286;7141;0;0;0;20200815
9359;madeinamericastore.com;0;0;168396;9051;5479;0;0;0;20200715
8518;madeinamericastore.com;0;0;181621;8478;5320;0;0;0;20200615
16251;madeinamericastore.com;0;0;108246;9123;7328;0;0;0;20200515
14965;madeinamericastore.com;0;0;115959;9352;5757;0;0;0;20200415
8137;madeinamericastore.com;0;0;186555;8617;2731;0;0;0;20200315
8591;madeinamericastore.com;0;0;177430;9063;4218;0;0;0;20200215
8409;madeinamericastore.com;89;1;177826;11641;3984;1;89;8;20200115
9724;madeinamericastore.com;0;0;158574;18704;4848;0;0;0;20191215
8324;madeinamericastore.com;76;2;173744;21865;4760;2;76;39;20191115
16111;madeinamericastore.com;0;0;100846;24226;8270;0;0;0;20191015
6993;madeinamericastore.com;0;0;189998;24275;4046;0;0;0;20190915
6987;madeinamericastore.com;0;0;189223;27685;3912;0;0;0;20190815
6967;madeinamericastore.com;0;0;192135;44819;3407;0;0;0;20190715
7190;madeinamericastore.com;11;4;187263;40497;3974;4;11;4;20190615
6001;madeinamericastore.com;1;2;192289;27325;2774;2;1;0;20190515
5424;madeinamericastore.com;0;0;207339;25697;2620;0;0;0;20190415
8272;madeinamericastore.com;0;0;151553;19740;3818;0;0;0;20190315
8226;madeinamericastore.com;0;0;150780;9128;3707;0;0;0;20190215
7208;madeinamericastore.com;0;0;167221;6483;3709;0;0;0;20190115
9441;madeinamericastore.com;0;0;135628;6674;4633;0;0;0;20181215
14661;madeinamericastore.com;0;0;96047;7413;6747;0;0;0;20181115
9262;madeinamericastore.com;0;0;138234;8486;4800;0;0;0;20181015
7632;madeinamericastore.com;0;0;158726;9326;4076;0;0;0;20180915
6913;madeinamericastore.com;0;0;175313;9044;3638;0;0;0;20180815
6675;madeinamericastore.com;0;0;180364;7768;3299;0;0;0;20180715
4926;madeinamericastore.com;0;0;227928;7809;2522;0;0;0;20180615
7600;madeinamericastore.com;0;0;161458;7638;3496;0;0;0;20180515
8209;madeinamericastore.com;0;0;150606;7357;3609;0;0;0;20180415
