Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
51762;rosamexicano.com;0;0;50463;3713;44774;0;0;0;20210615
51851;rosamexicano.com;0;0;49903;3535;44329;0;0;0;20210515
56797;rosamexicano.com;2169;45;45107;3426;31424;45;2169;3924;20210415
45695;rosamexicano.com;0;0;52851;3582;26630;0;0;0;20210315
43691;rosamexicano.com;0;0;52311;4462;24632;0;0;0;20210215
39423;rosamexicano.com;0;0;56754;3765;40267;0;0;0;20210115
58150;rosamexicano.com;0;0;40519;3853;61729;0;0;0;20201215
60496;rosamexicano.com;0;0;39126;4443;71312;0;0;0;20201115
59138;rosamexicano.com;0;0;39435;4600;57228;0;0;0;20201015
65108;rosamexicano.com;0;0;36024;5757;61527;0;0;0;20200915
69647;rosamexicano.com;0;0;34182;6904;68517;0;0;0;20200815
74615;rosamexicano.com;0;0;31337;4976;63678;0;0;0;20200715
79643;rosamexicano.com;0;0;29701;5007;72075;0;0;0;20200615
80525;rosamexicano.com;0;0;29314;5554;66707;0;0;0;20200515
75825;rosamexicano.com;0;0;31089;6123;59913;0;0;0;20200415
109026;rosamexicano.com;0;0;22521;8110;116777;0;0;0;20200315
110065;rosamexicano.com;0;0;22236;9741;110222;0;0;0;20200215
110277;rosamexicano.com;0;0;21833;9373;85720;0;0;0;20200115
75052;rosamexicano.com;0;0;30416;10289;49284;0;0;0;20191215
73231;rosamexicano.com;0;0;30144;9492;58840;0;0;0;20191115
78381;rosamexicano.com;0;0;27658;10251;271729;0;0;0;20191015
79748;rosamexicano.com;0;0;27089;10302;275121;0;0;0;20190915
73099;rosamexicano.com;0;1;29171;10538;267527;1;0;0;20190815
74406;rosamexicano.com;0;0;28831;10172;267395;0;0;0;20190715
72891;rosamexicano.com;0;0;29230;9226;267452;0;0;0;20190615
70810;rosamexicano.com;0;0;27185;8566;69472;0;0;0;20190515
73445;rosamexicano.com;0;0;26339;9731;75441;0;0;0;20190415
75956;rosamexicano.com;0;0;25605;10267;81552;0;0;0;20190315
79215;rosamexicano.com;0;0;24662;6290;90229;0;0;0;20190215
78727;rosamexicano.com;0;0;24768;6317;89014;0;0;0;20190115
72677;rosamexicano.com;0;0;26469;5799;74670;0;0;0;20181215
71632;rosamexicano.com;0;0;26627;5645;71627;0;0;0;20181115
83325;rosamexicano.com;0;0;23336;6491;95601;0;0;0;20181015
70930;rosamexicano.com;0;0;25521;7187;69911;0;0;0;20180915
62642;rosamexicano.com;0;0;29389;5814;64210;0;0;0;20180815
69102;rosamexicano.com;0;0;26805;5566;65954;0;0;0;20180715
66611;rosamexicano.com;0;0;27703;6565;65744;0;0;0;20180615
68961;rosamexicano.com;0;0;26722;6785;66651;0;0;0;20180515
68087;rosamexicano.com;0;0;26944;6746;66953;0;0;0;20180415
66284;rosamexicano.com;0;0;27526;6845;64428;0;0;0;20180315
71078;rosamexicano.com;0;0;27068;6412;73776;0;0;0;20180215
73585;rosamexicano.com;0;0;25207;5391;71335;0;0;0;20180115
61462;rosamexicano.com;0;0;25671;4917;66756;0;0;0;20171215
60071;rosamexicano.com;0;0;26574;4989;64595;0;0;0;20171115
70563;rosamexicano.com;0;0;23407;8106;79237;0;0;0;20171015
59004;rosamexicano.com;0;0;27364;8043;58092;0;0;0;20170915
60985;rosamexicano.com;0;0;26826;7930;60157;0;0;0;20170815
30401;rosamexicano.com;0;0;40821;7698;25847;0;0;0;20170715
65831;rosamexicano.com;0;0;25371;9190;65530;0;0;0;20170615
66700;rosamexicano.com;0;0;26608;9126;66211;0;0;0;20170515
77272;rosamexicano.com;0;0;24831;9156;83534;0;0;0;20170415
63897;rosamexicano.com;0;0;26214;8735;63771;0;0;0;20170315
66603;rosamexicano.com;0;0;25242;8377;67696;0;0;0;20170215
68590;rosamexicano.com;0;0;24672;9080;69416;0;0;0;20170115
70149;rosamexicano.com;0;0;23682;8068;74030;0;0;0;20161215
66166;rosamexicano.com;0;0;20195;6488;69238;0;0;0;20161115
66081;rosamexicano.com;0;0;20297;6486;69667;0;0;0;20161015
70515;rosamexicano.com;0;0;19151;6129;76478;0;0;0;20160915
74299;rosamexicano.com;0;0;18346;5945;87951;0;0;0;20160815
66047;rosamexicano.com;0;0;20334;5968;71865;0;0;0;20160715
63101;rosamexicano.com;0;0;21130;5984;66287;0;0;0;20160615
61427;rosamexicano.com;0;0;21544;6109;63948;0;0;0;20160515
61602;rosamexicano.com;0;0;21034;6298;80267;0;0;0;20160415
60846;rosamexicano.com;0;0;20578;6184;133270;0;0;0;20160315
62002;rosamexicano.com;0;0;20240;6214;136308;0;0;0;20160215
62826;rosamexicano.com;0;0;19938;6151;133818;0;0;0;20160115
61270;rosamexicano.com;0;0;20391;7114;131924;0;0;0;20151215
47250;rosamexicano.com;0;0;25620;7418;97879;0;0;0;20151115
49833;rosamexicano.com;0;0;23292;7488;80798;0;0;0;20151015
45673;rosamexicano.com;0;0;24083;1069;72053;0;0;0;20150915
46861;rosamexicano.com;0;0;23657;1053;74303;0;0;0;20150815
46233;rosamexicano.com;0;0;23501;1087;73498;0;0;0;20150715
46233;rosamexicano.com;0;0;23112;1055;104753;0;0;0;20150615
45702;rosamexicano.com;0;0;21752;1009;104464;0;0;0;20150515
54250;rosamexicano.com;0;0;18410;985;55119;0;0;0;20150415
46074;rosamexicano.com;0;0;20804;994;34753;0;0;0;20150315
46848;rosamexicano.com;0;0;20581;953;33811;0;0;0;20150215
53647;rosamexicano.com;0;0;18320;972;38671;0;0;0;20150115
48099;rosamexicano.com;0;0;19795;1053;36218;0;0;0;20141215
68515;rosamexicano.com;0;0;16224;1273;56999;0;0;0;20141115
45038;rosamexicano.com;0;0;22992;1031;13846;0;0;0;20141015
45170;rosamexicano.com;0;0;22983;1041;13945;0;0;0;20140915
51683;rosamexicano.com;0;0;20557;994;19686;0;0;0;20140815
54273;rosamexicano.com;0;0;17520;1134;34637;0;0;0;20140715
54744;rosamexicano.com;0;0;17309;972;40899;0;0;0;20140615
46226;rosamexicano.com;0;0;19718;936;34492;0;0;0;20140515
45408;rosamexicano.com;0;0;20184;989;33303;0;0;0;20140415
62491;rosamexicano.com;0;0;15249;940;47846;0;0;0;20140315
41700;rosamexicano.com;0;0;20870;824;41623;0;0;0;20140215
41197;rosamexicano.com;0;0;21151;882;42118;0;0;0;20140115
45448;rosamexicano.com;0;0;19601;921;45733;0;0;0;20131215
37896;rosamexicano.com;0;0;20433;913;41423;0;0;0;20131115
23542;rosamexicano.com;0;0;22010;1236;97259;0;0;0;20131015
23571;rosamexicano.com;0;0;21953;1341;96223;0;0;0;20130915
24663;rosamexicano.com;0;0;21181;1272;99951;0;0;0;20130815
25605;rosamexicano.com;0;0;20331;1281;99210;0;0;0;20130715
25437;rosamexicano.com;0;0;19108;984;96537;0;0;0;20130615
24548;rosamexicano.com;0;0;20119;1233;90389;0;0;0;20130515
29708;rosamexicano.com;0;0;18348;1281;139730;0;0;0;20130415
24310;rosamexicano.com;0;0;22074;1067;98115;0;0;0;20130315
25020;rosamexicano.com;0;0;21900;862;98977;0;0;0;20130215
23290;rosamexicano.com;0;0;24006;729;19864;0;0;0;20130115
28596;rosamexicano.com;0;0;20097;639;17902;0;0;0;20121215
22636;rosamexicano.com;0;0;24731;676;18261;0;0;0;20121115
21653;rosamexicano.com;0;0;25925;620;16307;0;0;0;20121015
21183;rosamexicano.com;0;0;27267;616;7498;0;0;0;20120915
21626;rosamexicano.com;0;0;26773;623;8239;0;0;0;20120815
31748;rosamexicano.com;0;0;19850;1440;12914;0;0;0;20120715
31857;rosamexicano.com;0;0;20155;1423;12866;0;0;0;20120615
31805;rosamexicano.com;0;0;21176;1351;21824;0;0;0;20120515
27890;rosamexicano.com;0;0;23917;1316;22745;0;0;0;20120415
27267;rosamexicano.com;0;0;25283;1254;54077;0;0;0;20120315
28375;rosamexicano.com;0;0;24988;1322;54371;0;0;0;20120215
