Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
10;lesaffre.ua;0;0;10131311;25;0;0;0;0;20210615
12;lesaffre.ua;0;0;9718621;33;0;0;0;0;20210515
9;lesaffre.ua;0;0;10388498;36;0;0;0;0;20210415
14;lesaffre.ua;0;0;9222410;35;0;0;0;0;20210315
18;lesaffre.ua;0;0;8437008;31;0;0;0;0;20210215
21;lesaffre.ua;0;0;8191020;36;0;0;0;0;20210115
18;lesaffre.ua;0;0;8591683;34;0;0;0;0;20201215
26;lesaffre.ua;0;0;7528760;39;0;0;0;0;20201115
17;lesaffre.ua;0;0;8770664;38;0;0;0;0;20201015
11;lesaffre.ua;0;0;9825024;27;0;0;0;0;20200915
13;lesaffre.ua;0;0;9448889;29;0;0;0;0;20200815
21;lesaffre.ua;0;0;8044203;27;0;0;0;0;20200715
2;lesaffre.ua;0;0;15892698;32;0;0;0;0;20200615
3;lesaffre.ua;0;0;13291484;20;6;0;0;0;20200515
3;lesaffre.ua;0;0;13667329;17;3;0;0;0;20200415
2;lesaffre.ua;0;0;14121816;18;0;0;0;0;20200315
3;lesaffre.ua;0;0;13055493;17;0;0;0;0;20200215
1;lesaffre.ua;0;0;16708096;10;0;0;0;0;20200115
2;lesaffre.ua;0;0;15182096;10;0;0;0;0;20191215
5;lesaffre.ua;0;0;11709568;18;8;0;0;0;20191115
3;lesaffre.ua;0;0;12939954;20;0;0;0;0;20191015
3;lesaffre.ua;0;0;13536135;23;0;0;0;0;20190915
5;lesaffre.ua;0;0;11305024;21;3;0;0;0;20190815
8;lesaffre.ua;0;0;10255699;20;9;0;0;0;20190715
9;lesaffre.ua;0;0;9353198;15;9;0;0;0;20190615
0;lesaffre.ua;0;0;28420303;7;0;0;0;0;20190515
0;lesaffre.ua;0;0;24399943;5;0;0;0;0;20190415
0;lesaffre.ua;0;0;38051255;10;0;0;0;0;20190315
0;lesaffre.ua;0;0;45448210;18;0;0;0;0;20190215
0;lesaffre.ua;0;0;33691013;19;0;0;0;0;20190115
0;lesaffre.ua;0;0;35758828;18;0;0;0;0;20181215
0;lesaffre.ua;0;0;31668162;19;0;0;0;0;20181115
0;lesaffre.ua;0;0;41282216;14;0;0;0;0;20181015
0;lesaffre.ua;0;0;25259617;11;0;0;0;0;20180915
0;lesaffre.ua;0;0;28232495;17;0;0;0;0;20180815
2;lesaffre.ua;0;0;12501624;33;0;0;0;0;20180715
1;lesaffre.ua;0;0;13205903;34;0;0;0;0;20180615
1;lesaffre.ua;0;0;13201514;37;0;0;0;0;20180515
0;lesaffre.ua;0;0;53315409;39;0;0;0;0;20180415
0;lesaffre.ua;0;0;54091546;32;0;0;0;0;20180315
0;lesaffre.ua;0;0;40624754;20;0;0;0;0;20180215
0;lesaffre.ua;0;0;28202697;21;0;0;0;0;20180115
0;lesaffre.ua;0;0;17175539;16;0;0;0;0;20171215
0;lesaffre.ua;0;0;18248101;19;0;0;0;0;20171115
0;lesaffre.ua;0;0;29395322;18;0;0;0;0;20171015
0;lesaffre.ua;0;0;37289730;21;0;0;0;0;20170915
0;lesaffre.ua;0;0;23542711;18;0;0;0;0;20170815
