Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
380;waimports.com;0;0;1900968;499;170;0;0;0;20210615
320;waimports.com;0;0;2093580;398;90;0;0;0;20210515
396;waimports.com;0;0;1824895;388;238;0;0;0;20210415
319;waimports.com;0;0;2049477;397;249;0;0;0;20210315
318;waimports.com;0;0;2068487;373;115;0;0;0;20210215
433;waimports.com;0;0;1711476;419;533;0;0;0;20210115
328;waimports.com;0;0;2008086;366;373;0;0;0;20201215
285;waimports.com;0;0;2169644;324;102;0;0;0;20201115
299;waimports.com;0;0;2096652;339;96;0;0;0;20201015
242;waimports.com;0;0;2343983;272;49;0;0;0;20200915
224;waimports.com;0;0;2426962;249;15;0;0;0;20200815
232;waimports.com;0;0;2346901;264;16;0;0;0;20200715
234;waimports.com;0;0;2324657;216;15;0;0;0;20200615
196;waimports.com;0;0;2543792;184;12;0;0;0;20200515
196;waimports.com;0;0;2496505;185;12;0;0;0;20200415
221;waimports.com;0;0;2347547;227;39;0;0;0;20200315
204;waimports.com;0;0;2418803;206;24;0;0;0;20200215
220;waimports.com;0;0;2296863;316;28;0;0;0;20200115
262;waimports.com;0;0;2052299;408;63;0;0;0;20191215
211;waimports.com;0;0;2201842;448;112;0;0;0;20191115
187;waimports.com;0;0;2316119;410;120;0;0;0;20191015
218;waimports.com;0;0;2094413;409;123;0;0;0;20190915
319;waimports.com;0;0;1670361;424;129;0;0;0;20190815
338;waimports.com;0;0;1644400;351;233;0;0;0;20190715
254;waimports.com;0;0;1929044;318;117;0;0;0;20190615
220;waimports.com;0;0;1805560;352;132;0;0;0;20190515
253;waimports.com;0;0;1662479;378;147;0;0;0;20190415
198;waimports.com;0;0;1920280;324;110;0;0;0;20190315
127;waimports.com;0;0;2450037;166;62;0;0;0;20190215
117;waimports.com;0;0;2589462;155;67;0;0;0;20190115
118;waimports.com;0;0;2576938;159;69;0;0;0;20181215
132;waimports.com;0;0;2453178;157;78;0;0;0;20181115
61;waimports.com;0;0;3691031;197;33;0;0;0;20181015
53;waimports.com;0;0;4023820;264;25;0;0;0;20180915
107;waimports.com;0;0;2822669;291;56;0;0;0;20180815
83;waimports.com;0;0;3302965;227;48;0;0;0;20180715
50;waimports.com;0;0;4224382;208;28;0;0;0;20180615
54;waimports.com;0;0;4090225;182;29;0;0;0;20180515
140;waimports.com;0;0;2518163;160;76;0;0;0;20180415
133;waimports.com;0;0;2600314;145;68;0;0;0;20180315
95;waimports.com;0;0;3017205;120;46;0;0;0;20180215
80;waimports.com;0;0;3234711;93;3;0;0;0;20180115
79;waimports.com;0;0;3034964;77;1;0;0;0;20171215
37;waimports.com;0;0;4457544;93;2;0;0;0;20171115
75;waimports.com;0;0;3060714;111;3;0;0;0;20171015
91;waimports.com;0;0;2790330;117;13;0;0;0;20170915
104;waimports.com;0;0;2616029;128;19;0;0;0;20170815
770;waimports.com;0;0;757398;125;466;0;0;0;20170715
97;waimports.com;0;0;2747096;134;14;0;0;0;20170615
91;waimports.com;0;0;2954385;127;13;0;0;0;20170515
82;waimports.com;0;0;3197641;126;5;0;0;0;20170415
64;waimports.com;0;0;3471613;105;19;0;0;0;20170315
77;waimports.com;0;0;3221949;107;0;0;0;0;20170215
79;waimports.com;0;0;3262213;138;2;0;0;0;20170115
21;waimports.com;0;0;5746020;84;3;0;0;0;20161215
7;waimports.com;0;0;6068277;48;2;0;0;0;20161115
1;waimports.com;0;0;8464340;29;0;0;0;0;20161015
1;waimports.com;0;0;9854329;41;0;0;0;0;20160915
4;waimports.com;0;0;6922506;54;0;0;0;0;20160815
3;waimports.com;0;0;7513130;57;0;0;0;0;20160715
7;waimports.com;0;0;5923483;60;0;0;0;0;20160615
7;waimports.com;0;0;6094870;58;0;0;0;0;20160515
5;waimports.com;0;0;6310647;58;4;0;0;0;20160415
5;waimports.com;0;0;6271467;62;4;0;0;0;20160315
7;waimports.com;0;0;5711461;62;5;0;0;0;20160215
7;waimports.com;0;0;5659857;67;5;0;0;0;20160115
14;waimports.com;0;0;4651311;80;6;0;0;0;20151215
10;waimports.com;0;0;5423244;75;2;0;0;0;20151115
6;waimports.com;0;0;6052987;66;0;0;0;0;20151015
10;waimports.com;0;0;4590856;4;2;0;0;0;20150915
12;waimports.com;0;0;4487752;7;2;0;0;0;20150815
4;waimports.com;0;0;6133072;4;0;0;0;0;20150715
8;waimports.com;0;0;4966173;4;1;0;0;0;20150615
5;waimports.com;0;0;5423911;4;0;0;0;0;20150515
2;waimports.com;0;0;6687794;2;0;0;0;0;20150415
0;waimports.com;0;0;9049968;2;0;0;0;0;20150315
3;waimports.com;0;0;6003624;3;0;0;0;0;20150215
5;waimports.com;0;0;5250765;2;2;0;0;0;20150115
4;waimports.com;0;0;5827609;2;2;0;0;0;20141215
0;waimports.com;0;0;9116780;1;0;0;0;0;20141115
0;waimports.com;0;0;10133414;2;0;0;0;0;20141015
76;waimports.com;0;0;2213541;4;21;0;0;0;20140915
2;waimports.com;0;0;6981795;3;0;0;0;0;20140815
6;waimports.com;0;0;3965295;3;3;0;0;0;20140715
6;waimports.com;0;0;4085088;2;3;0;0;0;20140615
4;waimports.com;0;0;4655294;4;1;0;0;0;20140515
6;waimports.com;0;0;4064556;5;2;0;0;0;20140415
0;waimports.com;0;0;7929320;2;0;0;0;0;20140315
0;waimports.com;0;0;10773617;2;0;0;0;0;20140215
0;waimports.com;0;0;7668376;2;0;0;0;0;20140115
1;waimports.com;0;0;5954907;5;0;0;0;0;20131215
5;waimports.com;0;0;4144058;5;0;0;0;0;20131115
2;waimports.com;0;0;4778967;4;1;0;0;0;20131015
2;waimports.com;0;0;4487215;4;1;0;0;0;20130915
0;waimports.com;0;0;7390678;1;0;0;0;0;20130815
0;waimports.com;0;0;0;0;0;0;0;0;20130715
0;waimports.com;0;0;0;0;0;0;0;0;20130615
0;waimports.com;0;0;7652706;7;0;0;0;0;20130515
2;waimports.com;0;0;5111240;5;1;0;0;0;20130415
0;waimports.com;0;0;12070772;9;0;0;0;0;20130315
2;waimports.com;0;0;5626869;6;1;0;0;0;20130215
0;waimports.com;0;0;10251809;5;0;0;0;0;20130115
1;waimports.com;0;0;6500869;4;0;0;0;0;20121215
1;waimports.com;0;0;6569472;8;0;0;0;0;20121115
1;waimports.com;0;0;6321188;10;0;0;0;0;20121015
3;waimports.com;0;0;5161995;9;0;0;0;0;20120915
0;waimports.com;0;0;11755226;7;0;0;0;0;20120815
0;waimports.com;0;0;9312877;15;0;0;0;0;20120715
0;waimports.com;0;0;10931731;15;0;0;0;0;20120615
