Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
260;scratchpastaco.com;0;0;2368193;236;1307;0;0;0;20210615
558;scratchpastaco.com;0;0;1493945;250;3853;0;0;0;20210515
182;scratchpastaco.com;0;0;2861024;265;250;0;0;0;20210415
276;scratchpastaco.com;0;0;2233559;223;152;0;0;0;20210315
152;scratchpastaco.com;0;0;3134867;218;190;0;0;0;20210215
101;scratchpastaco.com;0;0;3889696;152;18;0;0;0;20210115
64;scratchpastaco.com;0;0;4927293;94;3;0;0;0;20201215
96;scratchpastaco.com;0;0;3976808;63;54;0;0;0;20201115
70;scratchpastaco.com;0;0;4743465;62;157;0;0;0;20201015
188;scratchpastaco.com;0;0;2707336;66;57;0;0;0;20200915
20;scratchpastaco.com;0;0;8185052;60;15;0;0;0;20200815
20;scratchpastaco.com;0;0;8177280;72;64;0;0;0;20200715
18;scratchpastaco.com;0;0;8312206;60;61;0;0;0;20200615
13;scratchpastaco.com;0;0;9092781;67;2;0;0;0;20200515
31;scratchpastaco.com;0;0;6636724;65;24;0;0;0;20200415
12;scratchpastaco.com;0;0;9273388;56;1;0;0;0;20200315
5;scratchpastaco.com;0;0;11306999;47;0;0;0;0;20200215
9;scratchpastaco.com;0;0;9922340;94;3;0;0;0;20200115
8;scratchpastaco.com;0;0;10334336;109;1;0;0;0;20191215
9;scratchpastaco.com;0;0;9740299;66;4;0;0;0;20191115
8;scratchpastaco.com;0;0;10093197;62;4;0;0;0;20191015
8;scratchpastaco.com;0;0;10048200;66;3;0;0;0;20190915
7;scratchpastaco.com;0;0;10341504;62;2;0;0;0;20190815
13;scratchpastaco.com;0;0;8657749;59;9;0;0;0;20190715
23;scratchpastaco.com;0;0;6779072;63;21;0;0;0;20190615
11;scratchpastaco.com;0;0;7005465;67;18;0;0;0;20190515
5;scratchpastaco.com;0;0;9244652;84;9;0;0;0;20190415
1;scratchpastaco.com;0;0;13921209;81;4;0;0;0;20190315
65;scratchpastaco.com;0;0;3477298;65;84;0;0;0;20190215
73;scratchpastaco.com;0;0;3297164;77;107;0;0;0;20190115
53;scratchpastaco.com;0;0;3840664;54;82;0;0;0;20181215
62;scratchpastaco.com;0;0;3623471;42;98;0;0;0;20181115
58;scratchpastaco.com;0;0;3781156;33;61;0;0;0;20181015
53;scratchpastaco.com;0;0;4025295;32;82;0;0;0;20180915
