Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;irbefish.lv;0;0;22381686;13;0;0;0;0;20210615
0;irbefish.lv;0;0;32812602;13;0;0;0;0;20210515
0;irbefish.lv;0;0;35326640;17;0;0;0;0;20210415
0;irbefish.lv;0;0;32122911;17;0;0;0;0;20210315
0;irbefish.lv;0;0;24896580;18;0;0;0;0;20210215
0;irbefish.lv;0;0;37557331;14;0;0;0;0;20210115
0;irbefish.lv;0;0;38410232;16;0;0;0;0;20201215
0;irbefish.lv;0;0;60408453;14;0;0;0;0;20201115
0;irbefish.lv;0;0;39855589;12;0;0;0;0;20201015
5;irbefish.lv;0;0;12089515;13;0;0;0;0;20200915
5;irbefish.lv;0;0;12007034;14;0;0;0;0;20200815
0;irbefish.lv;0;0;24820890;13;0;0;0;0;20200715
0;irbefish.lv;0;0;46818462;9;0;0;0;0;20200615
0;irbefish.lv;0;0;18392630;12;0;0;0;0;20200515
0;irbefish.lv;0;0;42452025;5;0;0;0;0;20200415
2;irbefish.lv;0;0;15611773;4;0;0;0;0;20200315
0;irbefish.lv;0;0;18979936;6;0;0;0;0;20200215
0;irbefish.lv;0;0;48609365;8;0;0;0;0;20200115
0;irbefish.lv;0;0;22518225;9;0;0;0;0;20191215
1;irbefish.lv;0;0;16409252;13;0;0;0;0;20191115
1;irbefish.lv;0;0;16193811;11;0;0;0;0;20191015
0;irbefish.lv;0;0;45966912;14;0;0;0;0;20190915
0;irbefish.lv;0;0;31733775;14;0;0;0;0;20190815
0;irbefish.lv;0;0;60616914;17;0;0;0;0;20190715
0;irbefish.lv;0;0;62363899;13;0;0;0;0;20190615
0;irbefish.lv;0;0;14633468;6;0;0;0;0;20190515
0;irbefish.lv;0;0;39730678;5;0;0;0;0;20190415
0;irbefish.lv;0;0;44824886;7;0;0;0;0;20190315
0;irbefish.lv;0;0;39179004;4;0;0;0;0;20190215
0;irbefish.lv;0;0;50539128;1;0;0;0;0;20190115
0;irbefish.lv;0;0;47444928;2;0;0;0;0;20181215
0;irbefish.lv;0;0;15933321;2;0;0;0;0;20181115
0;irbefish.lv;0;0;0;0;0;0;0;0;20181015
0;irbefish.lv;0;0;17338575;1;0;0;0;0;20180915
0;irbefish.lv;0;0;26056750;1;0;0;0;0;20180815
0;irbefish.lv;0;0;0;0;0;0;0;0;20180715
0;irbefish.lv;0;0;36634854;1;0;0;0;0;20180615
0;irbefish.lv;0;0;53974800;1;0;0;0;0;20180515
0;irbefish.lv;0;0;48460493;1;0;0;0;0;20180415
0;irbefish.lv;0;0;57699166;2;0;0;0;0;20180315
0;irbefish.lv;0;0;23704510;1;0;0;0;0;20180215
0;irbefish.lv;0;0;37500803;1;0;0;0;0;20180115
0;irbefish.lv;0;0;19836119;1;0;0;0;0;20171215
0;irbefish.lv;0;0;19829513;1;0;0;0;0;20171115
0;irbefish.lv;0;0;43189539;1;0;0;0;0;20171015
0;irbefish.lv;0;0;41370224;1;0;0;0;0;20170915
0;irbefish.lv;0;0;31624805;1;0;0;0;0;20170815
0;irbefish.lv;0;0;41023445;1;0;0;0;0;20170715
0;irbefish.lv;0;0;14425281;1;0;0;0;0;20170615
0;irbefish.lv;0;0;18272021;1;0;0;0;0;20170515
0;irbefish.lv;0;0;37824325;1;0;0;0;0;20170415
0;irbefish.lv;0;0;39994495;1;0;0;0;0;20170315
0;irbefish.lv;0;0;42636474;1;0;0;0;0;20170215
0;irbefish.lv;0;0;25368528;1;0;0;0;0;20170115
0;irbefish.lv;0;0;48659036;1;0;0;0;0;20161215
0;irbefish.lv;0;0;28753303;1;0;0;0;0;20161115
0;irbefish.lv;0;0;23424006;1;0;0;0;0;20161015
0;irbefish.lv;0;0;18269966;1;0;0;0;0;20160915
0;irbefish.lv;0;0;42210705;1;0;0;0;0;20160815
0;irbefish.lv;0;0;10241770;1;0;0;0;0;20160715
0;irbefish.lv;0;0;39929279;1;0;0;0;0;20160615
0;irbefish.lv;0;0;16468186;1;0;0;0;0;20160515
0;irbefish.lv;0;0;13527015;1;0;0;0;0;20160415
0;irbefish.lv;0;0;15513972;1;0;0;0;0;20160315
0;irbefish.lv;0;0;23409937;1;0;0;0;0;20160215
0;irbefish.lv;0;0;34471661;1;0;0;0;0;20160115
0;irbefish.lv;0;0;30634677;1;0;0;0;0;20151215
0;irbefish.lv;0;0;44907719;1;0;0;0;0;20151115
0;irbefish.lv;0;0;35356836;1;0;0;0;0;20151015
0;irbefish.lv;0;0;0;0;0;0;0;0;20150915
0;irbefish.lv;0;0;0;0;0;0;0;0;20150815
0;irbefish.lv;0;0;0;0;0;0;0;0;20150715
0;irbefish.lv;0;0;0;0;0;0;0;0;20150615
0;irbefish.lv;0;0;0;0;0;0;0;0;20150515
0;irbefish.lv;0;0;0;0;0;0;0;0;20150415
0;irbefish.lv;0;0;0;0;0;0;0;0;20150315
0;irbefish.lv;0;0;0;0;0;0;0;0;20150215
0;irbefish.lv;0;0;0;0;0;0;0;0;20150115
0;irbefish.lv;0;0;0;0;0;0;0;0;20141215
0;irbefish.lv;0;0;0;0;0;0;0;0;20141115
0;irbefish.lv;0;0;0;0;0;0;0;0;20141015
0;irbefish.lv;0;0;0;0;0;0;0;0;20140915
0;irbefish.lv;0;0;0;0;0;0;0;0;20140815
0;irbefish.lv;0;0;0;0;0;0;0;0;20140715
0;irbefish.lv;0;0;0;0;0;0;0;0;20140615
0;irbefish.lv;0;0;0;0;0;0;0;0;20140515
0;irbefish.lv;0;0;0;0;0;0;0;0;20140415
0;irbefish.lv;0;0;0;0;0;0;0;0;20140315
0;irbefish.lv;0;0;0;0;0;0;0;0;20140215
0;irbefish.lv;0;0;0;0;0;0;0;0;20140115
0;irbefish.lv;0;0;0;0;0;0;0;0;20131215
0;irbefish.lv;0;0;0;0;0;0;0;0;20131115
0;irbefish.lv;0;0;0;0;0;0;0;0;20131015
0;irbefish.lv;0;0;0;0;0;0;0;0;20130915
0;irbefish.lv;0;0;0;0;0;0;0;0;20130815
0;irbefish.lv;0;0;0;0;0;0;0;0;20130715
0;irbefish.lv;0;0;0;0;0;0;0;0;20130615
0;irbefish.lv;0;0;0;0;0;0;0;0;20130515
0;irbefish.lv;0;0;0;0;0;0;0;0;20130415
0;irbefish.lv;0;0;0;0;0;0;0;0;20130315
0;irbefish.lv;0;0;0;0;0;0;0;0;20130215
0;irbefish.lv;0;0;0;0;0;0;0;0;20130115
0;irbefish.lv;0;0;0;0;0;0;0;0;20121215
0;irbefish.lv;0;0;0;0;0;0;0;0;20121115
0;irbefish.lv;0;0;0;0;0;0;0;0;20121015
0;irbefish.lv;0;0;0;0;0;0;0;0;20120915
0;irbefish.lv;0;0;0;0;0;0;0;0;20120815
0;irbefish.lv;0;0;0;0;0;0;0;0;20120715
0;irbefish.lv;0;0;0;0;0;0;0;0;20120615
0;irbefish.lv;0;0;0;0;0;0;0;0;20120515
0;irbefish.lv;0;0;0;0;0;0;0;0;20120415
0;irbefish.lv;0;0;0;0;0;0;0;0;20120315
0;irbefish.lv;0;0;0;0;0;0;0;0;20120215
0;irbefish.lv;0;0;0;0;0;0;0;0;20120115
