Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
195664;seagramsescapes.com;12;1;15202;3185;300028;1;12;0;20210615
198997;seagramsescapes.com;1969;10;14910;3033;307554;10;1969;2299;20210515
200473;seagramsescapes.com;7191;21;14665;2730;263273;21;7191;16658;20210415
171353;seagramsescapes.com;8916;39;16399;2673;708362;39;8916;713031;20210315
166790;seagramsescapes.com;33117;457;16736;2517;701462;457;33117;248566;20210215
165117;seagramsescapes.com;28949;369;16784;2568;719318;369;28949;94708;20210115
192639;seagramsescapes.com;0;0;14536;2543;222597;0;0;0;20201215
170563;seagramsescapes.com;0;0;16121;2564;294810;0;0;0;20201115
157744;seagramsescapes.com;0;0;17095;2568;497082;0;0;0;20201015
155616;seagramsescapes.com;0;0;17046;2525;429752;0;0;0;20200915
147737;seagramsescapes.com;0;0;17867;2595;785825;0;0;0;20200815
119233;seagramsescapes.com;0;0;20885;2708;625952;0;0;0;20200715
124497;seagramsescapes.com;62372;1019;20192;2709;643527;1019;62372;262499;20200615
120190;seagramsescapes.com;15420;70;20698;2723;367527;70;15420;43470;20200515
117335;seagramsescapes.com;7932;118;21339;2353;365698;118;7932;20526;20200415
118138;seagramsescapes.com;0;0;20978;2519;141599;0;0;0;20200315
108863;seagramsescapes.com;0;0;22449;2617;218787;0;0;0;20200215
108037;seagramsescapes.com;0;0;22234;3250;211950;0;0;0;20200115
101889;seagramsescapes.com;0;0;23387;3442;190704;0;0;0;20191215
80420;seagramsescapes.com;0;0;27840;3487;134579;0;0;0;20191115
77536;seagramsescapes.com;0;0;27930;3521;30887;0;0;0;20191015
69851;seagramsescapes.com;0;0;30353;3367;28920;0;0;0;20190915
78370;seagramsescapes.com;0;0;27542;3476;30376;0;0;0;20190815
78956;seagramsescapes.com;2326;3;27473;3866;31646;3;2326;535;20190715
84582;seagramsescapes.com;21359;904;25772;3809;33608;904;21359;21624;20190615
52930;seagramsescapes.com;25634;425;34650;3482;25625;425;25634;46744;20190515
56457;seagramsescapes.com;6537;52;32840;3415;29364;52;6537;9604;20190415
51978;seagramsescapes.com;0;0;35256;3292;32878;0;0;0;20190315
49291;seagramsescapes.com;0;0;36559;2761;27035;0;0;0;20190215
51474;seagramsescapes.com;0;0;35200;2569;31228;0;0;0;20190115
57942;seagramsescapes.com;0;0;31927;2609;32688;0;0;0;20181215
49326;seagramsescapes.com;0;0;36190;2275;28362;0;0;0;20181115
47013;seagramsescapes.com;0;0;37552;2246;24483;0;0;0;20181015
55105;seagramsescapes.com;0;0;31665;2221;26856;0;0;0;20180915
35139;seagramsescapes.com;0;0;47399;2239;23035;0;0;0;20180815
46942;seagramsescapes.com;0;0;37202;1854;25085;0;0;0;20180715
52447;seagramsescapes.com;0;0;33939;1721;27207;0;0;0;20180615
52708;seagramsescapes.com;0;0;33593;1745;28542;0;0;0;20180515
48435;seagramsescapes.com;0;0;35884;1737;27117;0;0;0;20180415
49787;seagramsescapes.com;0;0;35058;1927;28465;0;0;0;20180315
58873;seagramsescapes.com;0;0;31831;1928;29306;0;0;0;20180215
47071;seagramsescapes.com;0;0;36728;1758;23365;0;0;0;20180115
28559;seagramsescapes.com;0;0;48802;1636;16844;0;0;0;20171215
30082;seagramsescapes.com;0;0;47613;1783;16582;0;0;0;20171115
30704;seagramsescapes.com;0;0;47131;2113;17240;0;0;0;20171015
31415;seagramsescapes.com;0;0;46472;2178;19372;0;0;0;20170915
31534;seagramsescapes.com;0;0;46856;2089;19939;0;0;0;20170815
17677;seagramsescapes.com;0;0;64783;1952;17618;0;0;0;20170715
28912;seagramsescapes.com;0;0;50950;2209;18027;0;0;0;20170615
30195;seagramsescapes.com;0;0;52359;2158;19283;0;0;0;20170515
33288;seagramsescapes.com;0;0;51571;2151;19974;0;0;0;20170415
29614;seagramsescapes.com;0;0;50543;2147;19467;0;0;0;20170315
30150;seagramsescapes.com;0;0;49777;2334;19707;0;0;0;20170215
31171;seagramsescapes.com;0;0;48393;2534;21520;0;0;0;20170115
32523;seagramsescapes.com;0;0;45835;2157;22489;0;0;0;20161215
24303;seagramsescapes.com;0;0;47273;1429;15372;0;0;0;20161115
