Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
401;smint.co.uk;0;0;1839531;30;111;0;0;0;20210615
362;smint.co.uk;0;0;1947142;32;111;0;0;0;20210515
299;smint.co.uk;0;0;2155875;33;26;0;0;0;20210415
374;smint.co.uk;0;0;1864672;34;266;0;0;0;20210315
308;smint.co.uk;0;0;2107406;33;156;0;0;0;20210215
375;smint.co.uk;0;0;1868203;39;311;0;0;0;20210115
340;smint.co.uk;0;0;1964526;35;75;0;0;0;20201215
312;smint.co.uk;0;0;2055170;30;172;0;0;0;20201115
264;smint.co.uk;0;0;2259828;32;42;0;0;0;20201015
274;smint.co.uk;0;0;2181482;30;35;0;0;0;20200915
338;smint.co.uk;0;0;1901950;34;67;0;0;0;20200815
365;smint.co.uk;0;0;1785538;39;67;0;0;0;20200715
277;smint.co.uk;0;0;2103688;39;39;0;0;0;20200615
385;smint.co.uk;0;0;1701903;40;43;0;0;0;20200515
316;smint.co.uk;0;0;1887127;41;42;0;0;0;20200415
430;smint.co.uk;0;0;1567004;39;72;0;0;0;20200315
378;smint.co.uk;0;0;1669934;37;65;0;0;0;20200215
358;smint.co.uk;0;0;1713154;38;66;0;0;0;20200115
346;smint.co.uk;0;0;1732626;39;65;0;0;0;20191215
281;smint.co.uk;0;0;1860725;39;15;0;0;0;20191115
280;smint.co.uk;0;0;1829296;33;45;0;0;0;20191015
290;smint.co.uk;0;0;1768794;34;45;0;0;0;20190915
282;smint.co.uk;0;0;1801677;30;36;0;0;0;20190815
287;smint.co.uk;0;0;1816457;31;45;0;0;0;20190715
254;smint.co.uk;0;0;1927200;27;33;0;0;0;20190615
97;smint.co.uk;0;0;2803180;24;18;0;0;0;20190515
102;smint.co.uk;0;0;2722143;26;18;0;0;0;20190415
102;smint.co.uk;0;0;2725768;26;18;0;0;0;20190315
95;smint.co.uk;0;0;2854920;27;24;0;0;0;20190215
119;smint.co.uk;0;0;2568637;22;24;0;0;0;20190115
56;smint.co.uk;0;0;3772747;21;12;0;0;0;20181215
56;smint.co.uk;0;0;3805896;17;12;0;0;0;20181115
58;smint.co.uk;0;0;3774224;19;12;0;0;0;20181015
23;smint.co.uk;0;0;5788543;19;0;0;0;0;20180915
23;smint.co.uk;0;0;5786756;22;0;0;0;0;20180815
47;smint.co.uk;0;0;4349373;21;0;0;0;0;20180715
93;smint.co.uk;0;0;3105069;28;24;0;0;0;20180615
96;smint.co.uk;0;0;3062000;24;24;0;0;0;20180515
56;smint.co.uk;0;0;4079274;21;12;0;0;0;20180415
56;smint.co.uk;0;0;4078726;21;12;0;0;0;20180315
14;smint.co.uk;0;0;6854884;8;0;0;0;0;20180215
1;smint.co.uk;0;0;13176138;3;0;0;0;0;20180115
0;smint.co.uk;0;0;0;0;0;0;0;0;20171215
0;smint.co.uk;0;0;0;0;0;0;0;0;20171115
0;smint.co.uk;0;0;0;0;0;0;0;0;20171015
0;smint.co.uk;0;0;0;0;0;0;0;0;20170915
0;smint.co.uk;0;0;0;0;0;0;0;0;20170815
0;smint.co.uk;0;0;0;0;0;0;0;0;20170715
0;smint.co.uk;0;0;0;0;0;0;0;0;20170615
0;smint.co.uk;0;0;0;0;0;0;0;0;20170515
0;smint.co.uk;0;0;0;0;0;0;0;0;20170415
0;smint.co.uk;0;0;0;0;0;0;0;0;20170315
0;smint.co.uk;0;0;0;0;0;0;0;0;20170215
22;smint.co.uk;0;0;5761845;3;3;0;0;0;20170115
14;smint.co.uk;0;0;6436407;3;2;0;0;0;20161215
14;smint.co.uk;0;0;4876225;3;2;0;0;0;20161115
22;smint.co.uk;0;0;3899124;3;3;0;0;0;20161015
19;smint.co.uk;0;0;4150165;3;3;0;0;0;20160915
5;smint.co.uk;0;0;6583301;3;0;0;0;0;20160815
4;smint.co.uk;0;0;7049053;3;0;0;0;0;20160715
4;smint.co.uk;0;0;6985306;3;0;0;0;0;20160615
2;smint.co.uk;0;0;8228879;3;0;0;0;0;20160515
0;smint.co.uk;0;0;13689399;1;0;0;0;0;20160415
0;smint.co.uk;0;0;15793204;1;0;0;0;0;20160315
0;smint.co.uk;0;0;23702161;1;0;0;0;0;20160215
0;smint.co.uk;0;0;0;0;0;0;0;0;20160115
0;smint.co.uk;0;0;30672204;1;0;0;0;0;20151215
0;smint.co.uk;0;0;0;0;0;0;0;0;20151115
0;smint.co.uk;0;0;0;0;0;0;0;0;20151015
0;smint.co.uk;0;0;0;0;0;0;0;0;20150915
0;smint.co.uk;0;0;0;0;0;0;0;0;20150815
0;smint.co.uk;0;0;0;0;0;0;0;0;20150715
0;smint.co.uk;0;0;0;0;0;0;0;0;20150615
0;smint.co.uk;0;0;0;0;0;0;0;0;20150515
0;smint.co.uk;0;0;0;0;0;0;0;0;20150415
0;smint.co.uk;0;0;0;0;0;0;0;0;20150315
0;smint.co.uk;0;0;0;0;0;0;0;0;20150215
0;smint.co.uk;0;0;0;0;0;0;0;0;20150115
0;smint.co.uk;0;0;0;0;0;0;0;0;20141215
0;smint.co.uk;0;0;0;0;0;0;0;0;20141115
0;smint.co.uk;0;0;0;0;0;0;0;0;20141015
0;smint.co.uk;0;0;0;0;0;0;0;0;20140915
0;smint.co.uk;0;0;0;0;0;0;0;0;20140815
0;smint.co.uk;0;0;0;0;0;0;0;0;20140715
0;smint.co.uk;0;0;0;0;0;0;0;0;20140615
0;smint.co.uk;0;0;0;0;0;0;0;0;20140515
0;smint.co.uk;0;0;0;0;0;0;0;0;20140415
0;smint.co.uk;0;0;0;0;0;0;0;0;20140315
0;smint.co.uk;0;0;0;0;0;0;0;0;20140215
0;smint.co.uk;0;0;0;0;0;0;0;0;20140115
0;smint.co.uk;0;0;0;0;0;0;0;0;20131215
0;smint.co.uk;0;0;0;0;0;0;0;0;20131115
0;smint.co.uk;0;0;0;0;0;0;0;0;20131015
0;smint.co.uk;0;0;0;0;0;0;0;0;20130915
0;smint.co.uk;0;0;0;0;0;0;0;0;20130815
0;smint.co.uk;0;0;0;0;0;0;0;0;20130715
0;smint.co.uk;0;0;0;0;0;0;0;0;20130615
0;smint.co.uk;0;0;0;0;0;0;0;0;20130515
0;smint.co.uk;0;0;0;0;0;0;0;0;20130415
0;smint.co.uk;0;0;0;0;0;0;0;0;20130315
0;smint.co.uk;0;0;0;0;0;0;0;0;20130215
0;smint.co.uk;0;0;0;0;0;0;0;0;20130115
0;smint.co.uk;0;0;0;0;0;0;0;0;20121215
0;smint.co.uk;0;0;0;0;0;0;0;0;20121115
0;smint.co.uk;0;0;0;0;0;0;0;0;20121015
0;smint.co.uk;0;0;0;0;0;0;0;0;20120915
0;smint.co.uk;0;0;0;0;0;0;0;0;20120815
0;smint.co.uk;0;0;0;0;0;0;0;0;20120715
0;smint.co.uk;0;0;0;0;0;0;0;0;20120615
0;smint.co.uk;0;0;0;0;0;0;0;0;20120515
0;smint.co.uk;0;0;0;0;0;0;0;0;20120415
0;smint.co.uk;0;0;0;0;0;0;0;0;20120315
0;smint.co.uk;0;0;0;0;0;0;0;0;20120215
0;smint.co.uk;0;0;0;0;0;0;0;0;20120115
