Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1322;walkers-snacks.co.uk;0;0;842886;229;500;0;0;0;20210615
1093;walkers-snacks.co.uk;0;0;959127;209;441;0;0;0;20210515
1187;walkers-snacks.co.uk;0;0;891264;219;455;0;0;0;20210415
1122;walkers-snacks.co.uk;0;0;912166;235;226;0;0;0;20210315
1031;walkers-snacks.co.uk;0;0;974899;234;178;0;0;0;20210215
1134;walkers-snacks.co.uk;0;0;907683;238;268;0;0;0;20210115
967;walkers-snacks.co.uk;0;0;1003079;238;447;0;0;0;20201215
860;walkers-snacks.co.uk;0;0;1074523;272;164;0;0;0;20201115
831;walkers-snacks.co.uk;0;0;1091586;246;139;0;0;0;20201015
841;walkers-snacks.co.uk;0;0;1068794;266;165;0;0;0;20200915
1045;walkers-snacks.co.uk;0;0;909262;253;12;0;0;0;20200815
790;walkers-snacks.co.uk;0;0;1079433;263;1;0;0;0;20200715
904;walkers-snacks.co.uk;0;0;981263;248;1;0;0;0;20200615
991;walkers-snacks.co.uk;0;0;910171;244;87;0;0;0;20200515
1105;walkers-snacks.co.uk;0;0;830627;226;155;0;0;0;20200415
863;walkers-snacks.co.uk;0;0;988587;336;104;0;0;0;20200315
833;walkers-snacks.co.uk;0;0;995855;272;115;0;0;0;20200215
821;walkers-snacks.co.uk;0;0;997550;304;102;0;0;0;20200115
888;walkers-snacks.co.uk;0;0;937113;327;153;0;0;0;20191215
758;walkers-snacks.co.uk;0;0;991404;352;126;0;0;0;20191115
704;walkers-snacks.co.uk;0;0;1021408;321;81;0;0;0;20191015
848;walkers-snacks.co.uk;0;0;888557;272;94;0;0;0;20190915
630;walkers-snacks.co.uk;0;0;1081910;254;102;0;0;0;20190815
723;walkers-snacks.co.uk;0;0;1005300;225;98;0;0;0;20190715
696;walkers-snacks.co.uk;0;0;1021647;171;99;0;0;0;20190615
552;walkers-snacks.co.uk;0;0;1038358;214;111;0;0;0;20190515
495;walkers-snacks.co.uk;0;0;1110644;216;92;0;0;0;20190415
387;walkers-snacks.co.uk;0;0;1305756;213;64;0;0;0;20190315
464;walkers-snacks.co.uk;0;0;1162611;283;70;0;0;0;20190215
542;walkers-snacks.co.uk;0;0;1063783;326;84;0;0;0;20190115
497;walkers-snacks.co.uk;0;0;1124901;327;80;0;0;0;20181215
529;walkers-snacks.co.uk;0;0;1087048;288;71;0;0;0;20181115
492;walkers-snacks.co.uk;0;0;1149315;303;81;0;0;0;20181015
486;walkers-snacks.co.uk;0;0;1168460;332;88;0;0;0;20180915
531;walkers-snacks.co.uk;0;0;1114319;323;102;0;0;0;20180815
558;walkers-snacks.co.uk;0;0;1102014;366;92;0;0;0;20180715
475;walkers-snacks.co.uk;0;0;1215884;322;80;0;0;0;20180615
435;walkers-snacks.co.uk;0;0;1284461;321;68;0;0;0;20180515
389;walkers-snacks.co.uk;0;0;1380711;290;58;0;0;0;20180415
386;walkers-snacks.co.uk;0;0;1395539;274;57;0;0;0;20180315
616;walkers-snacks.co.uk;0;0;1026672;332;107;0;0;0;20180215
579;walkers-snacks.co.uk;0;0;1021661;341;73;0;0;0;20180115
577;walkers-snacks.co.uk;0;0;955249;319;74;0;0;0;20171215
422;walkers-snacks.co.uk;0;0;1168166;287;34;0;0;0;20171115
486;walkers-snacks.co.uk;0;0;1061226;260;59;0;0;0;20171015
369;walkers-snacks.co.uk;0;0;1276534;238;42;0;0;0;20170915
366;walkers-snacks.co.uk;0;0;1301811;187;45;0;0;0;20170815
276;walkers-snacks.co.uk;0;0;1497526;160;31;0;0;0;20170715
95;walkers-snacks.co.uk;0;0;2780893;137;7;0;0;0;20170615
33;walkers-snacks.co.uk;0;0;4830820;37;0;0;0;0;20170515
0;walkers-snacks.co.uk;0;0;16153370;2;0;0;0;0;20170415
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20170315
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20170215
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20170115
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20161215
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20161115
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20161015
0;walkers-snacks.co.uk;0;0;0;0;0;0;0;0;20160915
