Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
350;socado.com;0;0;1994539;67;0;0;0;0;20210615
389;socado.com;0;0;1865104;71;0;0;0;0;20210515
376;socado.com;0;0;1884156;76;4;0;0;0;20210415
357;socado.com;0;0;1917282;82;122;0;0;0;20210315
366;socado.com;0;0;1901222;62;79;0;0;0;20210215
337;socado.com;0;0;1991594;69;0;0;0;0;20210115
323;socado.com;0;0;2026978;66;0;0;0;0;20201215
331;socado.com;0;0;1983793;67;0;0;0;0;20201115
338;socado.com;0;0;1947314;65;0;0;0;0;20201015
396;socado.com;0;0;1745861;66;0;0;0;0;20200915
373;socado.com;0;0;1791718;67;0;0;0;0;20200815
399;socado.com;0;0;1687968;73;0;0;0;0;20200715
395;socado.com;0;0;1694009;82;0;0;0;0;20200615
421;socado.com;0;0;1607066;71;0;0;0;0;20200515
438;socado.com;0;0;1543036;54;0;0;0;0;20200415
277;socado.com;0;0;2054749;45;0;0;0;0;20200315
250;socado.com;0;0;2150564;56;0;0;0;0;20200215
239;socado.com;0;0;2183358;51;0;0;0;0;20200115
237;socado.com;0;0;2177250;48;0;0;0;0;20191215
184;socado.com;0;0;2383322;36;26;0;0;0;20191115
180;socado.com;0;0;2362925;34;26;0;0;0;20191015
196;socado.com;0;0;2225588;36;25;0;0;0;20190915
173;socado.com;0;0;2400049;33;26;0;0;0;20190815
174;socado.com;0;0;2436639;34;26;0;0;0;20190715
175;socado.com;0;0;2395411;30;26;0;0;0;20190615
125;socado.com;0;0;2456840;11;0;0;0;0;20190515
132;socado.com;0;0;2384214;14;0;0;0;0;20190415
132;socado.com;0;0;2393646;13;0;0;0;0;20190315
132;socado.com;0;0;2404967;15;0;0;0;0;20190215
140;socado.com;0;0;2357772;21;0;0;0;0;20190115
130;socado.com;0;0;2443737;15;0;0;0;0;20181215
121;socado.com;0;0;2571945;13;0;0;0;0;20181115
121;socado.com;0;0;2611240;12;0;0;0;0;20181015
121;socado.com;0;0;2633159;15;0;0;0;0;20180915
121;socado.com;0;0;2646271;15;0;0;0;0;20180815
131;socado.com;0;0;2603230;23;0;0;0;0;20180715
131;socado.com;0;0;2595919;30;0;0;0;0;20180615
139;socado.com;0;0;2507027;33;0;0;0;0;20180515
142;socado.com;0;0;2502287;41;0;0;0;0;20180415
142;socado.com;0;0;2509006;43;0;0;0;0;20180315
65;socado.com;0;0;3635426;16;0;0;0;0;20180215
0;socado.com;0;0;31444782;14;0;0;0;0;20180115
0;socado.com;0;0;14775056;14;0;0;0;0;20171215
0;socado.com;0;0;22363311;11;0;0;0;0;20171115
0;socado.com;0;0;30253464;17;0;0;0;0;20171015
0;socado.com;0;0;44084911;24;0;0;0;0;20170915
0;socado.com;0;0;27716664;25;0;0;0;0;20170815
0;socado.com;0;0;30877590;32;0;0;0;0;20170715
0;socado.com;0;0;20952949;35;0;0;0;0;20170615
0;socado.com;0;0;47194063;39;0;0;0;0;20170515
0;socado.com;0;0;19033192;43;0;0;0;0;20170415
0;socado.com;0;0;32036778;43;0;0;0;0;20170315
0;socado.com;0;0;33364646;32;0;0;0;0;20170215
0;socado.com;0;0;44106486;27;0;0;0;0;20170115
0;socado.com;0;0;31436037;22;0;0;0;0;20161215
0;socado.com;0;0;26741222;17;0;0;0;0;20161115
4;socado.com;0;0;6793203;18;0;0;0;0;20161015
4;socado.com;0;0;6854948;16;0;0;0;0;20160915
4;socado.com;0;0;6762986;14;0;0;0;0;20160815
4;socado.com;0;0;7035805;13;0;0;0;0;20160715
0;socado.com;0;0;23645373;12;0;0;0;0;20160615
0;socado.com;0;0;40145388;13;0;0;0;0;20160515
2;socado.com;0;0;8006899;13;0;0;0;0;20160415
2;socado.com;0;0;8123844;12;0;0;0;0;20160315
3;socado.com;0;0;7466926;14;1;0;0;0;20160215
3;socado.com;0;0;7133007;13;1;0;0;0;20160115
0;socado.com;0;0;23319456;8;0;0;0;0;20151215
0;socado.com;0;0;23699440;10;0;0;0;0;20151115
0;socado.com;0;0;39798601;9;0;0;0;0;20151015
0;socado.com;0;0;0;0;0;0;0;0;20150915
0;socado.com;0;0;0;0;0;0;0;0;20150815
0;socado.com;0;0;10643649;1;0;0;0;0;20150715
0;socado.com;0;0;0;0;0;0;0;0;20150615
0;socado.com;0;0;0;0;0;0;0;0;20150515
0;socado.com;0;0;0;0;0;0;0;0;20150415
