Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
397592;sonnysbbq.com;76;8;8118;23874;254965;8;76;107;20210615
382362;sonnysbbq.com;97;11;8421;18692;242300;11;97;152;20210515
363173;sonnysbbq.com;145;21;8685;22315;215672;21;145;309;20210415
379757;sonnysbbq.com;48;21;8128;25304;227427;21;48;51;20210315
386829;sonnysbbq.com;1806;55;8044;28915;249818;55;1806;778;20210215
368221;sonnysbbq.com;285;57;8337;32060;251980;57;285;574;20210115
347536;sonnysbbq.com;331;50;8727;23282;260184;50;331;1437;20201215
331285;sonnysbbq.com;335;72;9082;22380;297205;72;335;858;20201115
323901;sonnysbbq.com;317;58;9198;21295;216083;58;317;692;20201015
292062;sonnysbbq.com;361;74;9868;25578;238127;74;361;388;20200915
304459;sonnysbbq.com;344;112;9504;26783;448168;112;344;358;20200815
256156;sonnysbbq.com;53;18;10717;27908;368094;18;53;52;20200715
264531;sonnysbbq.com;0;0;10441;30443;388842;0;0;0;20200615
263505;sonnysbbq.com;0;0;10473;32145;400735;0;0;0;20200515
313479;sonnysbbq.com;0;0;9073;22791;520160;0;0;0;20200415
277799;sonnysbbq.com;52;18;9950;27556;276347;18;52;118;20200315
299800;sonnysbbq.com;66;20;9312;29991;601969;20;66;204;20200215
286573;sonnysbbq.com;18;5;9540;29934;490551;5;18;45;20200115
270901;sonnysbbq.com;4;2;10033;30497;458415;2;4;2;20191215
270500;sonnysbbq.com;25;10;9846;33167;471048;10;25;127;20191115
239955;sonnysbbq.com;0;0;10528;32915;278621;0;0;0;20191015
226531;sonnysbbq.com;6;13;11002;36518;262951;13;6;34;20190915
227401;sonnysbbq.com;62;18;10931;41166;264547;18;62;216;20190815
190443;sonnysbbq.com;12;4;12802;37811;229604;4;12;19;20190715
231456;sonnysbbq.com;72;47;10728;26337;271886;47;72;296;20190615
178282;sonnysbbq.com;57;6;12394;19529;87064;6;57;229;20190515
204445;sonnysbbq.com;4;7;10980;25663;153570;7;4;11;20190415
209876;sonnysbbq.com;4;6;10705;22763;149266;6;4;4;20190315
198821;sonnysbbq.com;5;2;11148;17954;140045;2;5;2;20190215
184298;sonnysbbq.com;0;0;11853;20815;106245;0;0;0;20190115
176817;sonnysbbq.com;0;0;12250;21159;79942;0;0;0;20181215
171034;sonnysbbq.com;39;4;12558;20373;70093;4;39;40;20181115
218312;sonnysbbq.com;7;1;10171;22260;172546;1;7;4;20181015
160340;sonnysbbq.com;5;1;12549;23881;162128;1;5;1;20180915
206376;sonnysbbq.com;120;9;10507;23109;165582;9;120;51;20180815
193901;sonnysbbq.com;0;0;11020;17809;118240;0;0;0;20180715
191341;sonnysbbq.com;0;0;11096;19413;125067;0;0;0;20180615
221370;sonnysbbq.com;56;4;9808;19011;176463;4;56;16;20180515
222969;sonnysbbq.com;4;2;9751;17139;189631;2;4;2;20180415
259347;sonnysbbq.com;0;0;8518;15832;257956;0;0;0;20180315
296023;sonnysbbq.com;0;0;8070;9837;186794;0;0;0;20180215
281223;sonnysbbq.com;0;0;8072;8317;203031;0;0;0;20180115
173454;sonnysbbq.com;0;0;10483;7385;163865;0;0;0;20171215
158147;sonnysbbq.com;0;0;11444;6249;142252;0;0;0;20171115
168194;sonnysbbq.com;0;0;10942;5636;154471;0;0;0;20171015
176799;sonnysbbq.com;0;0;10554;5401;166425;0;0;0;20170915
170973;sonnysbbq.com;0;0;10958;5769;167673;0;0;0;20170815
109321;sonnysbbq.com;0;0;13398;6463;127071;0;0;0;20170715
181738;sonnysbbq.com;0;0;10555;9655;185890;0;0;0;20170615
184501;sonnysbbq.com;0;0;10928;9351;187850;0;0;0;20170515
186645;sonnysbbq.com;0;0;11447;9166;186808;0;0;0;20170415
177257;sonnysbbq.com;0;0;10733;9240;180617;0;0;0;20170315
164220;sonnysbbq.com;0;0;11423;9449;148396;0;0;0;20170215
174992;sonnysbbq.com;0;0;10814;10168;151527;0;0;0;20170115
168713;sonnysbbq.com;249;6;10923;9875;143480;6;249;541;20161215
42422;sonnysbbq.com;138;3;29597;7551;49622;3;138;447;20161115
46178;sonnysbbq.com;9;5;27639;6587;52034;5;9;5;20161015
51078;sonnysbbq.com;160;26;25299;6938;62256;26;160;403;20160915
42584;sonnysbbq.com;0;0;29683;7006;45995;0;0;0;20160815
42235;sonnysbbq.com;0;0;29863;7137;39548;0;0;0;20160715
44153;sonnysbbq.com;0;0;28735;7342;52080;0;0;0;20160615
44215;sonnysbbq.com;1;1;28589;7329;51551;1;1;0;20160515
41001;sonnysbbq.com;6;6;29794;6925;36110;6;6;1;20160415
43848;sonnysbbq.com;9;16;27141;6681;36678;16;9;7;20160315
38067;sonnysbbq.com;9;16;30575;6585;29853;16;9;7;20160215
40077;sonnysbbq.com;0;0;29211;6886;35726;0;0;0;20160115
48002;sonnysbbq.com;6;50;25060;7539;49214;50;6;24;20151215
