Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2235;thespottedtrotter.com;0;0;576664;451;304;0;0;0;20210615
2308;thespottedtrotter.com;0;0;561775;470;415;0;0;0;20210515
2017;thespottedtrotter.com;0;0;608987;386;88;0;0;0;20210415
2007;thespottedtrotter.com;0;0;600673;432;75;0;0;0;20210315
1994;thespottedtrotter.com;0;0;608090;320;59;0;0;0;20210215
1942;thespottedtrotter.com;0;0;616015;286;30459;0;0;0;20210115
1931;thespottedtrotter.com;0;0;610965;230;32;0;0;0;20201215
1913;thespottedtrotter.com;0;0;607018;217;23365;0;0;0;20201115
1677;thespottedtrotter.com;0;0;663000;207;25625;0;0;0;20201015
1546;thespottedtrotter.com;0;0;694328;178;10859;0;0;0;20200915
1541;thespottedtrotter.com;0;0;689007;188;8555;0;0;0;20200815
1017;thespottedtrotter.com;0;0;905921;180;5354;0;0;0;20200715
1013;thespottedtrotter.com;0;0;906012;191;5352;0;0;0;20200615
1021;thespottedtrotter.com;0;0;891467;214;23;0;0;0;20200515
992;thespottedtrotter.com;0;0;895062;174;67;0;0;0;20200415
991;thespottedtrotter.com;0;0;897524;144;15;0;0;0;20200315
930;thespottedtrotter.com;0;0;922930;191;15;0;0;0;20200215
935;thespottedtrotter.com;0;0;912025;243;9;0;0;0;20200115
929;thespottedtrotter.com;0;0;907777;258;8;0;0;0;20191215
872;thespottedtrotter.com;0;0;902507;212;18;0;0;0;20191115
857;thespottedtrotter.com;0;0;894923;216;25;0;0;0;20191015
853;thespottedtrotter.com;0;0;884940;212;14;0;0;0;20190915
852;thespottedtrotter.com;0;0;883342;234;18;0;0;0;20190815
877;thespottedtrotter.com;0;0;881925;336;20;0;0;0;20190715
1061;thespottedtrotter.com;0;0;766768;361;20;0;0;0;20190615
864;thespottedtrotter.com;0;0;775266;735;111;0;0;0;20190515
898;thespottedtrotter.com;0;0;753983;818;145;0;0;0;20190415
872;thespottedtrotter.com;0;0;778428;567;99;0;0;0;20190315
875;thespottedtrotter.com;0;0;771088;297;31;0;0;0;20190215
772;thespottedtrotter.com;0;0;846141;300;25;0;0;0;20190115
823;thespottedtrotter.com;0;0;811698;284;18;0;0;0;20181215
730;thespottedtrotter.com;0;0;883710;295;21;0;0;0;20181115
752;thespottedtrotter.com;0;0;874192;431;25;0;0;0;20181015
767;thespottedtrotter.com;0;0;867709;499;24;0;0;0;20180915
803;thespottedtrotter.com;0;0;849893;549;25;0;0;0;20180815
756;thespottedtrotter.com;0;0;901845;510;14;0;0;0;20180715
782;thespottedtrotter.com;0;0;875779;454;17;0;0;0;20180615
773;thespottedtrotter.com;0;0;880472;445;26;0;0;0;20180515
735;thespottedtrotter.com;0;0;910779;498;24;0;0;0;20180415
747;thespottedtrotter.com;0;0;905124;531;30;0;0;0;20180315
772;thespottedtrotter.com;0;0;885476;605;45;0;0;0;20180215
975;thespottedtrotter.com;0;0;712359;539;5;0;0;0;20180115
996;thespottedtrotter.com;0;0;650067;487;7;0;0;0;20171215
956;thespottedtrotter.com;0;0;665371;529;14;0;0;0;20171115
969;thespottedtrotter.com;0;0;659193;517;31;0;0;0;20171015
966;thespottedtrotter.com;0;0;664671;595;15;0;0;0;20170915
926;thespottedtrotter.com;0;0;695538;516;12;0;0;0;20170815
939;thespottedtrotter.com;0;0;655934;521;18;0;0;0;20170715
924;thespottedtrotter.com;0;0;710526;637;18;0;0;0;20170615
981;thespottedtrotter.com;0;0;732592;659;19;0;0;0;20170515
979;thespottedtrotter.com;0;0;775798;665;19;0;0;0;20170415
1017;thespottedtrotter.com;0;0;683017;732;18;0;0;0;20170315
1059;thespottedtrotter.com;0;0;672788;806;31;0;0;0;20170215
1086;thespottedtrotter.com;0;0;668588;742;91;0;0;0;20170115
1061;thespottedtrotter.com;0;0;673899;601;43;0;0;0;20161215
1023;thespottedtrotter.com;0;0;537519;402;38;0;0;0;20161115
992;thespottedtrotter.com;0;0;539536;335;48;0;0;0;20161015
1048;thespottedtrotter.com;0;0;518314;337;41;0;0;0;20160915
1036;thespottedtrotter.com;0;0;527137;365;39;0;0;0;20160815
1039;thespottedtrotter.com;0;0;523935;393;39;0;0;0;20160715
1010;thespottedtrotter.com;0;0;535862;398;78;0;0;0;20160615
991;thespottedtrotter.com;0;0;541516;431;80;0;0;0;20160515
1093;thespottedtrotter.com;0;0;493030;490;14060;0;0;0;20160415
1067;thespottedtrotter.com;0;0;492559;490;13961;0;0;0;20160315
1067;thespottedtrotter.com;0;0;490279;499;13953;0;0;0;20160215
1077;thespottedtrotter.com;0;0;486346;515;13966;0;0;0;20160115
1104;thespottedtrotter.com;0;0;481210;555;13962;0;0;0;20151215
686;thespottedtrotter.com;0;0;676496;512;8242;0;0;0;20151115
662;thespottedtrotter.com;0;0;665451;564;30;0;0;0;20151015
661;thespottedtrotter.com;0;0;631570;12;17;0;0;0;20150915
645;thespottedtrotter.com;0;0;648386;10;16;0;0;0;20150815
648;thespottedtrotter.com;0;0;642234;15;36;0;0;0;20150715
660;thespottedtrotter.com;0;0;626548;15;9;0;0;0;20150615
650;thespottedtrotter.com;0;0;596802;12;10;0;0;0;20150515
649;thespottedtrotter.com;0;0;589164;13;9013;0;0;0;20150415
509;thespottedtrotter.com;0;0;677618;16;15;0;0;0;20150315
528;thespottedtrotter.com;0;0;667442;21;37;0;0;0;20150215
519;thespottedtrotter.com;0;0;673967;22;15;0;0;0;20150115
681;thespottedtrotter.com;0;0;560230;26;3557;0;0;0;20141215
989;thespottedtrotter.com;0;0;469293;26;6479;0;0;0;20141115
561;thespottedtrotter.com;0;0;693624;20;293;0;0;0;20141015
914;thespottedtrotter.com;0;0;500111;24;1199;0;0;0;20140915
644;thespottedtrotter.com;0;0;641638;18;614;0;0;0;20140815
232;thespottedtrotter.com;0;0;921268;28;581;0;0;0;20140715
207;thespottedtrotter.com;0;0;980841;29;515;0;0;0;20140615
86;thespottedtrotter.com;0;0;1538538;29;134;0;0;0;20140515
79;thespottedtrotter.com;0;0;1612203;31;97;0;0;0;20140415
89;thespottedtrotter.com;0;0;1518723;35;94;0;0;0;20140315
72;thespottedtrotter.com;0;0;1622005;35;86;0;0;0;20140215
46;thespottedtrotter.com;0;0;2020831;28;32;0;0;0;20140115
68;thespottedtrotter.com;0;0;1677794;26;198;0;0;0;20131215
306;thespottedtrotter.com;0;0;699621;28;373;0;0;0;20131115
231;thespottedtrotter.com;0;0;651600;31;230;0;0;0;20131015
199;thespottedtrotter.com;0;0;718713;29;217;0;0;0;20130915
120;thespottedtrotter.com;0;0;987388;28;141;0;0;0;20130815
201;thespottedtrotter.com;0;0;732546;23;155;0;0;0;20130715
80;thespottedtrotter.com;0;0;1213258;13;53;0;0;0;20130615
109;thespottedtrotter.com;0;0;1067029;14;57;0;0;0;20130515
77;thespottedtrotter.com;0;0;1356535;22;39;0;0;0;20130415
187;thespottedtrotter.com;0;0;834450;18;96;0;0;0;20130315
188;thespottedtrotter.com;0;0;875072;37;138;0;0;0;20130215
77;thespottedtrotter.com;0;0;1464831;29;35;0;0;0;20130115
209;thespottedtrotter.com;0;0;848165;21;84;0;0;0;20121215
123;thespottedtrotter.com;0;0;1149117;20;59;0;0;0;20121115
91;thespottedtrotter.com;0;0;1318546;13;40;0;0;0;20121015
212;thespottedtrotter.com;0;0;883110;16;80;0;0;0;20120915
92;thespottedtrotter.com;0;0;1414748;13;48;0;0;0;20120815
217;thespottedtrotter.com;0;0;901901;14;74;0;0;0;20120715
0;thespottedtrotter.com;0;0;11776971;1;0;0;0;0;20120615
237;thespottedtrotter.com;0;0;956060;24;44;0;0;0;20120515
156;thespottedtrotter.com;0;0;1289971;23;19;0;0;0;20120415
3;thespottedtrotter.com;0;0;5712881;6;27;0;0;0;20120315
4;thespottedtrotter.com;0;0;5288773;7;27;0;0;0;20120215
3;thespottedtrotter.com;0;0;5395597;7;27;0;0;0;20120115
