Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
54;straightarrowbison.com;0;0;5490427;120;19;0;0;0;20210615
58;straightarrowbison.com;0;0;5277532;149;29;0;0;0;20210515
62;straightarrowbison.com;0;0;5031625;168;35;0;0;0;20210415
45;straightarrowbison.com;0;0;5822283;155;10;0;0;0;20210315
52;straightarrowbison.com;0;0;5542407;150;16;0;0;0;20210215
58;straightarrowbison.com;0;0;5192002;171;18;0;0;0;20210115
28;straightarrowbison.com;0;0;7255969;162;13;0;0;0;20201215
15;straightarrowbison.com;0;0;9024349;147;14;0;0;0;20201115
9;straightarrowbison.com;0;0;10501980;144;10;0;0;0;20201015
11;straightarrowbison.com;0;0;9814035;131;5;0;0;0;20200915
13;straightarrowbison.com;0;0;9382546;138;6;0;0;0;20200815
17;straightarrowbison.com;0;0;8598853;140;4;0;0;0;20200715
11;straightarrowbison.com;0;0;9642871;142;4;0;0;0;20200615
18;straightarrowbison.com;0;0;8065566;129;5;0;0;0;20200515
19;straightarrowbison.com;0;0;7848573;115;4;0;0;0;20200415
20;straightarrowbison.com;0;0;7876003;101;4;0;0;0;20200315
13;straightarrowbison.com;0;0;9005153;86;5;0;0;0;20200215
13;straightarrowbison.com;0;0;8963405;83;5;0;0;0;20200115
12;straightarrowbison.com;0;0;9279754;64;4;0;0;0;20191215
28;straightarrowbison.com;0;0;6392072;73;4;0;0;0;20191115
25;straightarrowbison.com;0;0;6525338;142;2;0;0;0;20191015
47;straightarrowbison.com;0;0;4827052;239;4;0;0;0;20190915
49;straightarrowbison.com;0;0;4794694;223;4;0;0;0;20190815
49;straightarrowbison.com;0;0;4864282;271;4;0;0;0;20190715
49;straightarrowbison.com;0;0;4762720;287;4;0;0;0;20190615
67;straightarrowbison.com;0;0;3361952;506;14;0;0;0;20190515
61;straightarrowbison.com;0;0;3541884;438;14;0;0;0;20190415
55;straightarrowbison.com;0;0;3725020;527;15;0;0;0;20190315
40;straightarrowbison.com;0;0;4400494;394;10;0;0;0;20190215
60;straightarrowbison.com;0;0;3628175;417;21;0;0;0;20190115
53;straightarrowbison.com;0;0;3859462;482;13;0;0;0;20181215
58;straightarrowbison.com;0;0;3736156;476;14;0;0;0;20181115
46;straightarrowbison.com;0;0;4227277;375;9;0;0;0;20181015
25;straightarrowbison.com;0;0;5648636;221;1;0;0;0;20180915
25;straightarrowbison.com;0;0;5606871;222;2;0;0;0;20180815
26;straightarrowbison.com;0;0;5636572;222;1;0;0;0;20180715
29;straightarrowbison.com;0;0;5386625;219;2;0;0;0;20180615
29;straightarrowbison.com;0;0;5438140;221;3;0;0;0;20180515
26;straightarrowbison.com;0;0;5741142;224;0;0;0;0;20180415
56;straightarrowbison.com;0;0;4069137;306;11;0;0;0;20180315
121;straightarrowbison.com;0;0;2664333;358;13;0;0;0;20180215
125;straightarrowbison.com;0;0;2542879;315;14;0;0;0;20180115
139;straightarrowbison.com;0;0;2238838;303;12;0;0;0;20171215
134;straightarrowbison.com;0;0;2273304;283;21;0;0;0;20171115
137;straightarrowbison.com;0;0;2225927;349;30;0;0;0;20171015
149;straightarrowbison.com;0;0;2149491;588;31;0;0;0;20170915
183;straightarrowbison.com;0;0;1943361;794;43;0;0;0;20170815
156;straightarrowbison.com;0;0;2060692;1070;30;0;0;0;20170715
204;straightarrowbison.com;0;0;1854306;1429;44;0;0;0;20170615
413;straightarrowbison.com;0;0;1318216;1846;60;0;0;0;20170515
400;straightarrowbison.com;0;0;1403194;2116;62;0;0;0;20170415
414;straightarrowbison.com;0;0;1255205;2116;81;0;0;0;20170315
326;straightarrowbison.com;0;0;1483584;2011;67;0;0;0;20170215
242;straightarrowbison.com;0;0;1796630;1880;48;0;0;0;20170115
226;straightarrowbison.com;0;0;1859305;1670;80;0;0;0;20161215
69;straightarrowbison.com;0;0;2539783;1142;60;0;0;0;20161115
45;straightarrowbison.com;0;0;2900421;894;40;0;0;0;20161015
60;straightarrowbison.com;0;0;2568512;913;54;0;0;0;20160915
55;straightarrowbison.com;0;0;2703346;1001;51;0;0;0;20160815
47;straightarrowbison.com;0;0;2897479;991;41;0;0;0;20160715
47;straightarrowbison.com;0;0;2932870;905;41;0;0;0;20160615
40;straightarrowbison.com;0;0;3145782;791;34;0;0;0;20160515
37;straightarrowbison.com;0;0;3152736;842;36;0;0;0;20160415
38;straightarrowbison.com;0;0;3108570;859;37;0;0;0;20160315
41;straightarrowbison.com;0;0;2997893;807;41;0;0;0;20160215
38;straightarrowbison.com;0;0;3082885;716;39;0;0;0;20160115
35;straightarrowbison.com;0;0;3219693;790;37;0;0;0;20151215
37;straightarrowbison.com;0;0;3337976;690;39;0;0;0;20151115
39;straightarrowbison.com;0;0;3150749;673;29;0;0;0;20151015
22;straightarrowbison.com;0;0;3616653;22;18;0;0;0;20150915
27;straightarrowbison.com;0;0;3392724;17;17;0;0;0;20150815
33;straightarrowbison.com;0;0;3114236;14;18;0;0;0;20150715
25;straightarrowbison.com;0;0;3453603;16;32;0;0;0;20150615
27;straightarrowbison.com;0;0;3223889;17;29;0;0;0;20150515
33;straightarrowbison.com;0;0;2915280;20;27;0;0;0;20150415
30;straightarrowbison.com;0;0;2991100;25;14;0;0;0;20150315
27;straightarrowbison.com;0;0;3124713;24;11;0;0;0;20150215
27;straightarrowbison.com;0;0;3144558;26;8;0;0;0;20150115
20;straightarrowbison.com;0;0;3586899;23;18;0;0;0;20141215
12;straightarrowbison.com;0;0;4279306;24;8;0;0;0;20141115
13;straightarrowbison.com;0;0;4453640;16;5;0;0;0;20141015
14;straightarrowbison.com;0;0;4382317;9;7;0;0;0;20140915
24;straightarrowbison.com;0;0;3583095;11;13;0;0;0;20140815
10;straightarrowbison.com;0;0;3501875;10;9;0;0;0;20140715
6;straightarrowbison.com;0;0;3979886;6;0;0;0;0;20140615
3;straightarrowbison.com;0;0;5098655;6;0;0;0;0;20140515
2;straightarrowbison.com;0;0;5509040;6;0;0;0;0;20140415
4;straightarrowbison.com;0;0;4630406;3;0;0;0;0;20140315
2;straightarrowbison.com;0;0;5241572;2;0;0;0;0;20140215
33;straightarrowbison.com;0;0;2305429;6;14;0;0;0;20140115
26;straightarrowbison.com;0;0;2542810;9;16;0;0;0;20131215
2;straightarrowbison.com;0;0;5108328;2;3;0;0;0;20131115
2;straightarrowbison.com;0;0;4429466;1;2;0;0;0;20131015
2;straightarrowbison.com;0;0;4967165;1;2;0;0;0;20130915
4;straightarrowbison.com;0;0;4213028;1;4;0;0;0;20130815
1;straightarrowbison.com;0;0;5818380;1;1;0;0;0;20130715
2;straightarrowbison.com;0;0;5124872;3;2;0;0;0;20130615
6;straightarrowbison.com;0;0;3838225;4;6;0;0;0;20130515
6;straightarrowbison.com;0;0;3842973;2;6;0;0;0;20130415
9;straightarrowbison.com;0;0;3548616;4;7;0;0;0;20130315
12;straightarrowbison.com;0;0;3332700;3;4;0;0;0;20130215
7;straightarrowbison.com;0;0;3993151;3;5;0;0;0;20130115
7;straightarrowbison.com;0;0;4082214;6;5;0;0;0;20121215
9;straightarrowbison.com;0;0;3656019;2;5;0;0;0;20121115
6;straightarrowbison.com;0;0;4124390;2;4;0;0;0;20121015
6;straightarrowbison.com;0;0;4292191;3;3;0;0;0;20120915
3;straightarrowbison.com;0;0;5275600;3;3;0;0;0;20120815
0;straightarrowbison.com;0;0;14635925;2;0;0;0;0;20120715
0;straightarrowbison.com;0;0;14842995;2;0;0;0;0;20120615
3;straightarrowbison.com;0;0;5940955;4;2;0;0;0;20120515
3;straightarrowbison.com;0;0;6327997;4;2;0;0;0;20120415
1;straightarrowbison.com;0;0;7254038;1;2;0;0;0;20120315
2;straightarrowbison.com;0;0;5914627;3;4;0;0;0;20120215
3;straightarrowbison.com;0;0;5615511;2;4;0;0;0;20120115
