Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
530;heritage-foods.com;0;0;1546520;143;103;0;0;0;20210615
568;heritage-foods.com;0;0;1477854;132;156;0;0;0;20210515
606;heritage-foods.com;0;0;1400643;124;247;0;0;0;20210415
515;heritage-foods.com;0;0;1529129;129;1017;0;0;0;20210315
469;heritage-foods.com;0;0;1634431;128;999;0;0;0;20210215
503;heritage-foods.com;0;0;1557924;151;556;0;0;0;20210115
495;heritage-foods.com;0;0;1558538;115;900;0;0;0;20201215
512;heritage-foods.com;0;0;1513296;127;914;0;0;0;20201115
522;heritage-foods.com;0;0;1484134;120;720;0;0;0;20201015
501;heritage-foods.com;0;0;1503658;199;865;0;0;0;20200915
586;heritage-foods.com;0;0;1344712;205;808;0;0;0;20200815
591;heritage-foods.com;0;0;1311242;194;835;0;0;0;20200715
597;heritage-foods.com;0;0;1298941;185;835;0;0;0;20200615
563;heritage-foods.com;0;0;1333976;153;806;0;0;0;20200515
536;heritage-foods.com;0;0;1353759;111;806;0;0;0;20200415
505;heritage-foods.com;0;0;1413425;103;442;0;0;0;20200315
508;heritage-foods.com;0;0;1383131;101;967;0;0;0;20200215
581;heritage-foods.com;0;0;1256597;105;1072;0;0;0;20200115
501;heritage-foods.com;0;0;1370830;107;886;0;0;0;20191215
524;heritage-foods.com;0;0;1263933;131;745;0;0;0;20191115
616;heritage-foods.com;0;0;1115325;136;84;0;0;0;20191015
624;heritage-foods.com;0;0;1090181;140;84;0;0;0;20190915
658;heritage-foods.com;0;0;1050012;145;133;0;0;0;20190815
663;heritage-foods.com;0;0;1065676;122;135;0;0;0;20190715
649;heritage-foods.com;0;0;1070522;97;129;0;0;0;20190615
515;heritage-foods.com;0;0;1085180;128;70;0;0;0;20190515
560;heritage-foods.com;0;0;1027289;134;71;0;0;0;20190415
582;heritage-foods.com;0;0;1012118;111;86;0;0;0;20190315
591;heritage-foods.com;0;0;997639;121;88;0;0;0;20190215
497;heritage-foods.com;0;0;1124921;161;27;0;0;0;20190115
477;heritage-foods.com;0;0;1155061;171;28;0;0;0;20181215
648;heritage-foods.com;0;0;954357;167;76;0;0;0;20181115
694;heritage-foods.com;0;0;920967;188;108;0;0;0;20181015
715;heritage-foods.com;0;0;908775;188;108;0;0;0;20180915
646;heritage-foods.com;0;0;981720;169;90;0;0;0;20180815
727;heritage-foods.com;0;0;926049;187;103;0;0;0;20180715
602;heritage-foods.com;0;0;1043300;179;141;0;0;0;20180615
526;heritage-foods.com;0;0;1136169;219;127;0;0;0;20180515
626;heritage-foods.com;0;0;1013645;185;71;0;0;0;20180415
616;heritage-foods.com;0;0;1030197;145;71;0;0;0;20180315
601;heritage-foods.com;0;0;1043225;228;100;0;0;0;20180215
761;heritage-foods.com;0;0;846691;198;135;0;0;0;20180115
804;heritage-foods.com;0;0;756749;195;129;0;0;0;20171215
781;heritage-foods.com;0;0;768489;220;122;0;0;0;20171115
768;heritage-foods.com;0;0;776986;199;128;0;0;0;20171015
753;heritage-foods.com;0;0;792775;217;127;0;0;0;20170915
795;heritage-foods.com;0;0;774106;233;139;0;0;0;20170815
838;heritage-foods.com;0;0;712211;228;141;0;0;0;20170715
860;heritage-foods.com;0;0;747221;241;195;0;0;0;20170615
987;heritage-foods.com;0;0;729379;225;270;0;0;0;20170515
1136;heritage-foods.com;0;0;703051;206;261;0;0;0;20170415
833;heritage-foods.com;0;0;784924;210;150;0;0;0;20170315
840;heritage-foods.com;0;0;792137;217;153;0;0;0;20170215
813;heritage-foods.com;0;0;821634;203;125;0;0;0;20170115
695;heritage-foods.com;0;0;914177;175;114;0;0;0;20161215
588;heritage-foods.com;0;0;781354;140;144;0;0;0;20161115
415;heritage-foods.com;0;0;941176;131;132;0;0;0;20161015
567;heritage-foods.com;0;0;776500;129;128;0;0;0;20160915
609;heritage-foods.com;0;0;749675;124;140;0;0;0;20160815
604;heritage-foods.com;0;0;750251;137;136;0;0;0;20160715
618;heritage-foods.com;0;0;742943;148;137;0;0;0;20160615
745;heritage-foods.com;0;0;656978;146;181;0;0;0;20160515
567;heritage-foods.com;0;0;762573;147;403;0;0;0;20160415
569;heritage-foods.com;0;0;749980;152;408;0;0;0;20160315
580;heritage-foods.com;0;0;737147;154;428;0;0;0;20160215
580;heritage-foods.com;0;0;736008;159;422;0;0;0;20160115
634;heritage-foods.com;0;0;700612;176;505;0;0;0;20151215
621;heritage-foods.com;0;0;722879;176;453;0;0;0;20151115
597;heritage-foods.com;0;0;713496;181;437;0;0;0;20151015
528;heritage-foods.com;0;0;732121;23;414;0;0;0;20150915
490;heritage-foods.com;0;0;776495;24;410;0;0;0;20150815
557;heritage-foods.com;0;0;710577;30;439;0;0;0;20150715
508;heritage-foods.com;0;0;744968;23;198;0;0;0;20150615
423;heritage-foods.com;0;0;793002;15;171;0;0;0;20150515
416;heritage-foods.com;0;0;788288;12;902;0;0;0;20150415
372;heritage-foods.com;0;0;829667;11;492;0;0;0;20150315
411;heritage-foods.com;0;0;786553;12;515;0;0;0;20150215
372;heritage-foods.com;0;0;836462;11;492;0;0;0;20150115
325;heritage-foods.com;0;0;910311;12;1150;0;0;0;20141215
534;heritage-foods.com;0;0;709929;19;1907;0;0;0;20141115
421;heritage-foods.com;0;0;838051;15;362;0;0;0;20141015
424;heritage-foods.com;0;0;842762;16;362;0;0;0;20140915
526;heritage-foods.com;0;0;733834;16;402;0;0;0;20140815
198;heritage-foods.com;0;0;1003375;7;18;0;0;0;20140715
290;heritage-foods.com;0;0;811859;10;22;0;0;0;20140615
296;heritage-foods.com;0;0;799380;11;49;0;0;0;20140515
168;heritage-foods.com;0;0;1101946;10;54;0;0;0;20140415
287;heritage-foods.com;0;0;821938;9;16;0;0;0;20140315
306;heritage-foods.com;0;0;766550;16;336;0;0;0;20140215
303;heritage-foods.com;0;0;779418;18;332;0;0;0;20140115
161;heritage-foods.com;0;0;1091517;15;173;0;0;0;20131215
154;heritage-foods.com;0;0;1032355;11;176;0;0;0;20131115
170;heritage-foods.com;0;0;781183;11;143;0;0;0;20131015
144;heritage-foods.com;0;0;868755;9;129;0;0;0;20130915
89;heritage-foods.com;0;0;1163531;14;109;0;0;0;20130815
83;heritage-foods.com;0;0;1210284;16;107;0;0;0;20130715
97;heritage-foods.com;0;0;1091407;16;115;0;0;0;20130615
124;heritage-foods.com;0;0;990284;19;157;0;0;0;20130515
79;heritage-foods.com;0;0;1332251;15;104;0;0;0;20130415
104;heritage-foods.com;0;0;1169915;13;123;0;0;0;20130315
77;heritage-foods.com;0;0;1458063;13;70;0;0;0;20130215
48;heritage-foods.com;0;0;1859452;15;60;0;0;0;20130115
50;heritage-foods.com;0;0;1838420;9;60;0;0;0;20121215
27;heritage-foods.com;0;0;2405579;7;34;0;0;0;20121115
3;heritage-foods.com;0;0;4858941;7;10;0;0;0;20121015
0;heritage-foods.com;0;0;7726289;2;0;0;0;0;20120915
0;heritage-foods.com;0;0;13575615;1;0;0;0;0;20120815
9;heritage-foods.com;0;0;3915522;5;4;0;0;0;20120715
10;heritage-foods.com;0;0;3862493;3;12;0;0;0;20120615
27;heritage-foods.com;0;0;2981544;2;22;0;0;0;20120515
30;heritage-foods.com;0;0;2951510;2;25;0;0;0;20120415
114;heritage-foods.com;0;0;1546523;31;20;0;0;0;20120315
409;heritage-foods.com;0;0;710720;57;205;0;0;0;20120215
404;heritage-foods.com;0;0;709974;65;247;0;0;0;20120115
