Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
76;healthyfoodbrands.co.uk;0;0;4594915;106;10;0;0;0;20210615
75;healthyfoodbrands.co.uk;0;0;4607102;108;5;0;0;0;20210515
73;healthyfoodbrands.co.uk;0;0;4653353;106;2;0;0;0;20210415
31;healthyfoodbrands.co.uk;0;0;7050634;90;2;0;0;0;20210315
22;healthyfoodbrands.co.uk;0;0;8099744;96;6;0;0;0;20210215
87;healthyfoodbrands.co.uk;0;0;4216112;96;5;0;0;0;20210115
80;healthyfoodbrands.co.uk;0;0;4362517;87;12;0;0;0;20201215
65;healthyfoodbrands.co.uk;0;0;4911911;75;4;0;0;0;20201115
82;healthyfoodbrands.co.uk;0;0;4306075;81;8;0;0;0;20201015
15;healthyfoodbrands.co.uk;0;0;8965327;74;15;0;0;0;20200915
46;healthyfoodbrands.co.uk;0;0;5689398;74;38;0;0;0;20200815
16;healthyfoodbrands.co.uk;0;0;8702630;64;17;0;0;0;20200715
16;healthyfoodbrands.co.uk;0;0;8650099;79;14;0;0;0;20200615
42;healthyfoodbrands.co.uk;0;0;5800019;80;44;0;0;0;20200515
42;healthyfoodbrands.co.uk;0;0;5662506;74;41;0;0;0;20200415
21;healthyfoodbrands.co.uk;0;0;7748399;61;24;0;0;0;20200315
30;healthyfoodbrands.co.uk;0;0;6677282;62;42;0;0;0;20200215
28;healthyfoodbrands.co.uk;0;0;6798041;49;41;0;0;0;20200115
12;healthyfoodbrands.co.uk;0;0;9138930;42;8;0;0;0;20191215
68;healthyfoodbrands.co.uk;0;0;4098064;47;72;0;0;0;20191115
60;healthyfoodbrands.co.uk;0;0;4281891;50;48;0;0;0;20191015
54;healthyfoodbrands.co.uk;0;0;4528076;59;63;0;0;0;20190915
57;healthyfoodbrands.co.uk;0;0;4413784;61;58;0;0;0;20190815
54;healthyfoodbrands.co.uk;0;0;4659041;54;66;0;0;0;20190715
56;healthyfoodbrands.co.uk;0;0;4440018;50;78;0;0;0;20190615
25;healthyfoodbrands.co.uk;0;0;5280869;69;44;0;0;0;20190515
6;healthyfoodbrands.co.uk;0;0;8513223;53;13;0;0;0;20190415
36;healthyfoodbrands.co.uk;0;0;4542133;58;69;0;0;0;20190315
41;healthyfoodbrands.co.uk;0;0;4348765;67;74;0;0;0;20190215
43;healthyfoodbrands.co.uk;0;0;4261480;66;73;0;0;0;20190115
33;healthyfoodbrands.co.uk;0;0;4768777;56;69;0;0;0;20181215
26;healthyfoodbrands.co.uk;0;0;5360455;59;44;0;0;0;20181115
25;healthyfoodbrands.co.uk;0;0;5585871;51;69;0;0;0;20181015
27;healthyfoodbrands.co.uk;0;0;5418288;70;59;0;0;0;20180915
6;healthyfoodbrands.co.uk;0;0;8831990;44;13;0;0;0;20180815
23;healthyfoodbrands.co.uk;0;0;5977265;43;44;0;0;0;20180715
25;healthyfoodbrands.co.uk;0;0;5772340;60;44;0;0;0;20180615
24;healthyfoodbrands.co.uk;0;0;5825594;66;44;0;0;0;20180515
20;healthyfoodbrands.co.uk;0;0;6374793;62;44;0;0;0;20180415
27;healthyfoodbrands.co.uk;0;0;5708501;56;44;0;0;0;20180315
16;healthyfoodbrands.co.uk;0;0;6646095;61;44;0;0;0;20180215
10;healthyfoodbrands.co.uk;0;0;7606412;55;32;0;0;0;20180115
9;healthyfoodbrands.co.uk;0;0;7252745;59;32;0;0;0;20171215
14;healthyfoodbrands.co.uk;0;0;6260497;55;43;0;0;0;20171115
13;healthyfoodbrands.co.uk;0;0;6396197;61;32;0;0;0;20171015
17;healthyfoodbrands.co.uk;0;0;5906717;89;32;0;0;0;20170915
26;healthyfoodbrands.co.uk;0;0;5057746;99;66;0;0;0;20170815
15;healthyfoodbrands.co.uk;0;0;5872726;90;44;0;0;0;20170715
22;healthyfoodbrands.co.uk;0;0;5397479;66;66;0;0;0;20170615
4;healthyfoodbrands.co.uk;0;0;9028374;33;11;0;0;0;20170515
22;healthyfoodbrands.co.uk;0;0;5719018;73;66;0;0;0;20170415
26;healthyfoodbrands.co.uk;0;0;5200569;108;55;0;0;0;20170315
24;healthyfoodbrands.co.uk;0;0;5468003;97;51;0;0;0;20170215
27;healthyfoodbrands.co.uk;0;0;5377234;70;53;0;0;0;20170115
25;healthyfoodbrands.co.uk;0;0;5392435;64;51;0;0;0;20161215
15;healthyfoodbrands.co.uk;0;0;4785573;51;51;0;0;0;20161115
14;healthyfoodbrands.co.uk;0;0;4607373;50;47;0;0;0;20161015
17;healthyfoodbrands.co.uk;0;0;4321651;56;55;0;0;0;20160915
2;healthyfoodbrands.co.uk;0;0;7701495;68;9;0;0;0;20160815
13;healthyfoodbrands.co.uk;0;0;4778699;48;47;0;0;0;20160715
16;healthyfoodbrands.co.uk;0;0;4522888;42;55;0;0;0;20160615
19;healthyfoodbrands.co.uk;0;0;4201847;44;59;0;0;0;20160515
22;healthyfoodbrands.co.uk;0;0;3876620;48;81;0;0;0;20160415
23;healthyfoodbrands.co.uk;0;0;3765545;49;81;0;0;0;20160315
23;healthyfoodbrands.co.uk;0;0;3743744;48;81;0;0;0;20160215
22;healthyfoodbrands.co.uk;0;0;3813774;46;83;0;0;0;20160115
24;healthyfoodbrands.co.uk;0;0;3735777;47;75;0;0;0;20151215
23;healthyfoodbrands.co.uk;0;0;4062604;44;71;0;0;0;20151115
19;healthyfoodbrands.co.uk;0;0;4239492;37;42;0;0;0;20151015
17;healthyfoodbrands.co.uk;0;0;3974574;2;76;0;0;0;20150915
16;healthyfoodbrands.co.uk;0;0;4096923;1;73;0;0;0;20150815
13;healthyfoodbrands.co.uk;0;0;4395106;4;32;0;0;0;20150715
