Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
62;tat.com.tr;0;0;5079889;229;0;0;0;0;20210615
61;tat.com.tr;0;0;5113684;268;0;0;0;0;20210515
48;tat.com.tr;0;0;5729856;255;0;0;0;0;20210415
52;tat.com.tr;0;0;5485841;236;0;0;0;0;20210315
42;tat.com.tr;0;0;6065997;215;0;0;0;0;20210215
58;tat.com.tr;0;0;5196883;243;0;0;0;0;20210115
56;tat.com.tr;0;0;5265490;184;0;0;0;0;20201215
55;tat.com.tr;0;0;5411338;183;0;0;0;0;20201115
55;tat.com.tr;0;0;5389740;157;0;0;0;0;20201015
54;tat.com.tr;0;0;5375242;170;0;0;0;0;20200915
58;tat.com.tr;0;0;5105451;165;0;0;0;0;20200815
48;tat.com.tr;0;0;5557478;123;0;0;0;0;20200715
45;tat.com.tr;0;0;5688220;142;0;0;0;0;20200615
65;tat.com.tr;0;0;4640038;186;0;0;0;0;20200515
58;tat.com.tr;0;0;4849045;216;0;0;0;0;20200415
128;tat.com.tr;0;0;3194723;212;0;0;0;0;20200315
110;tat.com.tr;0;0;3410744;212;31;0;0;0;20200215
139;tat.com.tr;0;0;2976182;171;209;0;0;0;20200115
116;tat.com.tr;0;0;3262800;175;75;0;0;0;20191215
142;tat.com.tr;0;0;2761197;177;69;0;0;0;20191115
155;tat.com.tr;0;0;2569890;162;70;0;0;0;20191015
103;tat.com.tr;0;0;3179903;203;22;0;0;0;20190915
170;tat.com.tr;0;0;2425631;216;79;0;0;0;20190815
139;tat.com.tr;0;0;2768038;202;64;0;0;0;20190715
133;tat.com.tr;0;0;2799755;166;51;0;0;0;20190615
177;tat.com.tr;0;0;2037741;187;6;0;0;0;20190515
181;tat.com.tr;0;0;2009170;212;6;0;0;0;20190415
176;tat.com.tr;0;0;2052746;217;12;0;0;0;20190315
171;tat.com.tr;0;0;2085576;257;7;0;0;0;20190215
220;tat.com.tr;0;0;1835786;325;12;0;0;0;20190115
189;tat.com.tr;0;0;1998988;306;9;0;0;0;20181215
176;tat.com.tr;0;0;2093864;327;19;0;0;0;20181115
192;tat.com.tr;0;0;2020314;319;12;0;0;0;20181015
202;tat.com.tr;0;0;1984650;267;7;0;0;0;20180915
199;tat.com.tr;0;0;2018938;253;6;0;0;0;20180815
154;tat.com.tr;0;0;2378626;225;2;0;0;0;20180715
181;tat.com.tr;0;0;2171477;215;7;0;0;0;20180615
186;tat.com.tr;0;0;2133728;206;7;0;0;0;20180515
150;tat.com.tr;0;0;2430059;157;0;0;0;0;20180415
140;tat.com.tr;0;0;2535886;174;0;0;0;0;20180315
