Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
23154;terrasoul.com;876;11;96477;4762;17609;11;876;1051;20210615
20409;terrasoul.com;0;0;106034;4744;16199;0;0;0;20210515
19776;terrasoul.com;0;0;106824;4274;17493;0;0;0;20210415
19556;terrasoul.com;0;0;104841;4129;17005;0;0;0;20210315
18072;terrasoul.com;0;0;107629;4171;15224;0;0;0;20210215
18802;terrasoul.com;0;0;103583;4206;17403;0;0;0;20210115
18403;terrasoul.com;0;0;104114;4363;12343;0;0;0;20201215
18778;terrasoul.com;0;0;101424;4480;11297;0;0;0;20201115
18558;terrasoul.com;0;0;101610;4239;13067;0;0;0;20201015
17989;terrasoul.com;0;0;102919;4025;13200;0;0;0;20200915
15218;terrasoul.com;0;0;117824;3973;9077;0;0;0;20200815
13385;terrasoul.com;0;0;126794;4201;7675;0;0;0;20200715
14080;terrasoul.com;0;0;121853;3899;8168;0;0;0;20200615
15346;terrasoul.com;0;0;113311;4154;8176;0;0;0;20200515
15211;terrasoul.com;0;0;114451;4213;7451;0;0;0;20200415
13616;terrasoul.com;0;0;124413;4108;7689;0;0;0;20200315
14252;terrasoul.com;0;0;119287;4165;10898;0;0;0;20200215
15479;terrasoul.com;0;0;109869;5051;9915;0;0;0;20200115
19582;terrasoul.com;0;0;91189;5564;13086;0;0;0;20191215
22027;terrasoul.com;0;0;80918;5769;14477;0;0;0;20191115
20565;terrasoul.com;0;0;83248;5847;12287;0;0;0;20191015
19723;terrasoul.com;0;0;84910;5265;12089;0;0;0;20190915
14166;terrasoul.com;0;0;109475;4925;8723;0;0;0;20190815
13791;terrasoul.com;0;0;112835;4753;8074;0;0;0;20190715
13371;terrasoul.com;0;0;115441;4646;7666;0;0;0;20190615
4436;terrasoul.com;0;0;241716;4276;3149;0;0;0;20190515
4050;terrasoul.com;0;0;258189;4313;2780;0;0;0;20190415
3468;terrasoul.com;0;0;293260;3653;2352;0;0;0;20190315
2218;terrasoul.com;0;0;402612;2208;1499;0;0;0;20190215
2272;terrasoul.com;0;0;397565;2204;1521;0;0;0;20190115
2327;terrasoul.com;0;0;391527;2512;1581;0;0;0;20181215
2448;terrasoul.com;0;0;377945;2280;1625;0;0;0;20181115
2981;terrasoul.com;0;0;329372;2369;2073;0;0;0;20181015
3250;terrasoul.com;0;0;307078;2992;2213;0;0;0;20180915
3848;terrasoul.com;0;0;275213;3226;2625;0;0;0;20180815
5058;terrasoul.com;0;0;224196;3449;3425;0;0;0;20180715
4288;terrasoul.com;0;0;253622;3509;3007;0;0;0;20180615
4065;terrasoul.com;0;0;263226;3554;2922;0;0;0;20180515
4247;terrasoul.com;0;0;251854;3553;2899;0;0;0;20180415
3486;terrasoul.com;0;0;294721;3340;2422;0;0;0;20180315
