Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
803600;tesco.com;0;1;4385;526838;264615;1;0;0;20210615
769041;tesco.com;1;1;4584;507898;222260;1;1;0;20210515
748671;tesco.com;1;2;4671;489708;185451;2;1;0;20210415
745773;tesco.com;2;2;4526;480036;247728;2;2;0;20210315
750617;tesco.com;7;7;4512;467520;255935;7;7;0;20210215
755852;tesco.com;0;0;4453;474748;225705;0;0;0;20210115
751727;tesco.com;2;2;4438;510207;253169;2;2;0;20201215
737751;tesco.com;112;6;4479;497615;260411;6;112;237;20201115
725960;tesco.com;0;0;4504;462005;256588;0;0;0;20201015
690409;tesco.com;2;1;4619;455362;236593;1;2;0;20200915
705118;tesco.com;6;4;4503;424353;180057;4;6;0;20200815
689382;tesco.com;2;1;4439;430041;166486;1;2;0;20200715
696593;tesco.com;0;0;4414;471657;168546;0;0;0;20200615
685168;tesco.com;1;1;4473;523583;173817;1;1;0;20200515
649993;tesco.com;0;0;4753;461846;163315;0;0;0;20200415
628577;tesco.com;2;1;4801;419291;169988;1;2;0;20200315
600724;tesco.com;0;1;5022;398104;158861;1;0;0;20200215
588072;tesco.com;13;12;5041;416766;140747;12;13;0;20200115
582547;tesco.com;1;2;5101;442646;140215;2;1;0;20191215
493033;tesco.com;1;2;5813;418700;144783;2;1;0;20191115
522522;tesco.com;0;1;5280;400076;103925;1;0;0;20191015
556115;tesco.com;6;2;4987;470096;97513;2;6;0;20190915
555295;tesco.com;2;1;5003;491594;104539;1;2;0;20190815
559375;tesco.com;1;2;4939;440137;98910;2;1;0;20190715
536586;tesco.com;0;0;5147;416027;110353;0;0;0;20190615
385880;tesco.com;0;1;6383;349557;90328;1;0;0;20190515
427013;tesco.com;0;1;5794;486452;98806;1;0;0;20190415
427487;tesco.com;0;0;5807;548256;104082;0;0;0;20190315
487454;tesco.com;0;0;5107;861979;131453;0;0;0;20190215
523156;tesco.com;0;0;4736;912886;173219;0;0;0;20190115
534125;tesco.com;3;1;4653;951803;164811;1;3;0;20181215
555942;tesco.com;0;3;4450;1038714;172867;3;0;0;20181115
566283;tesco.com;6;4;4357;1156870;178103;4;6;0;20181015
562924;tesco.com;1;1;4067;1212550;168414;1;1;0;20180915
595290;tesco.com;0;1;4086;1267876;208775;1;0;0;20180815
630209;tesco.com;3;2;3867;1327555;233867;2;3;0;20180715
622506;tesco.com;1;4;3919;1602723;254582;4;1;0;20180615
585662;tesco.com;1;2;4167;1611356;258026;2;1;0;20180515
570133;tesco.com;0;0;4295;1617010;227627;0;0;0;20180415
557503;tesco.com;0;0;4366;1753248;207922;0;0;0;20180315
805603;tesco.com;1;1;3331;2619538;333137;1;1;0;20180215
841217;tesco.com;0;0;3047;2451381;298055;0;0;0;20180115
718457;tesco.com;0;0;2957;2365525;280880;0;0;0;20171215
732499;tesco.com;228;48;2939;2422140;283733;48;228;98;20171115
808151;tesco.com;0;0;2697;2501116;304349;0;0;0;20171015
745389;tesco.com;1;11;2906;2361290;271121;11;1;0;20170915
758309;tesco.com;0;4;2877;2415300;273419;4;0;0;20170815
686007;tesco.com;0;7;2601;2368208;267297;7;0;0;20170715
721936;tesco.com;279;27;3034;2470046;259867;27;279;69;20170615
774544;tesco.com;122;36;3011;2514289;284806;36;122;50;20170515
794442;tesco.com;10943;111;3140;2527380;300931;111;10943;4258;20170415
686442;tesco.com;11;12;3219;2374030;254729;12;11;2;20170315
655695;tesco.com;14;19;3327;2189463;238417;19;14;2;20170215
690253;tesco.com;4;18;3184;2025562;247231;18;4;0;20170115
588120;tesco.com;206;158;3628;1784170;254605;158;206;7;20161215
262878;tesco.com;3;29;6179;1457359;224288;29;3;1;20161115
