Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
327;mainecrisp.com;0;0;2074310;327;50;0;0;0;20210615
260;mainecrisp.com;0;0;2360657;357;21;0;0;0;20210515
255;mainecrisp.com;0;0;2367658;354;32;0;0;0;20210415
229;mainecrisp.com;0;0;2481003;340;49;0;0;0;20210315
194;mainecrisp.com;0;0;2736565;329;75;0;0;0;20210215
183;mainecrisp.com;0;0;2831621;288;61;0;0;0;20210115
156;mainecrisp.com;0;0;3060630;247;4;0;0;0;20201215
147;mainecrisp.com;0;0;3151593;166;0;0;0;0;20201115
119;mainecrisp.com;0;0;3537901;138;288;0;0;0;20201015
63;mainecrisp.com;0;0;4931826;130;2;0;0;0;20200915
63;mainecrisp.com;1;1;4874595;157;10;1;1;0;20200815
38;mainecrisp.com;964;19;6302255;134;1;19;964;531;20200715
40;mainecrisp.com;0;0;6059495;136;2;0;0;0;20200615
16;mainecrisp.com;0;0;8457013;164;3;0;0;0;20200515
44;mainecrisp.com;0;0;5516061;186;4;0;0;0;20200415
21;mainecrisp.com;0;0;7818592;139;2;0;0;0;20200315
9;mainecrisp.com;0;0;9833901;98;4;0;0;0;20200215
0;mainecrisp.com;0;0;46736387;36;2;0;0;0;20200115
0;mainecrisp.com;0;0;61371736;19;0;0;0;0;20191215
0;mainecrisp.com;0;0;59633165;9;0;0;0;0;20191115
0;mainecrisp.com;0;0;20429167;10;0;0;0;0;20191015
0;mainecrisp.com;0;0;21875903;7;0;0;0;0;20190915
0;mainecrisp.com;0;0;58914137;4;0;0;0;0;20190815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20190115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20181215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20181115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20181015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20180115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20171215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20171115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20171015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20170115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20161215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20161115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20161015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20160115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20151215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20151115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20151015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20150115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20141215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20141115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20141015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140315
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20140115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20131215
0;mainecrisp.com;0;0;0;0;0;0;0;0;20131115
0;mainecrisp.com;0;0;0;0;0;0;0;0;20131015
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130915
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130815
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130715
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130615
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130515
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130415
0;mainecrisp.com;0;0;0;0;0;0;0;0;20130315
