Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
175;thursday-cottage.com;0;0;2952065;398;7;0;0;0;20210615
183;thursday-cottage.com;0;0;2879287;399;20;0;0;0;20210515
156;thursday-cottage.com;0;0;3111185;324;22;0;0;0;20210415
223;thursday-cottage.com;0;0;2523221;341;15;0;0;0;20210315
166;thursday-cottage.com;0;0;2992483;331;14;0;0;0;20210215
171;thursday-cottage.com;0;0;2936252;300;24;0;0;0;20210115
167;thursday-cottage.com;0;0;2952145;294;12;0;0;0;20201215
151;thursday-cottage.com;0;0;3106539;297;7;0;0;0;20201115
162;thursday-cottage.com;0;0;2987369;311;17;0;0;0;20201015
135;thursday-cottage.com;0;0;3253791;309;10;0;0;0;20200915
116;thursday-cottage.com;0;0;3514165;335;2;0;0;0;20200815
116;thursday-cottage.com;0;0;3470225;316;2;0;0;0;20200715
133;thursday-cottage.com;0;0;3198201;345;9;0;0;0;20200615
126;thursday-cottage.com;0;0;3249311;384;2;0;0;0;20200515
119;thursday-cottage.com;0;0;3300286;315;0;0;0;0;20200415
111;thursday-cottage.com;0;0;3463348;355;0;0;0;0;20200315
112;thursday-cottage.com;0;0;3382096;364;2;0;0;0;20200215
105;thursday-cottage.com;0;0;3477849;408;1;0;0;0;20200115
106;thursday-cottage.com;0;0;3436434;419;1;0;0;0;20191215
119;thursday-cottage.com;0;0;3045011;457;7;0;0;0;20191115
114;thursday-cottage.com;0;0;3052055;419;6;0;0;0;20191015
115;thursday-cottage.com;0;0;3001221;408;3;0;0;0;20190915
116;thursday-cottage.com;0;0;3001322;417;6;0;0;0;20190815
115;thursday-cottage.com;0;0;3079976;423;5;0;0;0;20190715
109;thursday-cottage.com;0;0;3116499;391;5;0;0;0;20190615
26;thursday-cottage.com;0;0;5253750;343;4;0;0;0;20190515
30;thursday-cottage.com;0;0;4968640;347;6;0;0;0;20190415
26;thursday-cottage.com;0;0;5252667;329;4;0;0;0;20190315
113;thursday-cottage.com;0;0;2609441;488;279;0;0;0;20190215
111;thursday-cottage.com;0;0;2672441;565;277;0;0;0;20190115
35;thursday-cottage.com;0;0;4683898;612;8;0;0;0;20181215
37;thursday-cottage.com;0;0;4624047;599;8;0;0;0;20181115
102;thursday-cottage.com;0;0;2848270;545;268;0;0;0;20181015
99;thursday-cottage.com;0;0;2912569;476;268;0;0;0;20180915
102;thursday-cottage.com;0;0;2894614;486;268;0;0;0;20180815
23;thursday-cottage.com;0;0;5912379;461;5;0;0;0;20180715
64;thursday-cottage.com;0;0;3768440;535;33;0;0;0;20180615
30;thursday-cottage.com;0;0;5358120;549;12;0;0;0;20180515
33;thursday-cottage.com;0;0;5235136;531;7;0;0;0;20180415
44;thursday-cottage.com;0;0;4583225;514;12;0;0;0;20180315
36;thursday-cottage.com;0;0;4774905;458;8;0;0;0;20180215
66;thursday-cottage.com;0;0;3601793;253;42;0;0;0;20180115
33;thursday-cottage.com;0;0;4713485;221;20;0;0;0;20171215
28;thursday-cottage.com;0;0;4982283;196;17;0;0;0;20171115
28;thursday-cottage.com;0;0;4932608;208;17;0;0;0;20171015
29;thursday-cottage.com;0;0;4917491;209;17;0;0;0;20170915
32;thursday-cottage.com;0;0;4706559;209;17;0;0;0;20170815
28;thursday-cottage.com;0;0;4825844;205;17;0;0;0;20170715
32;thursday-cottage.com;0;0;4769863;238;17;0;0;0;20170615
34;thursday-cottage.com;0;0;4731797;264;15;0;0;0;20170515
43;thursday-cottage.com;0;0;4349231;273;17;0;0;0;20170415
34;thursday-cottage.com;0;0;4671557;297;17;0;0;0;20170315
29;thursday-cottage.com;0;0;5107633;249;17;0;0;0;20170215
31;thursday-cottage.com;0;0;5136289;252;17;0;0;0;20170115
30;thursday-cottage.com;0;0;5066416;244;17;0;0;0;20161215
21;thursday-cottage.com;0;0;4162654;188;17;0;0;0;20161115
20;thursday-cottage.com;0;0;4043931;179;17;0;0;0;20161015
20;thursday-cottage.com;0;0;4036899;179;17;0;0;0;20160915
21;thursday-cottage.com;0;0;4023720;196;17;0;0;0;20160815
22;thursday-cottage.com;0;0;3931101;170;17;0;0;0;20160715
6;thursday-cottage.com;0;0;6223383;140;2;0;0;0;20160615
7;thursday-cottage.com;0;0;6093440;127;2;0;0;0;20160515
6;thursday-cottage.com;0;0;6093772;130;2;0;0;0;20160415
22;thursday-cottage.com;0;0;3852018;152;8;0;0;0;20160315
22;thursday-cottage.com;0;0;3868995;154;8;0;0;0;20160215
22;thursday-cottage.com;0;0;3826524;153;8;0;0;0;20160115
22;thursday-cottage.com;0;0;3897424;152;6;0;0;0;20151215
14;thursday-cottage.com;0;0;4804568;139;0;0;0;0;20151115
14;thursday-cottage.com;0;0;4774200;137;0;0;0;0;20151015
0;thursday-cottage.com;0;0;8809936;2;0;0;0;0;20150915
0;thursday-cottage.com;0;0;10338274;3;0;0;0;0;20150815
0;thursday-cottage.com;0;0;8521786;2;0;0;0;0;20150715
0;thursday-cottage.com;0;0;10234973;2;0;0;0;0;20150615
1;thursday-cottage.com;0;0;7724528;3;1;0;0;0;20150515
0;thursday-cottage.com;0;0;10621965;3;0;0;0;0;20150415
0;thursday-cottage.com;0;0;8733025;3;0;0;0;0;20150315
0;thursday-cottage.com;0;0;8928720;1;0;0;0;0;20150215
0;thursday-cottage.com;0;0;7817140;4;0;0;0;0;20150115
0;thursday-cottage.com;0;0;11566235;4;0;0;0;0;20141215
0;thursday-cottage.com;0;0;8321536;3;0;0;0;0;20141115
0;thursday-cottage.com;0;0;12580398;2;0;0;0;0;20141015
0;thursday-cottage.com;0;0;8576784;2;0;0;0;0;20140915
0;thursday-cottage.com;0;0;9464612;2;0;0;0;0;20140815
4;thursday-cottage.com;0;0;4370291;2;1;0;0;0;20140715
4;thursday-cottage.com;0;0;4610866;3;1;0;0;0;20140615
4;thursday-cottage.com;0;0;4664779;3;1;0;0;0;20140515
5;thursday-cottage.com;0;0;4286347;3;1;0;0;0;20140415
5;thursday-cottage.com;0;0;4416292;6;1;0;0;0;20140315
4;thursday-cottage.com;0;0;4565973;11;1;0;0;0;20140215
44;thursday-cottage.com;0;0;2047774;43;47;0;0;0;20140115
28;thursday-cottage.com;0;0;2468254;37;111;0;0;0;20131215
2;thursday-cottage.com;0;0;5249513;5;1;0;0;0;20131115
2;thursday-cottage.com;0;0;4774418;7;1;0;0;0;20131015
2;thursday-cottage.com;0;0;5042747;7;1;0;0;0;20130915
2;thursday-cottage.com;0;0;4847636;7;1;0;0;0;20130815
2;thursday-cottage.com;0;0;4864103;6;1;0;0;0;20130715
0;thursday-cottage.com;0;0;7458948;8;0;0;0;0;20130615
0;thursday-cottage.com;0;0;7542479;4;0;0;0;0;20130515
0;thursday-cottage.com;0;0;7055419;4;0;0;0;0;20130415
0;thursday-cottage.com;0;0;12432376;7;0;0;0;0;20130315
0;thursday-cottage.com;0;0;12238867;7;0;0;0;0;20130215
0;thursday-cottage.com;0;0;10134472;7;0;0;0;0;20130115
0;thursday-cottage.com;0;0;12533881;4;0;0;0;0;20121215
0;thursday-cottage.com;0;0;9844836;4;0;0;0;0;20121115
0;thursday-cottage.com;0;0;9214725;7;0;0;0;0;20121015
0;thursday-cottage.com;0;0;9982184;8;0;0;0;0;20120915
1;thursday-cottage.com;0;0;6691681;7;0;0;0;0;20120815
0;thursday-cottage.com;0;0;11954105;3;0;0;0;0;20120715
0;thursday-cottage.com;0;0;14584265;3;0;0;0;0;20120615
1;thursday-cottage.com;0;0;7128947;4;0;0;0;0;20120515
0;thursday-cottage.com;0;0;9124541;6;0;0;0;0;20120415
0;thursday-cottage.com;0;0;7894366;5;0;0;0;0;20120315
2;thursday-cottage.com;0;0;6100599;5;0;0;0;0;20120215
2;thursday-cottage.com;0;0;6328003;5;0;0;0;0;20120115
