Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1;tohi.be;0;0;18688989;23;0;0;0;0;20210615
1;tohi.be;0;0;17126070;25;0;0;0;0;20210515
3;tohi.be;0;0;13371784;25;0;0;0;0;20210415
1;tohi.be;0;0;18369441;21;0;0;0;0;20210315
0;tohi.be;0;0;55222574;23;0;0;0;0;20210215
0;tohi.be;0;0;67044297;31;0;0;0;0;20210115
0;tohi.be;0;0;34236157;28;0;0;0;0;20201215
1;tohi.be;0;0;17232316;40;0;0;0;0;20201115
3;tohi.be;0;0;13421984;36;0;0;0;0;20201015
4;tohi.be;0;0;13016418;38;0;0;0;0;20200915
11;tohi.be;0;0;9666437;44;0;0;0;0;20200815
11;tohi.be;0;0;9621369;43;0;0;0;0;20200715
6;tohi.be;0;0;11098465;51;0;0;0;0;20200615
1;tohi.be;0;0;16061708;50;0;0;0;0;20200515
1;tohi.be;0;0;16270911;46;0;0;0;0;20200415
1;tohi.be;0;0;17068234;47;0;0;0;0;20200315
1;tohi.be;0;0;16254481;42;0;0;0;0;20200215
1;tohi.be;0;0;17136905;25;6;0;0;0;20200115
0;tohi.be;0;0;54899273;26;1;0;0;0;20191215
0;tohi.be;0;0;37399847;31;0;0;0;0;20191115
0;tohi.be;0;0;59921483;32;0;0;0;0;20191015
0;tohi.be;0;0;20186544;26;0;0;0;0;20190915
0;tohi.be;0;0;67931604;23;1;0;0;0;20190815
0;tohi.be;0;0;44740966;32;0;0;0;0;20190715
0;tohi.be;0;0;61114194;34;1;0;0;0;20190615
0;tohi.be;0;0;21961129;21;0;0;0;0;20190515
0;tohi.be;0;0;29444546;20;0;0;0;0;20190415
0;tohi.be;0;0;42316299;28;0;0;0;0;20190315
0;tohi.be;0;0;43693635;24;0;0;0;0;20190215
0;tohi.be;0;0;25638843;24;0;0;0;0;20190115
0;tohi.be;0;0;37781152;27;0;0;0;0;20181215
1;tohi.be;0;0;13917755;28;0;0;0;0;20181115
2;tohi.be;0;0;11845696;27;0;0;0;0;20181015
1;tohi.be;0;0;13744072;23;0;0;0;0;20180915
1;tohi.be;0;0;13633933;25;0;0;0;0;20180815
0;tohi.be;0;0;21043012;27;0;0;0;0;20180715
1;tohi.be;0;0;13680072;24;0;0;0;0;20180615
1;tohi.be;0;0;14402659;23;0;0;0;0;20180515
1;tohi.be;0;0;13905176;26;0;0;0;0;20180415
1;tohi.be;0;0;14500656;24;0;0;0;0;20180315
5;tohi.be;0;0;9159122;18;0;0;0;0;20180215
1;tohi.be;0;0;13203178;17;0;0;0;0;20180115
0;tohi.be;0;0;15002714;15;0;0;0;0;20171215
0;tohi.be;0;0;22578292;15;0;0;0;0;20171115
19;tohi.be;0;0;5646014;16;1;0;0;0;20171015
18;tohi.be;0;0;5834474;17;0;0;0;0;20170915
18;tohi.be;0;0;5748525;19;0;0;0;0;20170815
11;tohi.be;0;0;6409056;19;0;0;0;0;20170715
5;tohi.be;0;0;8461030;20;0;0;0;0;20170615
1;tohi.be;0;0;12734979;21;0;0;0;0;20170515
1;tohi.be;0;0;12737891;21;0;0;0;0;20170415
0;tohi.be;0;0;46072647;21;0;0;0;0;20170315
3;tohi.be;0;0;9913704;16;0;0;0;0;20170215
3;tohi.be;0;0;10656074;17;0;0;0;0;20170115
1;tohi.be;0;0;12912122;16;0;0;0;0;20161215
3;tohi.be;0;0;7707273;9;0;0;0;0;20161115
1;tohi.be;0;0;9528305;6;0;0;0;0;20161015
18;tohi.be;0;0;4197867;5;0;0;0;0;20160915
18;tohi.be;0;0;4227054;5;0;0;0;0;20160815
0;tohi.be;0;0;33005216;6;0;0;0;0;20160715
5;tohi.be;0;0;6511896;7;0;0;0;0;20160615
0;tohi.be;0;0;18184172;4;0;0;0;0;20160515
18;tohi.be;0;0;4182160;3;0;0;0;0;20160415
18;tohi.be;0;0;4217760;3;0;0;0;0;20160315
18;tohi.be;0;0;4142445;3;0;0;0;0;20160215
18;tohi.be;0;0;4174766;8;0;0;0;0;20160115
1;tohi.be;0;0;8637231;11;0;0;0;0;20151215
3;tohi.be;0;0;7908699;10;0;0;0;0;20151115
0;tohi.be;0;0;20823008;8;0;0;0;0;20151015
0;tohi.be;0;0;0;0;0;0;0;0;20150915
0;tohi.be;0;0;0;0;0;0;0;0;20150815
0;tohi.be;0;0;0;0;0;0;0;0;20150715
0;tohi.be;0;0;0;0;0;0;0;0;20150615
28;tohi.be;0;0;3159121;2;0;0;0;0;20150515
7;tohi.be;0;0;4797158;2;0;0;0;0;20150415
18;tohi.be;0;0;3606492;2;0;0;0;0;20150315
28;tohi.be;0;0;3079577;2;0;0;0;0;20150215
14;tohi.be;0;0;3999308;1;0;0;0;0;20150115
14;tohi.be;0;0;4071183;1;0;0;0;0;20141215
19;tohi.be;0;0;3689099;1;0;0;0;0;20141115
14;tohi.be;0;0;4403762;1;0;0;0;0;20141015
33;tohi.be;0;0;3173628;2;0;0;0;0;20140915
33;tohi.be;0;0;3190008;2;0;0;0;0;20140815
0;tohi.be;0;0;0;0;0;0;0;0;20140715
0;tohi.be;0;0;0;0;0;0;0;0;20140615
0;tohi.be;0;0;0;0;0;0;0;0;20140515
0;tohi.be;0;0;0;0;0;0;0;0;20140415
0;tohi.be;0;0;0;0;0;0;0;0;20140315
0;tohi.be;0;0;0;0;0;0;0;0;20140215
0;tohi.be;0;0;0;0;0;0;0;0;20140115
0;tohi.be;0;0;0;0;0;0;0;0;20131215
0;tohi.be;0;0;0;0;0;0;0;0;20131115
0;tohi.be;0;0;6434607;1;0;0;0;0;20131015
0;tohi.be;0;0;11595248;1;0;0;0;0;20130915
0;tohi.be;0;0;7481564;1;0;0;0;0;20130815
0;tohi.be;0;0;12474578;1;0;0;0;0;20130715
0;tohi.be;0;0;8570975;1;0;0;0;0;20130615
0;tohi.be;0;0;0;0;0;0;0;0;20130515
0;tohi.be;0;0;12513932;1;0;0;0;0;20130415
0;tohi.be;0;0;13432961;1;0;0;0;0;20130315
0;tohi.be;0;0;0;0;0;0;0;0;20130215
0;tohi.be;0;0;13323536;1;0;0;0;0;20130115
0;tohi.be;0;0;7091972;1;0;0;0;0;20121215
0;tohi.be;0;0;0;0;0;0;0;0;20121115
0;tohi.be;0;0;0;0;0;0;0;0;20121015
0;tohi.be;0;0;0;0;0;0;0;0;20120915
0;tohi.be;0;0;0;0;0;0;0;0;20120815
0;tohi.be;0;0;13529054;1;0;0;0;0;20120715
0;tohi.be;0;0;0;0;0;0;0;0;20120615
0;tohi.be;0;0;12594967;1;0;0;0;0;20120515
0;tohi.be;0;0;14742276;1;0;0;0;0;20120415
0;tohi.be;0;0;11111801;1;0;0;0;0;20120315
0;tohi.be;0;0;10827605;2;0;0;0;0;20120215
0;tohi.be;0;0;8617938;2;0;0;0;0;20120115
